fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,1125363000,23301000,2005-10-25,0.21,0.21,177272000,40967000,14171000,0.13144207771108804,26796000
2005-12-31,1343141000,51700000,2006-02-22,0.3,0.29,177300000,151559000,14625000,0.2915961646926114,136934000
2006-03-31,1161781000,16259000,2006-04-27,0.2,0.2,178484000,-38000000,11168000,0.09109500011205486,-49168000
2006-06-30,1220360000,45218000,2006-07-27,0.25,0.24,179646000,38617000,21486000,0.25170613317301804,17131000
2006-09-30,1272020000,39285000,2006-11-02,0.22,0.26,180030000,64009000,17273000,0.21821363106148975,46736000
2006-12-31,1498936000,62997000,2007-02-21,0.35,0.34,181000000,170691000,17073000,0.34804972375690607,153618000
2007-03-31,1334143000,43414000,2007-05-08,0.24,0.24,179968000,-33902000,8933000,0.2412317745376956,-42835000
2007-06-30,1387017000,33837000,2007-08-07,0.3,0.29,181182000,114643000,12403000,0.18675696261218003,102240000
2007-09-30,1505575000,59573000,2007-11-01,0.33,0.31,182798000,69184000,11687000,0.325895250495082,57497000
2007-12-31,1717470000,78269000,2008-02-25,0.42,0.41,184100000,120286000,23798000,0.4251439435089625,96488000
2008-03-31,1525619000,51440000,2008-05-06,0.28,0.28,184518000,13340000,13743000,0.2787803899890526,-403000
2008-06-30,1644977000,64570000,2008-08-05,0.36,0.34,184024000,125277000,9723000,0.3508781463287397,115554000
2008-09-30,1650771000,67488000,2008-11-05,0.39,0.37,182752000,49947000,14653000,0.36928734022062687,35294000
2008-12-31,1573507000,56911000,2009-02-24,0.45,0.44,179700000,196085000,12751000,0.3167000556483027,183334000
2009-03-31,1488605000,54851000,2009-05-04,0.32,0.29,179178000,-27128000,12866000,0.306125752045452,-39994000
2009-06-30,1611006000,73473000,2009-08-04,0.41,0.38,181068000,106703000,15537000,0.40577573066472267,91166000
2009-09-30,1659433000,96421000,2009-11-04,0.4,0.41,183026000,138802000,10014000,0.5268158622272245,128788000
2009-12-31,1786081000,86408000,2010-02-23,0.47,0.45,184000000,178513000,13210000,0.4696086956521739,165303000
2010-03-31,1760310000,60900000,2010-05-04,0.38,0.35,185442000,21675000,9062000,0.3284045685443427,12613000
2010-06-30,1849401000,84001000,2010-08-02,0.45,0.43,186704000,107313000,8480000,0.44991537406804355,98833000
2010-09-30,1893511000,87893000,2010-10-29,0.47,0.44,186540000,47837000,9384000,0.4711750830920982,38453000
2010-12-31,2023568000,92995000,2011-02-22,0.5,0.48,185800000,212049000,12074000,0.5005113024757805,199975000
2011-03-31,1947761000,76495000,2011-05-03,0.41,0.4,186322000,47579000,10458000,0.41055269909082126,37121000
2011-06-30,2130640000,94475000,2011-08-02,0.51,0.5,186892000,137713000,10306000,0.5055058536480962,127407000
2011-09-30,2111693000,91961000,2011-11-01,0.5,0.5,185738000,81349000,11783000,0.4951113934682187,69566000
2011-12-31,2340148000,104730000,2012-02-15,0.57,0.56,182484000,287984000,12629000,0.573913329387782,275355000
2012-03-31,2099019000,80752000,2012-05-08,0.49,0.46,181332000,-48605000,12223000,0.4453268038735579,-60828000
2012-06-30,2201452000,98086000,2012-08-02,0.56,0.55,181106000,178498000,9149000,0.5415944253641514,169349000
2012-09-30,2231058000,96771000,2012-11-07,0.54,0.54,179294000,78545000,11562000,0.5397336218724553,66983000
2012-12-31,2408438000,112467000,2013-02-13,0.63,0.6,178600000,199661000,18303000,0.6297144456886898,181358000
2013-03-31,2293511000,91478000,2013-05-07,0.53,0.54,177584000,-38047000,11862000,0.5151252365077935,-49909000
2013-06-30,2391810000,108430000,2013-08-06,0.62,0.61,175936000,274798000,10072000,0.6163036558748636,264726000
2013-09-30,2348956000,107378000,2013-11-05,0.61,0.61,174808000,152796000,16799000,0.6142625051485058,135997000
2013-12-31,2526370000,124268000,2014-02-11,0.72,0.7,173600000,274628000,21482000,0.7158294930875576,253146000
2014-03-31,2430159000,102099000,2014-05-06,0.59,0.57,173036000,-55249000,18484000,0.5900448461591807,-73733000
2014-06-30,2615406000,116236000,2014-08-04,0.68,0.67,171960000,199232000,19492000,0.6759478948592696,179740000
2014-09-30,2623729000,114776000,2014-11-06,0.67,0.65,170900000,174502000,22806000,0.6715974253949678,151696000
2014-12-31,2702096000,132966000,2015-02-11,0.78,0.75,170054000,274019000,21334000,0.7819045714890565,252685000
2015-03-31,2463646000,103447000,2015-05-04,0.64,0.63,169430000,-26654000,15493000,0.6105589328926401,-42147000
2015-06-30,2629320000,117928000,2015-07-29,0.73,0.73,168498000,207756000,17937000,0.6998777433560043,189819000
2015-09-30,2685835000,127735000,2015-11-04,0.78,0.73,168168000,107428000,18734000,0.7595678131392417,88694000
2015-12-31,2850918000,129948000,2016-02-10,0.84,0.82,167100000,298311000,19520000,0.7776660682226212,278791000
2016-03-31,2712956000,113752000,2016-05-03,0.71,0.69,165478000,-101512000,12605000,0.6874146412211896,-114117000
