fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2010-09-30,120606000,14853000,2010-12-31,0.4571,0,36883000,11793000,6771000,0.40270585364531086,5022000
2010-12-31,120108000,17019000,2011-03-31,0.4086,0,37333000,71436000,3712000,0.45587014169769374,67724000
2011-03-31,116665000,15328000,2011-06-30,0.2122,0,37521000,4037000,33197000,0.40851789664454574,-29160000
2011-06-30,162157000,12088000,2011-09-30,0.3575,0,55035000,284233000,5347000,0.21964204597074588,278886000
2011-09-30,262648000,30378000,2011-12-31,0.2147,0,84985000,-11517000,23466000,0.3574513149379302,-34983000
2011-12-31,257072000,18966000,2012-03-31,0.21,0,84741000,-3707000,10965000,0.22381137819945482,-14672000
2012-03-31,250789000,18495000,2012-06-30,0.46,0,85442000,78538000,3756000,0.21646262962009316,74782000
2012-06-30,249434000,39010000,2012-09-30,0.55,0,85500000,116442000,16362000,0.4562573099415205,100080000
2012-09-30,248374000,46703000,2012-12-31,0.5297,0,85632000,124770000,14697000,0.5453919095665172,110073000
2012-12-31,251069000,46959000,2013-03-31,0.56,0,85777000,123282000,8164000,0.5474544458304674,115118000
2013-03-31,245459000,48576000,2013-06-30,0.55,0,84972000,132356000,11719000,0.571670667984748,120637000
2013-06-30,243546000,46862000,2013-09-30,0.3969,0,83357000,140638000,6882000,0.5621843396475401,133756000
2013-09-30,245286000,33202000,2013-12-31,0.4143,0,82205000,138193000,7254000,0.4038927072562496,130939000
2013-12-31,243392000,34716000,2014-03-31,0.58,0,82220000,62345000,6174000,0.422233033325225,56171000
2014-03-31,235747000,49115000,2014-06-30,0.4777,0,84681000,103125000,6111000,0.5800002361804891,97014000
2014-06-30,233720000,39962000,2014-09-30,0.5589,0,83254000,80961000,4770000,0.4800009609147909,76191000
2014-09-30,233402000,46553000,2014-12-31,0.4681,0,83130000,103551000,3489000,0.5600024058703236,100062000
2014-12-31,230045000,40092000,2015-03-31,0.49,0,83525000,64791000,6079000,0.48,58712000
2015-03-31,226830000,40159000,2015-06-30,0.437,0,81957000,65306000,8609000,0.49000085410642163,56697000
2015-06-30,227067000,34829000,2015-09-30,0.5175,0,79157000,65427000,5287000,0.43999898935027854,60140000
2015-09-30,233104000,41166000,2015-12-31,0.1835,0,79165000,92057000,5633000,0.5200025263689761,86424000
2015-12-31,235676000,15307000,2016-03-31,0.0483,0,80563000,9555000,4275000,0.1900003723793801,5280000
2016-03-31,240440000,3839000,2016-06-30,0.59,0,77672000,92729000,1550000,0.0494257905036564,91179000
2016-06-30,248726000,46907000,2016-09-30,0.5882,0,79503000,84996000,2400000,0.5900028929725922,82596000
2016-09-30,246700000,46719000,2016-12-31,0.6205,0,79185000,90819000,6867000,0.5899981057018374,83952000
2016-12-31,253000000,51831000,2017-03-31,0.5673,0,80986000,72193000,8455000,0.6399995060874719,63738000
2017-03-31,267106000,49014000,2017-06-30,0.6,0,85989000,96328000,7329000,0.5700031399365035,88999000
2017-06-30,294991000,52267000,2017-09-30,0.68,0,87112000,86384000,5320000,0.5999977041050601,81064000
2017-09-30,299831000,58902000,2017-12-31,0.6209,0,86621000,322366000,3437000,0.6799967675275049,318929000
2017-12-31,308861000,55449000,2018-03-31,0.83,0,86639000,-93993000,4211000,0.6400004616858459,-98204000
2018-03-31,307647000,72475000,2018-06-30,0.8188,0,85423000,104494000,7904000,0.8484248972759093,96590000
2018-06-30,321136000,71177000,2018-09-30,0.96,0,85483000,115671000,10212000,0.8326450873273048,105459000
2018-09-30,338730000,83878000,2018-12-31,1.1092,0,91345000,109933000,14467000,0.9182549674311675,95466000
2018-12-31,321241000,96240000,2019-03-31,0.9083,0,85677000,119086000,18081000,1.123288630554291,101005000
2019-03-31,346786000,79164000,2019-06-30,1.01,0,85800000,13423000,12435000,0.9226573426573427,988000
2019-06-30,359628000,88277000,2019-09-30,0.77,0,85835000,115383000,10283000,1.0284499330110095,105100000
2019-09-30,366394000,67807000,2019-12-31,1.0279,0,86462000,37487000,11028000,0.7842404755846499,26459000
2019-12-31,368288000,92132000,2020-03-31,-1.28,0,88315000,185656000,8970000,1.0432202910037933,176686000
2020-03-31,361730000,-111033000,2020-06-30,-1.3614,0,87186000,11525000,9460000,-1.2735186841924162,2065000
2020-06-30,340285000,-117072000,2020-09-30,0.9,0,86301000,55355000,10147000,-1.3565543852330795,45208000
2020-09-30,340791000,79356000,2020-12-31,1.1884,0,86400000,160590000,11607000,0.9184722222222222,148983000
2020-12-31,338621000,103097000,2021-03-31,1.2084,0,86751000,127721000,6655000,1.1884243409297877,121066000
2021-03-31,337874000,107172000,2021-06-30,1.0,0,88572000,255040000,4269000,1.209998645170031,250771000
2021-06-30,342572000,88718000,2021-09-30,1.46,0,88718000,112523000,3367000,1.0,109156000
