fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2019-12-31,5642000,-25965000,2020-03-31,-0.0043,0.0,27306935,-25686000,1629000,-0.9508573554666607,-27315000
2020-03-31,8255000,-18639000,2020-06-30,-0.0043,0.0,27306935,-30518000,1426000,-0.6825738589849062,-31944000
2020-06-30,7787000,-17217000,2020-09-30,-0.0041,0.0,27306935,-10127000,647000,-0.6304991753926246,-10774000
2020-12-31,7420000,-18880000,2021-03-25,-0.82,-1.05,38451332,-20576000,347000,-0.49101029842087135,-20923000
2021-03-31,8270000,-29038000,2021-05-12,-0.92,-0.83,38451332,-25979000,220000,-0.7551884028360838,-26199000
2021-06-30,5733000,-32962000,2021-08-11,-1.04,-0.95,43786088,-32596000,136000,-0.7527961849434917,-32732000
2021-09-30,5924000,-30134000,2021-11-10,-0.93,-0.85,43796084,-21203000,374000,-0.6880523838615343,-21577000
2021-12-31,6593000,-39389000,2022-03-03,-91.0,-82.21,43862850,-16332000,278000,-0.8980036636926237,-16610000
2022-03-31,22474000,-16128000,2022-05-11,-37.0,-85.74,43865799,-30833000,138000,-0.3676668467842111,-30971000
2022-06-30,40141221,-7677783,2022-08-10,-14.0,-68.48,43935837,-9184000,337000,-0.17474989721943843,-9521000
2022-09-30,48434163,7321730,2022-11-09,12.0,-29.01,51443276,8094000,394000,0.14232627797654254,7700000
2022-12-31,48874604,-27496317,2023-03-01,-54.0,0.03,46672222,7940192,1090112,-0.5891366603458477,6850080
2023-03-31,54659000,-19449000,2023-05-10,-35.0,-32.19,48183771,10539000,3001000,-0.4036421308743145,7538000
2023-06-30,59757000,-17014000,2023-08-10,-0.37,-32.1,48694047,16362,1395592,-0.34940616046967715,-1379230
2023-09-30,64850000,906000,2023-11-07,4.0,-28.92,54158967,9493199,729569,0.01672853176834041,8763630
2023-12-31,70772342,-19901632,2024-02-28,-32.22,-21.74,48888975,-16922728,711051,-0.40707811935103977,-17633779
2024-03-31,70502000,-24436000,2024-05-08,-0.49,-0.36,49877218,-4587000,430000,-0.48992307469915425,-5017000
2024-06-30,75400000,-11616000,2024-08-08,-0.23,-0.48,50014086,23475298,331488,-0.23225456924275292,23143810
2024-09-30,80248000,8736000,2024-11-05,0.17,-0.35,52808434,21127000,828000,0.16542812081873134,20299000
2024-12-31,84052000,-23771000,2025-02-26,-0.3714,-0.1594,49991000,-13951000,3584000,-0.4755055910063811,-17535000
2025-03-31,93881000,5023000,2025-05-06,-0.49,-0.36,51949798,435000,298000,0.09668950012086669,137000
2025-06-30,97964000,-10300000,2025-08-07,-0.2,-0.18,50294000,25964000,414000,-0.20479580069193146,25550000
2025-09-30,103693000,785000,2025-11-06,-0.0035,-0.24,50403717,-4456000,748000,0.015574248224590262,-5204000
