fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,590743712,9406896,2005-12-12,0.39,,24400000,28248170,16038093,0.38552852459016396,12210077
2005-12-31,623393899,7770387,2006-02-09,0.3174,,24282459,15880178,30202870,0.3200000049418389,-14322692
2006-03-31,606649492,9441068,2006-04-27,0.3856,,24283308,14683494,13500832,0.3887883808911043,1182662
2006-06-30,659212015,13841969,2006-07-31,0.565,,24284156,32183516,23134400,0.570000003294329,9049116
2006-09-30,722977714,11528131,2006-12-04,0.4709,,24800000,25368267,27464062,0.46484399193548387,-2095795
2006-12-31,685698588,11167585,2007-02-01,0.4557,,24277359,16650150,19185105,0.4599999942333101,-2534955
2007-03-31,681164012,13506744,2007-05-07,0.551,,24557716,36109853,23542100,0.5500000081440799,12567753
2007-06-30,738695131,19745894,2007-08-03,0.8055,,24377647,46309659,53673915,0.809999997128517,-7364256
2007-09-30,746034778,14217473,2007-12-03,0.58,,24500000,42280610,31447689,0.5803050204081632,10832921
2007-12-31,777121292,12692809,2008-01-30,0.5178,,24512261,2735728,60547285,0.5178146968980136,-57811557
2008-03-31,782787385,12994918,2008-05-06,0.5301,,24512261,31951430,53585784,0.5301395085504352,-21634354
2008-06-30,835346746,15973747,2008-08-01,0.6517,,24512261,33073744,69308837,0.6516635491111978,-36235093
2008-09-30,842791023,10461920,2008-12-01,0.43,,24500000,21858548,65337701,0.4270171428571429,-43479153
2008-12-31,804864666,11128303,2009-02-05,0.454,,24512259,27162694,60204064,0.4539892875642347,-33041370
2009-03-31,789175140,7771520,2009-04-27,0.32,1.13,24515259,22426130,43518531,0.31700746053712914,-21092401
2009-06-30,826765973,4736827,2009-08-03,0.19,0.61,24512259,8425874,23677765,0.19324318497124235,-15251891
2009-09-30,830127375,5191796,2009-12-07,0.22,0.4,24500000,44892079,13620402,0.21191004081632653,31271677
2009-12-31,840953201,6017010,2010-01-29,0.25,0.4,24512259,3569280,17680769,0.24546942001551142,-14111489
2010-03-31,837005224,5595134,2010-04-30,0.23,0.33,24504786,55522794,16567364,0.22832821310906368,38955430
2010-06-30,856128148,11444952,2010-07-30,0.48,0.5,24450907,19322997,31026157,0.4680788324130471,-11703160
2010-09-30,855965267,8458004,2010-12-25,0.3128,,24500000,49373344,26751008,0.34522465306122446,22622336
2010-12-31,872753265,7652594,2011-03-26,0.3159,,24466204,20537901,25665471,0.31278223626354135,-5127570
2011-03-31,870370803,7721612,2011-06-25,0.52,,24443259,27560797,17213798,0.3158994469599983,10346999
2011-06-30,910978159,12724690,2011-09-24,0.4485,,24443259,26081510,20143955,0.5205807457998952,5937555
2011-09-30,905819107,10960614,2011-12-24,0.43,,24447457,23048050,34483143,0.4483335015171517,-11435093
2011-12-31,918237929,10597216,2012-03-24,0.2681,,24644186,7370899,63688077,0.43000876555630607,-56317178
2012-03-31,881667028,6512075,2012-06-23,0.5383,,24118519,66354508,39790055,0.27000310425362356,26564453
2012-06-30,917755732,13058606,2012-09-29,0.5473,,24183333,11172656,41408844,0.5399837152306508,-30236188
2012-09-30,991773131,13276446,2012-12-29,0.4768,,24138182,48852705,35741876,0.5500184728079356,13110829
