fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,9960000000,1995000000,2005-10-18,0.38,0.34,6144000000,4366000000,1282000000,0.32470703125,3084000000
2005-12-31,10201000000,2453000000,2006-01-17,0.4,0.43,6144000000,3729000000,1359000000,0.3992513020833333,2370000000
2006-03-31,8940000000,1357000000,2006-04-19,0.23,0.22,5954000000,2096000000,1758000000,0.22791400738998993,338000000
2006-06-30,8009000000,885000000,2006-07-19,0.15,0.13,5868000000,1532000000,1738000000,0.15081799591002046,-206000000
2006-09-30,8739000000,1301000000,2006-10-17,0.21,0.17,5832000000,2790000000,1167000000,0.223079561042524,1623000000
2006-12-31,9694000000,1501000000,2007-01-16,0.25,0.25,5867000000,4202000000,1116000000,0.2558377364922448,3086000000
2007-03-31,8852000000,1636000000,2007-04-17,0.22,0.22,5874000000,1552000000,1361000000,0.27851549199863807,191000000
2007-06-30,8680000000,1278000000,2007-07-17,0.19,0.19,5917000000,2417000000,1278000000,0.21598783167145513,1139000000
2007-09-30,10090000000,1791000000,2007-10-16,0.31,0.3,5967000000,3884000000,1088000000,0.30015082956259426,2796000000
2007-12-31,10712000000,2271000000,2008-01-15,0.38,0.4,5988000000,4772000000,1273000000,0.37925851703406815,3499000000
2008-03-31,9673000000,1443000000,2008-04-15,0.25,0.26,5879000000,2215000000,907000000,0.2454499064466746,1308000000
2008-06-30,9470000000,1601000000,2008-07-16,0.28,0.26,5800000000,2828000000,2477000000,0.2760344827586207,351000000
2008-09-30,10217000000,2014000000,2008-10-14,0.35,0.34,5692000000,3287000000,48000000,0.353829936753338,3239000000
2008-12-31,8226000000,234000000,2009-01-15,0.04,0.05,5623000000,2596000000,1765000000,0.04161479637204339,831000000
2009-03-31,7145000000,647000000,2009-04-14,0.11,0.03,5634000000,378000000,1509000000,0.11483848065317714,-1131000000
2009-06-30,8024000000,-398000000,2009-07-14,0.18,0.09,5595000000,3384000000,981000000,-0.07113494191242181,2403000000
2009-09-30,9389000000,1856000000,2009-10-13,0.33,0.28,5616000000,4003000000,944000000,0.33048433048433046,3059000000
2009-12-31,10569000000,2282000000,2010-01-14,0.55,0.42,5650000000,3405000000,1081000000,0.4038938053097345,2324000000
2010-03-31,10299000000,2442000000,2010-04-13,0.43,0.38,5681000000,4079000000,928000000,0.42985389896145043,3151000000
2010-06-30,10765000000,2887000000,2010-07-13,0.51,0.43,5711000000,3486000000,1048000000,0.5055156715111189,2438000000
2010-09-30,11102000000,2955000000,2010-10-12,0.52,0.5,5694000000,3577000000,1362000000,0.5189673340358272,2215000000
2010-12-31,11457000000,3180000000,2011-01-13,0.59,0.53,5699000000,5550000000,1869000000,0.5579926302860151,3681000000
2011-03-31,12847000000,3160000000,2011-04-19,0.59,0.46,5606000000,4013000000,2723000000,0.5636817695326436,1290000000
2011-06-30,25879000000,6114000000,2011-07-20,0.59,0.51,5527000000,3971000000,2484000000,1.1062058983173513,1487000000
2011-09-30,14233000000,3468000000,2011-10-18,0.69,0.61,5340000000,6349000000,2713000000,0.6494382022471911,3636000000
2011-12-31,13887000000,3360000000,2012-01-19,0.68,0.63,5246000000,6630000000,2844000000,0.6404879908501716,3786000000
2012-03-31,12906000000,2738000000,2012-04-17,0.56,0.53,5192000000,2972000000,2974000000,0.5273497688751926,-2000000
2012-06-30,13501000000,2827000000,2012-07-17,0.57,0.55,5199000000,4739000000,2662000000,0.543758415079823,2077000000
2012-09-30,13457000000,2972000000,2012-10-16,0.6,0.52,5153000000,5147000000,3452000000,0.5767514069474092,1695000000
2012-12-31,13477000000,2468000000,2013-01-17,0.51,0.49,5095000000,6026000000,2754000000,0.48439646712463197,3272000000
2013-03-31,12580000000,2045000000,2013-04-29,0.4,0.44,5080000000,4285000000,2207000000,0.40255905511811024,2078000000
2013-06-30,12811000000,2000000000,2013-07-17,0.39,0.4,5106000000,4722000000,2724000000,0.39169604386995693,1998000000
2013-09-30,13483000000,2950000000,2013-10-15,0.58,0.53,5100000000,5731000000,2868000000,0.5784313725490197,2863000000
2013-12-31,13834000000,2625000000,2014-01-16,0.51,0.52,5103000000,6038000000,2948000000,0.51440329218107,3090000000
2014-03-31,12764000000,1947000000,2014-04-25,0.38,0.37,5117000000,3501000000,2689000000,0.3804963846003518,812000000
2014-06-30,13831000000,2796000000,2014-07-15,0.55,0.52,5123000000,5453000000,2828000000,0.5457739605699785,2625000000
2014-09-30,14554000000,3317000000,2014-10-14,0.66,0.65,5045000000,5693000000,2445000000,0.6574826560951437,3248000000
2014-12-31,14721000000,3661000000,2015-01-15,0.74,0.66,4940000000,5771000000,2235000000,0.7410931174089069,3536000000
2015-03-31,12781000000,1992000000,2015-04-27,0.41,0.41,4914000000,4415000000,2025000000,0.4053724053724054,2390000000
2015-06-30,13195000000,2706000000,2015-07-15,0.55,0.5,4909000000,3440000000,1767000000,0.5512324302301894,1673000000
2015-09-30,14465000000,3109000000,2015-10-13,0.64,0.59,4876000000,5735000000,1206000000,0.6376127973748975,4529000000
