fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2017-12-31,4817414000,-612380000,2018-03-29,3.76,0.0,726445998,1052764000.0,3049097000.0,-0.8429807606979205,-1996333000.0
2018-03-31,4877305000,-395693000,2018-04-26,-13.79,-7.04,709625962,84068784.33,28337234.3,-0.5576078401708758,55731550.03
2018-06-30,6170231000,-2096931000,2018-07-31,-3.01,-2.35,704442937,79183263.35,26690461.91,-2.9767223005033836,52492801.44
2018-09-30,6914258000,-3140433000,2018-10-30,-4.34,-2.99,722664368,76867329.56,25909825.45,-4.345631442562006,50957504.11
2018-12-31,7027322000,-3476719000,2019-02-21,-4.83,-4.81,724230965,527994000.0,4295933000.0,-4.800566625869139,-3767939000.0
2019-03-31,6989919000,-1813976000,2019-05-16,-2.52,-3.17,726147259,0.0,0.0,-2.498082830331251,0.0
2019-06-30,7110181000,-2327445000,2019-08-19,-3.22,-3.14,728950389,890678000.0,0.0,-3.192871607068996,890678000.0
2019-09-30,7396934000,-3688123000,2019-11-06,-5.04,-4.91,729939605,293485000.0,0.0,-5.052641307221575,293485000.0
2019-12-31,7496624000,-2493785000,2020-02-27,-3.43,-4.08,729913704,2342583000.0,3909414000.0,-3.416547718358772,-1566831000.0
2020-03-31,7649766000,-2874642000,2020-05-18,-3.92,-3.57,733918403,-604269000.0,66824000.0,-3.9168414203124975,-671093000.0
2020-06-30,7411577000,-1441817000,2020-08-13,-1.96,-3.11,735928531,-192438094.0,192438094.0,-1.9591807346303305,-384876188.0
2020-09-30,7187692000,-1174288000,2020-11-16,-1.61,-2.61,740383757,-277183092.0,277183092.0,-1.586053163508286,-554366184.0
2020-12-31,7458180000,-1547614000,2021-02-17,-2.1,-2.22,747487993,-1519447000.0,40181000.0,-2.070419878971889,-1559628000.0
2021-03-31,7968423000,-1267010000,2021-05-18,-1.61,-2.1,789531694,-208360315.0,208360315.0,-1.6047614169621922,-416720630.0
2021-06-30,7608274000,-1397227000,2021-08-12,-1.75,-2.05,795647385,-220804570.0,220804570.0,-1.7560882199091248,-441609140.0
2021-09-30,7589104000,-1729560000,2021-11-17,-2.17,-2.26,798631234,-320753833.0,320753833.0,-2.1656553442536657,-641507666.0
2021-12-31,7388558000,-1775787000,2022-03-01,-2.24,-1.82,799329240,-171177759.0,171177759.0,-2.221596447541441,-342355518.0
2022-03-31,7277059000,169093000,2022-05-26,0.2,-0.4,820400146,-1167049000.0,51315000.0,0.20611039725485372,-1218364000.0
2022-06-30,6656549000,-201402000,2022-08-30,0.1,-0.42,867802374,11054341.0,11054341.0,-0.23208279446352378,0.0
2022-09-30,7471081000,-394876000,2022-11-22,0.21,0.26,868853452,32397156.0,32397156.0,-0.45447940511836743,0.0
2022-12-31,7592859000,304259000,2023-02-22,0.98,0.51,871424454,195724000.0,37252000.0,0.3491513218425243,158472000.0
2023-03-31,8348807000,618109000,2023-05-16,0.97,0.72,964995013,1001765000.0,241000.0,0.6405307713232711,1001524000.0
2023-06-30,7802297000,365207000,2023-08-22,0.61,0.51,978855223,885560000.0,13307000.0,0.37309603240478395,872253000.0
2023-09-30,8015079000,475920000,2023-11-21,0.64,0.64,978691299,830689000.0,4192000.0,0.4862820385613748,826497000.0
2023-12-31,7706468000,466233000,2024-02-28,0.7,0.66,976390799,633586000.0,19231000.0,0.477506548072254,614355000.0
2024-03-31,7927355000,655317000,2024-05-16,0.87,0.58,969724732,937773000.0,22429000.0,0.6757763088587494,915344000.0
2024-06-30,7438785000,68685000,2024-08-22,0.25,0.25,981214286,410752000.0,28299000.0,0.06999999997961709,382453000.0
2024-09-30,7245681000,229412000,2024-11-21,0.5,0.39,138354278,242517000.0,0.0,1.6581489442632196,242517000.0
2024-12-31,6613417000,-189355000,2025-02-18,-0.06,-0.04,962686998,519015000.0,45551000.0,-0.19669425305773164,473464000.0
2025-03-31,7186469000,182145000,2025-05-21,0.31,0.3,968614714,338950000.0,22429000.0,0.18804690592383463,316521000.0
2025-06-30,6628248000,-133708000,2025-08-20,-0.14,-0.23,963366285,-12731000.0,21410000.0,-0.1387924843145201,-34141000.0
2025-09-30,6682385000,-248932000,2025-11-18,-0.26,-0.27,963948249,-267581000.0,22733000.0,-0.258242079134686,-290314000.0
