fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,2615300000,254200000,2005-10-20,0.7492,,339295200.0,393500000.0,81500000,0.7492001065738625,312000000.0
2005-12-31,2713300000,291500000,2006-01-26,0.9292,,313710700.0,809100000.0,111800000,0.9292000559751389,697300000.0
2006-03-31,1804700000,253200000,2006-04-21,0.7617,,332414300.0,23100000.0,34100000,0.7617000832996655,-11000000.0
2006-06-30,2048000000,313500000,2006-07-28,0.9483,,330591600.0,216100000.0,90900000,0.9482999568047101,125200000.0
2006-09-30,2038000000,243900000,2006-10-27,0.7627,,319785000.0,513700000.0,146400000,0.7626999390215301,367300000.0
2006-12-31,2143000000,221900000,2007-01-31,0.5919,,374894400.0,972200000.0,212300000,0.5919000123768187,759900000.0
2007-03-31,1976200000,217500000,2007-04-27,0.7009,,310315300.0,45800000.0,47000000,0.7009000200763545,-1200000.0
2007-06-30,2224600000,964100000,2007-07-27,3.1683,,304295700.0,198200000.0,57800000,3.1682997820869634,140400000.0
2007-09-30,2239000000,266600000,2007-10-26,0.9231,,288809400.0,456800000.0,88500000,0.923100148402372,368300000.0
2007-12-31,2323300000,2518500000,2008-02-14,9.06,,277980100.0,896100000.0,119700000,9.060001057629664,776400000.0
2008-03-31,2163300000,181600000,2008-04-30,0.6573,,276281800.0,,37400000,0.6572999017669641,
2008-06-30,3080800000,256100000,2008-08-01,0.8798,,291088900.0,,104700000,0.8797999511489445,
2008-09-30,4313200000,227700000,2008-10-24,0.7026,,324082000.0,,196200000,0.7025999592695675,
2008-12-31,3670100000,-227700000,2009-02-11,-10.269,,22173500.0,330900000.0,306000000,-10.269014814981848,24900000.0
2009-03-31,2917900000,0,2009-04-22,-0.0833,,,40900000.0,58900000,,-18000000.0
2009-06-30,3473800000,122100000,2009-07-24,0.3757,,324993300.0,879400000.0,113800000,0.3757000528933981,765600000.0
2009-09-30,3482700000,216600000,2009-10-23,0.6528,,331801500.0,1480200000.0,156100000,0.6527999421340771,1324100000.0
