fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,1519459000,42780000,2005-11-02,0.36,0.36,120149821,79533000,10412000,0.3560554617888278,69121000
2005-12-31,1683458000,43025000,2006-01-23,0.36,0.33,119513889,30279000,10840000,0.3599999996653109,19439000
2006-03-31,1832450000,44500000,2006-04-24,0.37,0.36,120270270,92030000,13597000,0.3700000008314607,78433000
2006-06-30,1926071000,50632000,2006-07-24,0.42,0.38,120552381,-25202000,15279000,0.419999999834097,-40481000
2006-09-30,1979291000,58726000,2006-11-01,0.46,0.43,119792874,126424000,14264000,0.4902294939513681,112160000
2006-12-31,2108507000,61262000,2007-01-22,0.51,0.44,121310891,74592000,14990000,0.5050000003709477,59602000
2007-03-31,2091704000,67226000,2007-04-23,0.55,0.51,122229091,46660000,19554000,0.549999999590932,27106000
2007-06-30,2083689000,74750000,2007-07-23,0.61,0.57,122540984,58795000,13522000,0.6099999980414715,45273000
2007-09-30,2280069000,83892000,2007-11-05,0.68,0.65,123633711,180814000,16554000,0.6785527937440946,164260000
2007-12-31,2471817000,98370000,2008-01-21,0.75,0.7,124518987,-22567000,18346000,0.790000002168344,-40913000
2008-03-31,2664794000,99312000,2008-04-21,0.8,0.77,124280000,29008000,25517000,0.7990988091406501,3491000
2008-06-30,2918927000,108677000,2008-07-21,0.87,0.82,124624000,166978000,43168000,0.8720390935935294,123810000
2008-09-30,3196621000,114383000,2008-11-03,0.92,0.92,125007527,139992000,27755000,0.9150089018239678,112237000
2008-12-31,3232653000,116350000,2009-01-26,0.94,0.89,123977000,203033000,19998000,0.9384805246134363,183035000
2009-03-31,2975452000,109287000,2009-04-27,0.88,0.88,124358000,-1903000,16311000,0.8788095659306197,-18214000
2009-06-30,2706724000,94900000,2009-07-27,0.76,0.75,124748000,280021000,10469000,0.7607336390162568,269552000
2009-09-30,2552547000,79317000,2009-11-16,0.63,0.68,125059000,52316000,8750000,0.6342366403057756,43566000
2009-12-31,2477785000,72437000,2010-01-25,0.58,0.58,125302000,240369000,7741000,0.5780993120620581,232628000
2010-03-31,2586974000,77500000,2010-04-26,0.62,0.58,125565000,-123202000,15631000,0.6172102098514713,-138833000
2010-06-30,2507725000,19043000,2010-07-26,0.63,0.6,125967000,119018000,17857000,0.1511745139600054,101161000
2010-09-30,2343033000,76994000,2010-11-15,0.61,0.62,126315000,-39215000,7846000,0.6095396429561019,-47061000
2010-12-31,2356175,65823,2011-01-24,0.56,0.59,126640000,140273000,6664000,0.00051976468730259,133609000
2011-03-31,2558016000,80250000,2011-04-25,0.63,0.63,127363000,-63246000,10714000,0.6300888013002206,-73960000
