fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2018-12-31,57987033.0,-72193884,2019-03-12,-0.98,0.0,76383247,-43482449.0,1645289.77,-0.9451533789863633,-45127738.77
2019-03-31,39625221.0,-57685302,2019-05-13,-0.58,-0.53,76509292,-49567789.0,882886.83,-0.7539646556917557,-50450675.83
2019-06-30,50092340.0,-87369821,2019-08-21,-0.44,-0.47,78408247,-64122069.0,1872007.58,-1.1142937681032457,-65994076.58
2019-09-30,49076965.0,-59753329,2019-11-12,-0.33,-0.66,78408247,-51195206.0,1811179.46,-0.762079644504742,-53006385.46
2019-12-31,55197598.35,-71087239,2020-02-25,-0.79,-0.66,78408247,-57079487.41,2382605.97,-0.906629617672743,-59462093.379999995
2020-03-31,35107862.0,-50668284,2020-05-13,-0.53,-0.72,78408247,-43306826.08,499630.52,-0.6462111568442539,-43806456.6
2020-06-30,43279304.0,-48678106,2020-08-12,-0.48,-0.6,78408247,-13169000.0,515000.0,-0.6208289033677796,-13684000.0
2020-09-30,46144183.0,-44818633,2020-11-10,-0.2,-0.51,81080964,-24352000.0,1059000.0,-0.5527639385244606,-25411000.0
2020-12-31,69698350.0,-78823016,2021-02-24,-0.28,-0.38,89629623,-31177128.0,758591.0,-0.8794304088504311,-31935719.0
2021-03-31,38799963.0,-29329328,2021-05-11,-0.12,-0.37,98592584,-35491000.0,442000.0,-0.2974800619892466,-35933000.0
2021-06-30,40241000.0,-51184000,2021-08-10,-0.3754,-0.36,98592584,-26087000.0,1510000.0,-0.5191465516311045,-27597000.0
2021-09-30,42657000.0,-65610000,2021-11-16,-0.5113,-0.52,99877061,-46076000.0,795000.0,-0.6569075956289904,-46871000.0
2021-12-31,62048000.0,-85016000,2022-02-23,-0.48,-0.67,99877061,-63424000.0,4426000.0,-0.8512064647156568,-67850000.0
2022-03-31,47594000.0,-69460000,2022-05-17,-0.7,-0.61,99877061,-75467000.0,1665000.0,-0.6954549854045065,-77132000.0
2022-06-30,57324000.0,-68971000,2022-08-10,-0.36,-0.76,99877061,-58335000.0,3708000.0,-0.6905589662875643,-62043000.0
2022-09-30,50487000.0,-44562000,2022-11-17,-0.23,-0.61,99877061,-53732000.0,3023000.0,-0.44616851511079203,-56755000.0
2022-12-31,66478000.0,-54856000,2023-02-16,-0.28,-0.58,99877061,-52646000.0,2769000.0,-0.5492352242923928,-55415000.0
2023-03-31,41250000.0,-31761000,2023-05-23,-0.16,-0.36,100616280,-18975000.0,811000.0,-0.3156646220671247,-19786000.0
2023-06-30,44032000.0,-31877000,2023-08-15,-0.3168,-0.31,100616300,-19525000.0,331000.0,-0.31681745403080813,-19856000.0
2023-09-30,41715000.0,-22871000,2023-11-15,-0.2273,-0.28,100616300,-24010000.0,334000.0,-0.2273090940533492,-24344000.0
2023-12-31,46724000.0,-17646000,2024-02-15,-0.1745,-0.27,101138683,-9258000.0,776000.0,-0.17447330216866677,-10034000.0
2024-03-31,48893000.0,-40650000,2024-05-07,-0.4019,,101138683,4485000.0,245000.0,-0.4019233669475407,4240000.0
2024-06-30,36474000.0,-22004000,2024-08-06,-0.2161,,101844366,-8392000.0,681000.0,-0.21605515223100313,-9073000.0
2024-09-30,36431000.0,-16900000,2024-11-07,-0.12,0.0,122462825,-26815000.0,870000.0,-0.1380010627714982,-27685000.0
2024-12-31,45688000.0,-19533000,2025-02-20,-0.14,-0.067,122462825,-26477000.0,1882000.0,-0.15950146503643045,-28359000.0
2025-03-31,36261000.0,-16710000,2025-05-08,-0.12,-0.06,122462825,-21175000.0,871000.0,-0.13644957153323875,-22046000.0
2025-06-30,45642000.0,-16592000,2025-08-07,-0.12,-0.11,122462825,-12683000.0,737000.0,-0.13548601381684605,-13420000.0
2025-09-30,45632000.0,-17939000,2025-11-06,-0.1,-0.12,122462825,-12399000.0,1368000.0,-0.1464852701217696,-13767000.0
