fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2023-03-31,190112000,-12343000,2023-05-31,-0.2095,0.0,75000000,23290000,48581000,-0.16457333333333332,-25291000
2023-06-30,203306000,17517000,2023-08-11,-0.14,0.0,59000000,94678000,45453000,0.29689830508474574,49225000
2023-09-30,230983000,21766000,2023-11-08,0.37,0.19,84292083,85731000,51539000,0.25822116651216226,34192000
2023-12-31,225980000,-6874000,2024-03-06,-0.09,0.29,77675607,62627000,74222000,-0.08849625082427744,-11595000
2024-03-31,215492000,30232000,2024-05-08,0.39,0.37,78102000,51542000,60153000,0.38708355739929834,-8611000
2024-06-30,309653000,6228000,2024-08-12,0.06,0.34,90669239,121082000,117033000,0.06868922766628713,4049000
2024-09-30,324647000,-5648000,2024-11-06,0.05,0.37,84292083,36878000,86533000,-0.06700510651753618,-49655000
2024-12-31,309519000,19083000,2025-03-06,0.21,0.34,89272000,118485000,73237000,0.21376243390984856,45248000
2025-03-31,329642000,30411000,2025-05-08,0.33,0.39,90606000,114328000,77553000,0.3356400238394808,36775000
2025-06-30,322843000,39496000,2025-08-06,0.43,0.4,90040000,177172000,82618000,0.4386494891159485,94554000
2025-09-30,322744000,-14011000,2025-11-04,0.36,0.42,87055000,113378000,102470000,-0.16094423065877894,10908000
