fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2010-03-31,4998300000000,300600000000,2010-04-30,0.5272,,486392936,1194652000000.0,1829787000000.0,618.0188439249866,-635135000000.0
2010-06-30,4986447000000,343661000000,2010-07-30,0.7332,,486406464,,,706.5304954499946,
2010-09-30,5233400000000,350600000000,2010-11-02,0.7976,,486431688,,,720.7589650286105,
2010-12-31,6289213000000,101205000000,2011-01-31,0.2931,,486431688,2850392000.0,2865201000.0,208.05593569800493,-14809000.0
2011-03-31,5303700000000,555200000000,2011-05-06,1.0101,,486431688,,0.0,1141.3730102221466,
2011-06-30,5343000000000,421000000000,2011-08-05,0.7929,,486431688,,0.0,865.4863784285369,
2011-09-30,4992000000000,256000000000,2011-11-07,0.4767,,522223616,,0.0,490.2114576143565,
2011-12-31,6379051000000,214551000000,2012-03-31,1.3875,,522223616,1856115000.0,2769389000.0,410.84124391647583,-913274000.0
2012-03-31,5758000000000,387000000000,2012-06-30,0.7931,,486429604,798988000000.0,1012395000000.0,795.5930248028243,-213407000000.0
2012-06-30,5773000000000,238000000000,2012-09-30,1.3666,,487223112,2115614000000.0,1123845000000.0,488.48257428313457,991769000000.0
2012-09-30,6519000000000,372000000000,2012-12-31,0.4247,,487271612,953287000000.0,685594000000.0,763.4345831745273,267693000000.0
2012-12-31,5740359000000,39047000000,2013-03-31,0.6697,,486429322,1853509000000.0,1983241000000.0,80.272710204752,-129732000000.0
2013-03-31,6104463000000,181589000000,2013-06-30,0.3886,,487271612,160973000000.0,718605000000.0,372.66484549483664,-557632000000.0
2013-06-30,5757044000000,108512000000,2013-09-30,0.4045,,487607296,1401019000000.0,835223000000.0,222.53973820769082,565796000000.0
2013-09-30,5734613000000,106037000000,2013-11-01,-2.2809,,487742300,1253803000000.0,961451000000.0,217.40373963873955,292352000000.0
2013-12-31,6132553000000,-586069000000,2014-01-28,-0.3641,,487742300,1295278000000.0,1122873000000.0,-1201.5955966911215,172405000000.0
2014-03-31,5846074000000,-72038000000,2014-04-30,-3.2704,,487607296,593151000000.0,1169381000000.0,-147.73774016703803,-576230000000.0
2014-06-30,5895469000000,-786884000000,2014-07-29,0.0901,,488613752,-28710000000.0,711498000000.0,-1610.4417789698232,-740208000000.0
2014-09-30,5955553000000,48848000000,2014-10-31,0.0956,,489472918,719945000000.0,704534000000.0,99.79714546740254,15411000000.0
2014-12-31,5424100000000,-244900000000,2015-01-30,-0.4602,,522223616,632027000000.0,845833000000.0,-468.95619519435905,-213806000000.0
2015-03-31,5436406000000,262257000000,2015-04-29,0.4861,,522223616,850343000000.0,1155451000000.0,502.19291499831365,-305108000000.0
2015-06-30,5431340000000,299675000000,2015-07-31,0.5575,,489713942,1129536000000.0,706346000000.0,611.9388775743697,423190000000.0
2015-09-30,5492214000000,116979000000,2015-10-30,0.2026,,489699600,1772698000000.0,830491000000.0,238.8791005751281,942207000000.0
2015-12-31,5958900000000,-125900000000,2016-01-29,-0.2225,,489699600,477388000000.0,822817000000.0,-257.09639133869007,-345429000000.0
2016-03-31,5515000000000,186000000000,2016-05-18,0.3186,,489699600,477388000000.0,822817000000.0,379.8246925257852,-345429000000.0
2016-06-30,5677628000000,230090000000,2016-07-29,0.4303,0.65,489688546,1712829000000.0,525712000000.0,469.8700875882852,1187117000000.0
2016-09-30,5529900000000,211400000000,2016-11-14,0.3622,0.57,489943286,1180857000000.0,716021000000.0,431.47851198434427,464836000000.0
2016-12-31,6032437000000,80831000000,2017-02-01,0.1426,0.63,489943286,3963306000.0,2296484000.0,164.98031978338,1666822000.0
