fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,122266000,6326000,2005-11-02,0.28,0.3,22626000,15122000,4979000,0.2795898523822152,10143000
2005-12-31,90484000,2688000,2006-02-08,0.23,0.25,22600000,10810000,5296000,0.11893805309734513,5514000
2006-03-31,125611000,9371000,2006-05-09,0.45,0.37,22334000,13998000,4603000,0.4195844900152234,9395000
2006-06-30,137941000,449000,2006-08-09,0.5,0.48,22693000,25731000,4797000,0.019785837042259728,20934000
2006-09-30,143471000,9360000,2006-11-02,0.48,0.46,22504000,14637000,4716000,0.4159260575897618,9921000
2006-12-31,127836000,4644000,2007-02-06,0.25,0.21,22400000,26549000,5497000,0.20732142857142857,21052000
2007-03-31,131814000,6221000,2007-05-02,0.4,0.35,22338000,1001000,5125000,0.2784940460202346,-4124000
2007-06-30,129149000,8382000,2007-08-01,0.4,0.41,22516000,15006000,7964000,0.37226860898916325,7042000
2007-09-30,140215000,14294000,2007-10-31,0.48,0.43,22499000,15267000,13126000,0.6353171252055647,2141000
2007-12-31,134966000,7938000,2008-02-06,0.38,0.36,22300000,28666000,14286000,0.35596412556053814,14380000
2008-03-31,133708000,4112000,2008-04-30,0.36,0.35,21898000,-1001000,11455000,0.18777970590921544,-12456000
2008-06-30,149826000,9141000,2008-07-30,0.45,0.45,21869000,15525000,13646000,0.41798893410764093,1879000
2008-09-30,141448000,3988000,2008-10-29,0.35,0.31,21855000,13189000,11855000,0.18247540608556395,1334000
2008-12-31,105887000,-9225000,2009-02-04,-0.15,-0.11,21700000,12862000,14332000,-0.4251152073732719,-1470000
2009-03-31,84403000,-7784000,2009-04-30,-0.36,-0.35,21727000,-1909000,7205000,-0.35826391126248447,-9114000
2009-06-30,101396000,-2584000,2009-07-30,0.1,0.09,21748000,-2298000,4194000,-0.11881552326650727,-6492000
2009-09-30,116420000,8058000,2009-10-29,0.33,0.3,21882000,4951000,1963000,0.36824787496572525,2988000
2009-12-31,127928000,11721000,2010-02-08,0.53,0.5,22000000,28867000,2174000,0.5327727272727273,26693000
2010-03-31,144402000,15469000,2010-05-06,0.69,0.7,22205000,6890000,2276000,0.6966448997973429,4614000
2010-06-30,157508000,20278000,2010-08-05,0.9,0.84,22397000,19246000,4879000,0.9053891146135643,14367000
2010-09-30,163465000,23338000,2010-11-04,1.13,0.96,22344000,48795000,8585000,1.044486215538847,40210000
2010-12-31,142646000,19578000,2011-02-10,0.82,0.8,22100000,29138000,6693000,0.8858823529411765,22445000
2011-03-31,167160000,21578000,2011-05-05,1.08,1.07,22328000,13717000,4614000,0.9664098889286994,9103000
2011-06-30,176615000,25269000,2011-08-04,1.15,1.17,22590000,32352000,5945000,1.1185922974767597,26407000
2011-09-30,173987000,24939000,2011-11-03,1.2,1.05,22287000,37884000,1822000,1.1189931350114417,36062000
2011-12-31,147193000,15238000,2012-02-07,0.67,0.64,21806000,36797000,5174000,0.6987984958268366,31623000
2012-03-31,160578000,17889000,2012-05-03,0.81,0.74,21929000,7864000,3244000,0.8157690729171417,4620000
2012-06-30,175853000,23604000,2012-08-01,1.07,1.0,22074000,24713000,3503000,1.0693123131285676,21210000
2012-09-30,172688000,23998000,2012-11-01,1.13,1.07,22162000,43474000,6050000,1.0828445086183558,37424000
2012-12-31,158794000,9841000,2013-02-05,0.81,0.84,22228000,40119000,9732000,0.4427298902285406,30387000
2013-03-31,170918000,14794000,2013-04-30,0.95,0.94,22366000,16045000,5453000,0.6614504158097112,10592000
2013-06-30,187766000,26648000,2013-07-31,1.15,1.13,22499000,22960000,8992000,1.1844081959198187,13968000
2013-09-30,201040000,26990000,2013-10-30,1.26,1.2,22625000,46806000,10883000,1.1929281767955802,35923000
2013-12-31,198129000,23658000,2014-02-05,1.08,1.03,22657000,31556000,9625000,1.0441806064350974,21931000
2014-03-31,206859000,25389000,2014-04-29,1.16,1.15,22717000,11509000,6423000,1.1176211647664744,5086000
2014-06-30,220908000,24578000,2014-07-30,1.26,1.31,22750000,31004000,6709000,1.0803516483516484,24295000
2014-09-30,217608000,29940000,2014-10-29,1.35,1.35,22689000,61318000,6290000,1.3195821763850324,55028000
2014-12-31,206620000,19511000,2015-02-04,1.02,1.1,22729000,49310000,12859000,0.8584187601742268,36451000
2015-03-31,210313000,19995000,2015-04-29,1.08,1.05,22781000,23230000,12279000,0.8777051051314692,10951000
2015-06-30,222021000,28684000,2015-07-29,1.33,1.27,22835000,38734000,14109000,1.2561418874534704,24625000
2015-09-30,215510000,11324000,2015-10-28,1.43,1.31,22693000,51619000,8628000,0.49900850482527653,42991000
2015-12-31,220020000,22463000,2016-02-02,1.21,1.17,22564000,52243000,9003000,0.9955238432901967,43240000
2016-03-31,219398000,19289000,2016-05-05,1.38,1.27,22621000,9492000,9139000,0.8527032403518854,353000
2016-06-30,271912000,27152000,2016-08-04,1.44,1.42,22674000,25784000,11078000,1.1974949281114933,14706000
2016-09-30,280331000,30802000,2016-11-03,1.87,1.87,22734000,64739000,14284000,1.3548869534617753,50455000
2016-12-31,284518000,27245000,2017-02-01,1.57,1.52,22863000,80118000,11727000,1.1916633862572716,68391000
2017-03-31,285441000,38891000,2017-05-03,1.69,1.65,22989000,22943000,12377000,1.6917221279742485,10566000
2017-06-30,313355000,48638000,2017-08-02,2.1,2.09,23023000,70630000,15901000,2.1125830691048084,54729000
2017-09-30,317889000,42808000,2017-11-01,2.12,2.12,22953000,87747000,20192000,1.8650285365747397,67555000
2017-12-31,304849000,-10819000,2018-01-31,1.81,1.68,22714000,87850000,17455000,-0.47631416747380473,70395000
2018-03-31,417813000,36029000,2018-05-02,2.39,1.81,24775000,69268000,17909000,1.4542482341069627,51359000
2018-06-30,459183000,42326000,2018-08-01,2.68,2.5,25401000,71647000,22406000,1.666312349907484,49241000
2018-09-30,439191000,53546000,2018-10-31,2.49,2.4,25471000,111201000,15631000,2.1022339130776175,95570000
2018-12-31,402281000,32665000,2019-01-30,1.87,2.0,25299000,79712000,18807000,1.2911577532708802,60905000
2019-03-31,405500000,36989000,2019-05-01,1.96,1.92,25009000,30919000,14076000,1.4790275500819705,16843000
2019-06-30,397879000,43792000,2019-07-31,1.91,1.97,24983000,49173000,11173000,1.752871952927991,38000000
2019-09-30,361971000,35647000,2019-10-30,1.78,1.57,24684000,80771000,13148000,1.4441338518878626,67623000
2019-12-31,338523000,22654000,2020-01-29,1.17,1.16,24598000,84465000,23498000,0.9209691844865436,60967000
2020-03-31,346096000,24644000,2020-04-29,1.29,0.97,24578000,45279000,16586000,1.00268532834242,28693000
2020-06-30,307337000,-8991000,2020-07-29,0.71,0.37,24312000,56007000,12893000,-0.369817374136229,43114000
2020-09-30,391566000,55356000,2020-10-28,2.16,1.17,24573000,62970000,12057000,2.252716396044439,50913000
2020-12-31,400696000,58977000,2021-02-03,2.23,1.56,24726000,93775000,14655000,2.385222033487018,79120000
2021-03-31,463794000,57713000,2021-04-28,2.67,1.9,24892000,50166000,14721000,2.318536075847662,35445000
2021-06-30,523488000,82095000,2021-07-28,3.41,2.24,24900000,76180000,17936000,3.2969879518072287,58244000
2021-09-30,539581000,92054000,2021-10-26,3.95,3.15,24926000,114318000,24869000,3.6930915509909332,89449000
2021-12-31,553065000,51944000,2022-02-01,3.16,2.94,25001000,132680000,33036000,2.077676892924283,99644000
2022-03-31,623330000,117518000,2022-05-03,4.99,3.24,24981000,51731000,29809000,4.704295264400945,21922000
2022-06-30,618436000,87016000,2022-08-02,4.26,4.04,24985000,113591000,26342000,3.4827296377826698,87249000
2022-09-30,658880000,75468000,2022-11-01,4.28,3.79,24988000,148117000,21622000,3.0201696814470944,126495000
2022-12-31,613251000,93304000,2023-02-01,3.34,3.27,24978000,106279000,26568000,3.7354471935303066,79711000
2023-03-31,609782000,88745000,2023-05-02,3.64,2.86,25062000,53407000,25665000,3.5410182746787964,27742000
2023-06-30,611997000,70071000,2023-08-01,3.12,3.35,25095000,98226000,15836000,2.7922295277943814,82390000
2023-09-30,607071000,57788000,2023-10-31,2.97,2.61,25143000,161507000,21665000,2.298373304697132,139842000
2023-12-31,533807000,42881000,2024-01-30,2.02,2.11,25111000,144247000,23022000,1.707657998486719,121225000
2024-03-31,535385000,48452000,2024-04-30,1.76,1.75,25124000,57150000,15547000,1.9285145677439899,41603000
2024-06-30,558489000,45466000,2024-07-30,1.97,1.76,25030000,69424000,19127000,1.8164602477027567,50297000
2024-09-30,567390000,58058000,2024-10-29,2.71,2.08,25025000,80425000,15391000,2.32,65034000
2024-12-31,529505000,-51786000,2025-01-28,2.04,2.06,25039000,160622000,25812000,-2.068213586804585,134810000
2025-03-31,554307000,43571000,2025-04-29,2.19,1.81,24963000,65758000,23102000,1.745423226375035,42656000
2025-06-30,613413000,57342000,2025-07-30,2.85,2.33,24938000,82467000,9897000,2.2993824685219346,72570000
2025-09-30,624640000,69522000,2025-10-28,2.95,2.79,24989000,146874000,15698000,2.782104125815359,131176000
