fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,25302000,4522000,2005-10-17,0.24,0.25,18464328,9132000,396000,0.2449046615723031,8736000
2005-12-31,28025000,4977000,2006-01-17,0.27,0.25,18020745,7840000,221000,0.27618170059006997,7619000
2006-03-31,28371000,4650000,2006-04-17,0.25,0.26,18511155,7458000,229000,0.2511998846101175,7229000
2006-06-30,30579000,4782000,2006-07-17,0.26,0.26,18548899,3045000,277000,0.2578050589417733,2768000
2006-09-30,31964000,4730000,2006-10-16,0.25,0.26,18582558,5113000,1289000,0.2545397678834098,3824000
2006-12-31,32901000,4559000,2007-01-16,0.25,0.26,18239652,4577000,455000,0.24994994422042702,4122000
2007-03-31,32861000,4758000,2007-04-16,0.25,0.25,18629962,10011000,639000,0.2553950458943502,9372000
2007-06-30,34563000,5255000,2007-07-16,0.28,0.27,18631767,6024000,991000,0.28204517585476463,5033000
2007-09-30,35225000,4374000,2007-10-15,0.23,0.29,18650551,6530000,1022000,0.23452390226969702,5508000
2007-12-31,35393000,4824000,2008-01-25,0.27,0.26,18323341,10478000,1418000,0.2632707648676079,9060000
2008-03-31,35361000,5241000,2008-04-25,0.28,0.24,18636964,4502000,238000,0.2812153309948981,4264000
2008-06-30,34984000,4802000,2008-07-23,0.26,0.26,18702729,5696000,496000,0.2567539742462183,5200000
2008-09-30,37168000,5225000,2008-10-27,0.28,0.27,18702669,7128000,583000,0.2793718907178435,6545000
2008-12-31,34299000,4439000,2009-01-26,0.23,0.24,18602247,12026000,3607000,0.23862708628694157,8419000
2009-03-31,38565000,3870000,2009-04-27,0.19,0.22,18761244,6205000,271000,0.2062763002282791,5934000
2009-06-30,34852000,4460000,2009-07-27,0.19,0.16,18772794,9437000,652000,0.23757784802837553,8785000
2009-09-30,35034000,5267000,2009-10-26,0.24,0.23,18796896,10977000,355000,0.28020583824052653,10622000
2009-12-31,35415000,5382000,2010-01-25,0.21,0.2,24137439,-2357000,40000,0.22297311657628632,-2397000
2010-03-31,35103000,6021000,2010-04-26,0.21,0.21,24264609,16652000,247000,0.24813917257022358,16405000
2010-06-30,36171000,6219000,2010-07-26,0.16,0.24,24318690,5901000,536000,0.25572923541523,5365000
2010-09-30,37336000,6521000,2010-10-25,0.27,0.27,24348381,9851000,505000,0.2678206817939969,9346000
2010-12-31,37674000,5782000,2011-01-25,0.24,0.28,24293028,13295000,1739000,0.23801067532627057,11556000
2011-03-31,35576000,5965000,2011-04-25,0.25,0.27,24427741,20126000,753000,0.24418958756767561,19373000
2011-06-30,36466000,7989000,2011-07-25,0.33,0.29,24450343,8349000,692000,0.3267438824886833,7657000
2011-09-30,36354000,8447000,2011-10-25,0.35,0.32,24486087,9775000,1520000,0.3449714117245438,8255000
2011-12-31,35701000,8261000,2012-01-25,0.33,0.35,24420624,13092000,3695000,0.33827964428754975,9397000
2012-03-31,34784000,8626000,2012-04-25,0.35,0.33,24658864,13973000,950000,0.3498133571765512,13023000
2012-06-30,34001000,8819000,2012-07-25,0.36,0.34,24680341,10247000,614000,0.35732893641947655,9633000
2012-09-30,33746000,9347000,2012-10-25,0.38,0.36,24735585,12583000,704000,0.37787665017827554,11879000
2012-12-31,29612000,8602000,2013-01-25,0.35,0.37,24753469,13789000,631000,0.34750684843405183,13158000
2013-03-31,32480000,9246000,2013-04-25,0.37,0.35,24790756,23108000,341000,0.3729615990734611,22767000
2013-06-30,32614000,9236000,2013-07-25,0.39,0.37,24819820,8093000,1549000,0.3721219573711655,6544000
2013-09-30,33336000,9769000,2013-10-25,0.39,0.39,24952399,18983000,3971000,0.39150544202182724,15012000
2013-12-31,34408000,10588000,2014-01-27,0.42,0.41,25033000,12781000,1643000,0.4229616905684496,11138000
2014-03-31,34206000,9912000,2014-04-25,0.39,0.41,25070779,14894000,1070000,0.39536067068358743,13824000
2014-06-30,35349000,11312000,2014-07-25,0.45,0.44,25109000,10918000,1120000,0.4505157513242264,9798000
2014-09-30,36059000,11511000,2014-10-27,0.46,0.46,25163655,13838000,1522000,0.45744547046126643,12316000
2014-12-31,35556000,11070000,2015-01-26,0.44,0.46,25194000,16050000,2853000,0.4393903310311979,13197000
2015-03-31,35692000,11136000,2015-04-27,0.44,0.43,25184245,16476000,1414000,0.4421812128971903,15062000
2015-06-30,36065000,11380000,2015-07-24,0.45,0.46,25230000,9969000,1907000,0.45105033690051527,8062000
2015-09-30,36918000,11565000,2015-10-26,0.46,0.46,25271974,16662000,2264000,0.45762155342514993,14398000
2015-12-31,37751000,12286000,2016-01-25,0.49,0.47,25325000,12674000,3582000,0.48513326752221125,9092000
2016-03-31,38221000,12279000,2016-04-25,0.49,0.46,25328000,18466000,2927000,0.4847994314592546,15539000
2016-06-30,40302000,12803000,2016-07-25,0.51,0.48,25395769,16312000,1558000,0.5041390949807426,14754000
2016-09-30,42114000,13480000,2016-10-25,0.53,0.5,25457892,14689000,4164000,0.529501814211483,10525000
2016-12-31,43030000,13522000,2017-01-25,0.53,0.52,25518000,12732000,1176000,0.5299004624186848,11556000
2017-03-31,44370000,14514000,2017-04-25,0.57,0.52,25596000,20760000,2285000,0.5670417252695734,18475000
2017-06-30,47638000,15364000,2017-07-25,0.6,0.55,25620000,15168000,4529000,0.599687743950039,10639000
2017-09-30,50054000,15825000,2017-10-25,0.62,0.6,25656403,17209000,1282000,0.6168050915009403,15927000
2017-12-31,51412000,11627000,2018-01-25,0.61,0.61,25701000,24105000,1486000,0.4523948484494767,22619000
2018-03-31,53434000,18336000,2018-04-25,0.71,0.7,25697000,25939000,678000,0.7135463283651788,25261000
2018-06-30,56227000,20142000,2018-07-25,0.78,0.75,25709000,19615000,2909000,0.7834610447703139,16706000
2018-09-30,58514000,20570000,2018-10-25,0.8,0.78,25745000,29614000,1843000,0.7989900951641096,27771000
2018-12-31,61440000,21363000,2019-01-25,0.83,0.79,25746000,29807000,2538000,0.8297599627126544,27269000
2019-03-31,62594000,21682000,2019-04-25,0.84,0.81,25665510,23659000,2091000,0.8447913172191006,21568000
2019-06-30,63649000,21713000,2019-07-25,0.85,0.81,25774000,21000000,1472000,0.842438115930783,19528000
2019-09-30,62914000,21454000,2019-10-25,0.83,0.77,25796696,27215000,2411000,0.831656891254601,24804000
2019-12-31,60643000,22198000,2020-01-27,0.86,0.77,25818000,28165000,2024000,0.8597877449841196,26141000
2020-03-31,58334000,17299000,2020-04-27,0.67,0.59,25736000,19515000,2133000,0.6721712775878147,17382000
2020-06-30,55171000,19670000,2020-07-27,0.77,0.54,25470000,21225000,1145000,0.7722811150372988,20080000
2020-09-30,56069000,22776000,2020-10-26,0.89,0.73,25487000,20525000,1876000,0.8936320477105976,18649000
2020-12-31,58508000,24592000,2021-01-25,0.97,0.8,25519643,25963000,565000,0.9636498441612212,25398000
2021-03-31,57215000,22983000,2021-04-26,0.9,0.88,25550000,23792000,2162000,0.8995303326810176,21630000
2021-06-30,55761000,24348000,2021-07-26,0.95,0.84,25602063,35158000,1133000,0.9510171113944997,34025000
2021-09-30,57240000,24119000,2021-10-25,0.94,0.93,25635288,26916000,1970000,0.9408515324657167,24946000
2021-12-31,55049000,24283000,2022-01-25,0.95,0.96,25669042,27787000,902000,0.9460033607798842,26885000
2022-03-31,55640000,23642000,2022-04-25,0.92,0.93,25690372,47704000,1091000,0.9202669389139246,46613000
2022-06-30,64114000,25673000,2022-07-25,1.0,0.96,25698000,43455000,1223000,0.9990271616468208,42232000
2022-09-30,72722000,28525000,2022-10-25,1.11,1.03,25735000,43691000,1364000,1.1084126675733437,42327000
2022-12-31,95382000,25977000,2023-01-25,1.01,1.13,25754274,34492000,1143000,1.0086481179783984,33349000
2023-03-31,89534000,24278000,2023-04-25,0.94,1.09,25742885,27443000,2155000,0.9430955388255823,25288000
2023-06-30,95983000,14611000,2023-07-21,0.57,0.91,25686354,9462000,1668000,0.5688234305265746,7794000
2023-09-30,99458000,25252000,2023-10-25,0.98,0.9,25694000,50571000,1187000,0.9827975402817778,49384000
2023-12-31,108150000,29626000,2024-01-25,1.16,0.89,25732870,26505000,981000,1.1512901592399138,25524000
2024-03-31,103646000,23401000,2024-04-25,0.91,0.86,25748000,24794000,1541000,0.9088472891098338,23253000
2024-06-30,114175000,22549000,2024-07-25,0.87,0.85,25743000,21002000,2425000,0.8759274365847026,18577000
2024-09-30,106935000,23338000,2024-10-25,0.91,0.88,25768000,18001000,2679000,0.9056969885128842,15322000
2024-12-31,105246000,24190000,2025-01-24,0.94,0.9,25792000,38688000,1989000,0.9378877171215881,36699000
2025-03-31,101383000,20085000,2025-04-25,0.78,0.89,25803000,28924000,1787000,0.7783978607138705,27137000
2025-06-30,105871000,26966000,2025-07-25,1.04,0.97,25783000,16172000,2120000,1.0458829461272932,14052000
2025-09-30,107841000,26404000,2025-10-27,1.03,1.04,25821360,36068000,5011000,1.0225642646243265,31057000
