fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2006-09-30,8540000,222000,2006-11-29,0.0145,,8497000,-257000,25000,0.026126868306461104,-282000
2006-12-31,8757000,-674000,2007-02-28,-0.05,-0.05,8497000,-32000,232000,-0.07932211368718371,-264000
2007-03-31,9883000,-629000,2007-05-03,-0.04,-0.03,15338000,-1868000,231000,-0.04100925805189725,-2099000
2007-06-30,10315000,227000,2007-08-01,0.01,-0.04,15760000,27000,298000,0.014403553299492385,-271000
2007-09-30,10144000,-1354000,2007-11-05,-0.09,-0.05,15410000,485000,297000,-0.08786502271252433,188000
2007-12-31,11104000,-1178000,2008-03-04,-0.08,-0.04,15506000,-470000,567000,-0.07597059202889204,-1037000
2008-03-31,11847000,-2564000,2008-04-30,-0.17,-0.08,15506000,-4349000,407000,-0.1653553463175545,-4756000
2008-06-30,12739000,-926000,2008-07-29,-0.06,-0.05,15542000,1152000,250000,-0.05958049157122636,902000
2008-09-30,12023000,-136000,2008-10-29,-0.01,-0.03,15608000,1310000,32000,-0.008713480266529985,1278000
2008-12-31,12111000,312000,2009-03-04,0.0196,,15661000,2468000,49000,0.01992209948279165,2419000
2009-03-31,11348000,-1881000,2009-04-28,-0.12,-0.17,15661000,-2306000,1104000,-0.12010727284336888,-3410000
2009-06-30,12630000,925000,2009-07-29,0.06,0.03,15866000,2614000,144000,0.05830076893987143,2470000
2009-09-30,13346000,1285000,2009-10-28,0.08,0.01,15934000,3163000,257000,0.08064516129032258,2906000
2009-12-31,13584000,1269000,2010-03-05,0.079,,15678000,1969000,120000,0.0809414466130884,1849000
2010-03-31,13815000,1021000,2010-04-29,0.06,0.05,16036000,819000,303000,0.06366924420054877,516000
2010-06-30,14158000,1511000,2010-07-28,0.09,0.06,16050000,2641000,350000,0.09414330218068535,2291000
2010-09-30,13656000,1517000,2010-10-28,0.09,0.08,16157000,2623000,557000,0.09389119267190692,2066000
2010-12-31,14431000,1964000,2011-02-28,0.11,0.06,15465000,969000,1348000,0.12699644358228257,-379000
2011-03-31,14598000,64000,2011-04-28,0.05,0.05,16038000,-2104000,534000,0.003990522509041028,-2638000
2011-06-30,15112000,519000,2011-07-28,0.07,0.08,16071000,3202000,246000,0.03229419451185365,2956000
2011-09-30,14564000,1214000,2011-10-27,0.06,0.07,16030000,2375000,671000,0.07573300062383032,1704000
2011-12-31,13411000,346000,2012-02-27,0.02,0.06,15294000,-303000,634000,0.022623250948084216,-937000
2012-03-31,13928000,386000,2012-05-02,0.02,0.04,15726000,386000,316000,0.024545338929161897,70000
2012-06-30,14361000,824000,2012-07-31,0.05,0.04,15636000,2045000,336000,0.05269889997441801,1709000
2012-09-30,13645000,663000,2012-10-30,0.04,0.04,15605000,1864000,246000,0.0424863825696892,1618000
2012-12-31,14801000,698000,2013-02-26,0.04,0.05,15597000,427000,427000,0.04475219593511573,0
2013-03-31,15382000,846000,2013-05-01,0.05,0.03,15648000,-346000,684000,0.05406441717791411,-1030000
2013-06-30,15951000,889000,2013-07-30,0.06,0.05,15701000,1987000,1494000,0.056620597414177444,493000
2013-09-30,15300000,781000,2013-10-29,0.05,0.04,15780000,2391000,401000,0.04949302915082383,1990000
2013-12-31,17916000,746000,2014-02-25,0.05,0.05,15921000,1356000,318000,0.04685635324414296,1038000
2014-03-31,16754000,-207000,2014-04-29,0.01,0.02,15586000,-1689000,446000,-0.013281149749775439,-2135000
2014-06-30,18161000,1272000,2014-07-29,0.09,0.05,16545000,1623000,110000,0.07688123300090662,1513000
2014-09-30,17501000,934000,2014-10-28,0.05,0.05,17709000,2896000,227000,0.05274154384776102,2669000
2014-12-31,18681000,1916000,2015-02-25,0.11,0.07,17713000,2682000,406000,0.10816914130864337,2276000
2015-03-31,18947000,1369000,2015-04-28,0.08,0.05,17796000,-600000,323000,0.07692739941559901,-923000
2015-06-30,19897000,1767000,2015-07-28,0.1,0.07,18065000,3902000,470000,0.09781345142540825,3432000
2015-09-30,19025000,2092000,2015-10-27,0.1,0.08,18497000,4211000,771000,0.11309942152781532,3440000
2015-12-31,20483000,2530000,2016-02-24,0.13,0.09,18781000,3925000,726000,0.13471061178850965,3199000
2016-03-31,20258000,2166000,2016-05-02,0.11,0.1,18860000,1258000,720000,0.11484623541887592,538000
2016-06-30,22389000,2598000,2016-07-27,0.14,0.11,18978000,5094000,544000,0.13689535251343662,4550000
2016-09-30,23216000,3229000,2016-10-26,0.17,0.15,19248000,6350000,566000,0.16775768911055694,5784000
2016-12-31,23288000,2597000,2017-02-21,0.13,0.15,19558000,4194000,1013000,0.1327845382963493,3181000
2017-03-31,24139000,3219000,2017-04-26,0.16,0.13,19707000,2476000,1691000,0.16334297457756128,785000
2017-06-30,25753000,4632000,2017-07-27,0.23,0.17,19975000,5424000,753000,0.2318898623279099,4671000
2017-09-30,24822000,5042000,2017-10-26,0.25,0.2,20147000,8198000,2336000,0.25026058470243706,5862000
2017-12-31,26153000,4284000,2018-02-21,0.21,0.2,20191000,6770000,1637000,0.2121737407755931,5133000
2018-03-31,25994000,3853000,2018-04-25,0.19,0.21,20181000,3751000,427000,0.1909221545017591,3324000
2018-06-30,27020000,8751000,2018-07-26,0.21,0.42,20260000,4876000,803000,0.43193484698914114,4073000
2018-09-30,24165000,4314000,2018-10-04,0.21,0.21,20293000,4308000,534000,0.21258562065736952,3774000
2018-12-31,28389000,6025000,2019-02-19,0.3,0.2,20179000,6571000,1290000,0.29857772932256305,5281000
2019-03-31,28479000,3513000,2019-05-01,0.17,0.19,20205000,-219000,802000,0.1738678544914625,-1021000
2019-06-30,29483000,4624000,2019-07-24,0.23,0.21,20246000,4334000,849000,0.22839079324310976,3485000
2019-09-30,29100000,5184000,2019-10-23,0.25,0.21,20378000,4470000,710000,0.25439199136323487,3760000
2019-12-31,30170000,4613000,2020-02-06,0.23,0.23,20484000,5594000,1400000,0.22520015621948838,4194000
2020-03-31,30551000,3174000,2020-04-30,0.16,0.15,20438000,1189000,863000,0.15529895293081514,326000
2020-06-30,24851000,3500000,2020-07-23,0.21,0.01,20399000,5347000,311000,0.17157703809010247,5036000
2020-09-30,36416000,7513000,2020-10-29,0.37,0.19,20474000,14112000,593000,0.366953208947934,13519000
2020-12-31,37548000,7033000,2021-02-25,0.34,0.29,20621000,14152000,1215000,0.34106008438000096,12937000
2021-03-31,35883000,5929000,2021-04-29,0.28,0.27,20847000,6074000,1059000,0.28440543003789515,5015000
2021-06-30,40670000,8299000,2021-07-29,0.4,0.34,20959000,9897000,1403000,0.3959635478791927,8494000
2021-09-30,38368000,6504000,2021-10-28,0.3,0.33,21935000,14075000,1814000,0.2965124230681559,12261000
2021-12-31,39503000,6175000,2022-02-24,0.28,0.31,22138000,5056000,606000,0.27893215285933687,4450000
2022-03-31,39561000,6038000,2022-04-28,0.27,0.28,22103000,4711000,536000,0.2731755870243858,4175000
2022-06-30,42108000,3515000,2022-07-28,0.16,0.27,22129000,9248000,973000,0.15884133941886214,8275000
2022-09-30,39028000,5456000,2022-10-27,0.25,0.28,22217000,7342000,460000,0.24557771076202908,6882000
2022-12-31,40954000,5627000,2023-02-23,0.25,0.26,22238000,4077000,1260000,0.25303534490511737,2817000
2023-03-31,47075000,6040000,2023-05-02,0.27,0.25,22274000,2279000,2130000,0.27116817814492233,149000
2023-06-30,50115000,8098000,2023-08-01,0.36,0.32,22451000,11903000,2803000,0.3606966282125518,9100000
2023-09-30,47411000,7502000,2023-11-01,0.33,0.3,22481000,11823000,1053000,0.33370401672523464,10770000
2023-12-31,48883000,8465000,2024-02-27,0.38,0.36,22459000,10746000,1279000,0.37690903424017097,9467000
2024-03-31,53478000,9887000,2024-05-02,0.44,0.39,22725000,5071000,1370000,0.4350715071507151,3701000
2024-06-30,55849000,11826000,2024-08-01,0.52,0.47,22725000,9625000,1878000,0.5203960396039604,7747000
2024-09-30,54819000,11141000,2024-10-31,0.49,0.44,22836000,14246000,1670000,0.48787002977754423,12576000
2024-12-31,55717000,11184000,2025-02-25,0.49,0.49,22902000,15182000,2044000,0.4883416295520042,13138000
2025-03-31,59871000,11011000,2025-04-30,0.48,0.4978,22899000,9039000,1383000,0.48085069216996373,7656000
2025-06-30,64232000,13779000,2025-07-30,0.6,0.5667,22892000,20291000,1342000,0.6019133321684431,18949000
2025-09-30,61046000,17362000,2025-11-06,0.62,0.57,24392000,28764000,2281000,0.7117907510659233,26483000
