fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2014-06-30,15853840,3667249,2014-09-03,0.07,0.02,53346160,3479910,61272300,0.06874438572523309,-57792390
2014-09-30,20358211,3768677,2014-11-06,0.07,0.09,57128493,4437200,122983921,0.06596843014920768,-118546721
2014-12-31,32583990,8996605,2015-02-05,0.16,0.16,57128493,13877327,110706529,0.15748017368495962,-96829202
2015-03-31,35333108,8828251,2015-06-04,0.19,0.19,57128494,3828783,19602796,0.15453323520133402,-15774013
2015-06-30,35642460,13652883,2015-08-05,0.23,0.2,57128493,16892807,204267929,0.238985526889358,-187375122
2015-09-30,74946432,41213264,2015-10-30,0.71,0.66,57082196,29948885,273364916,0.7219985720241037,-243416031
2015-12-31,93283708,54661323,2016-01-29,0.97,0.77,56594492,36143626,361875660,0.9658417465784479,-325732034
2016-03-31,85335229,20160912,2016-05-31,0.35,0.58,56002533,68042182,56017207,0.36000000214276023,12024975
2016-06-30,50515776,-1291121,2016-07-28,-0.03,0.11,54740984,29782059,1241826,-0.023586002765313828,28540233
2016-09-30,33611233,-7145588,2016-10-28,-0.25,-0.13,53879282,14967793,113000,-0.13262218304987805,14854793
2016-12-31,35734988,5039624,2017-01-30,-0.36,-0.17,53879345,4454998,408035,0.09353536127805563,4046963
2017-03-31,47585174,1955270,2017-06-14,0.04,-0.15,48881750,2898918,156804,0.04,2742114
2017-06-30,41025472,-6689970,2017-07-31,-0.16,-0.14,53875292,12410318,276396,-0.12417510423887819,12133922
2017-09-30,34729021,-11915136,2017-11-03,-0.23,-0.26,54159709,19910601,109585,-0.2200000003692782,19801016
2017-12-31,44545589,1670415,2018-02-01,-0.04,-0.17,55680500,8625331,83142,0.03,8542189
2018-03-31,39034678,-3465995,2018-06-15,-0.18,-0.12,57766583,16302853,134198,-0.06000000034622093,16168655
2018-06-30,27644282,-20596558,2018-08-09,-0.41,-0.26,54237237,-10559285,60320,-0.37974939615747755,-10619605
2018-09-30,40807542,-8177120,2018-10-31,-0.17,-0.14,54431820,1310542,1099263,-0.1502268342304189,211279
2018-12-31,55113295,-6218652,2019-02-04,0.01,-0.07,54441203,4850953,1544726,-0.11422693947450059,3306227
2019-03-31,34467366,-15953575,2019-05-23,-0.21,-0.17,55012328,13281223,1316305,-0.28999999781867075,11964918
2019-06-30,61165546,6075059,2019-08-07,0.22,0.15,54881326,8693979,1547034,0.1106944646344733,7146945
2019-09-30,91624875,40711896,2019-10-31,0.75,0.59,54763634,52110350,2729961,0.7434111476239871,49380389
2019-12-31,85437806,35628912,2020-02-05,0.63,0.71,54176748,49571711,8233601,0.6576421309008802,41338110
2020-03-31,95201771,29425391,2020-05-27,0.81,0.62,52545341,58660367,7513506,0.5600000007612473,51146861
2020-06-30,73165324,12168005,2020-08-04,0.25,0.49,50679449,52966350,3657669,0.24009742094867684,49308681
2020-09-30,54710277,537950,2020-11-02,-0.07,0.12,50754507,3738125,3671083,0.010599058720046281,67042
2020-12-31,88479024,35825264,2021-02-02,0.7,0.57,50368392,30891258,1984269,0.7112647947943226,28906989
2021-03-31,99584187,44033434,2021-05-19,0.86,0.87,47347778,82999963,197473,0.930000009715345,82802490
2021-06-30,62950738,5869100,2021-08-04,0.13,0.25,41165138,38071320,9797560,0.14257452507507687,28273760
2021-09-30,63086858,14101803,2021-11-03,0.25,0.21,40114942,35618843,2915543,0.35153492182538865,32703300
2021-12-31,68599782,16580885,2022-02-03,0.34,0.84,40025399,15081402,9512783,0.4142590808401435,5568619
2022-03-31,79584070,35383230,2022-05-26,0.62,0.62,40078357,29923605,960031,0.8828513104965855,28963574
2022-06-30,76823722,24847720,2022-08-03,0.56,0.49,40124705,34094374,8830685,0.6192623721470351,25263689
2022-09-30,75968187,20311465,2022-11-02,0.43,0.35,40159117,49179503,444550,0.5057746912114627,48734953
2022-12-31,103322256,51263710,2023-02-01,1.29,0.95,40254774,42769728,864335,1.2734815006041271,41905393
2023-03-31,133635050,76021035,2023-05-24,1.94,1.34,40222769,98016231,58645279,1.8900000395298493,39370952
2023-06-30,111562907,51721137,2023-08-02,1.21,1.63,40378835,34094374,8830685,1.280897207658418,25263689
2023-09-30,144698462,76512665,2023-11-02,1.85,1.48,40405417,100301713,5006474,1.893623941562093,95295239
2023-12-31,163064503,99972913,2024-02-01,2.62,1.71,40507503,70641773,600027,2.4680097659932283,70041746
2024-03-31,141391564,79240198,2024-05-22,1.91,1.83,40619448,154237973,24901646,1.950794555356833,129336327
2024-06-30,114353042,51288140,2024-08-01,1.26,0.98,41115667,41224784,1251982,1.2474111146001838,39972802
2024-09-30,82433480,9428605,2024-10-31,0.35,0.56,42600848,57334075,1578278,0.22132435016317045,55755797
2024-12-31,80666779,21361828,2025-01-30,0.43,0.5681,42595000,24258839,2842533,0.5015102242047189,21416306
2025-03-31,75888175,8091907,2025-05-22,0.25,0.5,42747720,50195793,13276011,0.18929446997407112,36919782
2025-06-30,84211966,10082101,2025-07-30,0.27,0.7382,42747720,814474,3056789,0.23585119861363366,-2242315
2025-09-30,120627086,55382036,2025-11-06,1.31,1.37,42639337,46406491,13256180,1.2988484319069031,33150311
