fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2010-09-30,759964000,26144000,2010-12-01,0.2587,,99612000,54797000,7282000,0.2624583383528089,47515000
2010-12-31,819955000,-116560000,2011-02-07,0.42,0.4,108807000,-130735000,12161000,-1.0712546067808137,-142896000
2011-03-31,873869000,48999000,2011-04-25,0.52,0.48,113196000,189457000,3292000,0.43286865260256546,186165000
2011-06-30,893996000,45507000,2011-07-27,0.52,0.5,113150000,160259000,9208000,0.402182942996023,151051000
2011-09-30,882857000,36428000,2011-10-26,0.46,0.45,111173000,14030000,11839000,0.327669488095131,2191000
2011-12-31,828653000,39448000,2012-02-07,0.44,0.46,108956000,78632000,12008000,0.36205440728367416,66624000
2012-03-31,901773000,41179000,2012-04-30,0.56,0.54,112529000,-28067000,4270000,0.3659412240400252,-32337000
2012-06-30,907843000,39502000,2012-07-31,0.49,0.56,112834000,84180000,14523000,0.35008951202651684,69657000
2012-09-30,907228000,34299000,2012-10-31,0.47,0.44,111877000,45314000,13741000,0.3065777595037407,31573000
2012-12-31,944244000,36938000,2013-02-06,0.5,0.48,108644000,152841000,22252000,0.3399911638010383,130589000
2013-03-31,974796000,54717000,2013-04-25,0.64,0.55,107297000,7282000,13738000,0.5099583399349469,-6456000
2013-06-30,1018920000,45091000,2013-07-31,0.61,0.6,107695000,-11626000,18423000,0.4186916755652537,-30049000
2013-09-30,1053212000,37631000,2013-10-30,0.56,0.52,105705000,146251000,8626000,0.3560001892058086,137625000
2013-12-31,1093930000,44418000,2014-02-11,0.63,0.58,103411000,18210000,37452000,0.42952877353473035,-19242000
2014-03-31,1087431000,53135000,2014-04-23,0.69,0.72,103339000,85787000,23012000,0.5141814803704313,62775000
2014-06-30,1092729000,43091000,2014-07-30,0.61,0.61,102029000,30694000,22911000,0.42234070705387683,7783000
2014-09-30,1089234000,33272000,2014-10-30,0.48,0.5,101834000,107770000,32907000,0.3267278119292181,74863000
2014-12-31,1104268000,48545000,2015-02-19,0.66,0.6,99469000,7991000,19818000,0.4880415003669485,-11827000
2015-03-31,1109302000,50678000,2015-04-30,0.64,0.62,98227000,145643000,13918000,0.5159273926720759,131725000
2015-06-30,1090661000,50242000,2015-08-05,0.65,0.64,97239000,132063000,17958000,0.5166856919548741,114105000
2015-09-30,1054745000,41052000,2015-10-29,0.55,0.54,96472000,-47277000,19677000,0.4255327970810183,-66954000
2015-12-31,1020346000,26812000,2016-02-11,0.37,0.51,95340000,49022000,21012000,0.2812250891546046,28010000
2016-03-31,1005305000,50392000,2016-04-28,0.67,0.44,89621000,118965000,20109000,0.5622789301614577,98856000
2016-06-30,1019181000,47849000,2016-07-28,0.53,0.44,89699000,35672000,36433000,0.5334396147114238,-761000
2016-09-30,1017440000,51954000,2016-11-02,0.42,0.38,89951000,107448000,40906000,0.5775811275027515,66542000
2016-12-31,1007457000,41736000,2017-02-09,0.46,0.36,91014000,12752000,30198000,0.4585668138967631,-17446000
2017-03-31,1035427000,48189000,2017-04-27,0.66,0.37,92004000,94836000,30711000,0.5237707056214947,64125000
2017-06-30,1065504000,68434000,2017-07-27,0.74,0.66,92013000,244159000,28187000,0.7437427320052601,215972000
2017-09-30,1064108000,58142000,2017-10-26,0.66,0.58,92042000,-204393000,26699000,0.6316898807066339,-231092000
2017-12-31,1116442000,64098000,2018-02-01,0.59,0.35,92386000,309177000,186634000,0.6938064208862814,122543000
2018-03-31,1241557000,93530000,2018-05-03,1.01,0.78,92784000,-22331000,22934000,1.0080401793412657,-45265000
2018-06-30,1298804000,118766000,2018-07-26,1.42,1.2,91684000,82459000,25848000,1.295384145543388,56611000
2018-09-30,1330997000,106865000,2018-10-25,1.32,1.24,89878000,135935000,36416000,1.1890006453192106,99519000
2018-12-31,1317042000,120298000,2019-01-31,1.49,1.37,88163000,385517000,75418000,1.364495309823849,310099000
2019-03-31,1371679000,155398000,2019-05-02,1.93,1.59,86742000,35233000,30332000,1.7914966221668858,4901000
2019-06-30,1389757000,146092000,2019-07-25,1.85,1.73,85350000,-89638000,33172000,1.7116813122437025,-122810000
2019-09-30,1415525000,131714000,2019-10-24,1.71,1.61,83844000,564174000,40746000,1.5709412718858833,523428000
2019-12-31,1447895000,126676000,2020-01-30,1.7,1.59,82695000,114102000,52139000,1.5318459398996311,61963000
2020-03-31,1463397000,155641000,2020-04-30,2.06,1.7,81166000,381176000,33973000,1.9175640046324816,347203000
2020-06-30,1366700000,101662000,2020-07-30,1.42,1.3,80127000,-43028000,37936000,1.268760842163066,-80964000
2020-09-30,1460301000,103789000,2020-10-29,1.44,1.23,80550000,125519000,40052000,1.288504034761018,85467000
2020-12-31,1581202000,111548000,2021-02-04,1.53,1.34,80904000,326274000,43571000,1.3787699001285474,282703000
2021-03-31,1707600000,129620000,2021-04-29,1.77,1.46,81622000,60410000,41109000,1.5880522408174267,19301000
2021-06-30,1898300000,119101000,2021-07-29,1.85,1.69,81728000,-119144000,43867000,1.4572851409553642,-163011000
2021-09-30,2020800000,103064000,2021-10-28,1.77,1.72,81849000,258404000,54986000,1.2591968136446383,203418000
2021-12-31,2094100000,108081000,2022-02-03,1.63,1.51,81744000,253464000,76025000,1.3221887844979447,177439000
2022-03-31,2065700000,133744000,2022-04-28,1.95,1.8,81572000,-75117000,73545000,1.6395822095817192,-148662000
2022-06-30,2038900000,160545000,2022-08-02,2.24,1.97,81410000,72681000,76260000,1.972055030094583,-3579000
2022-09-30,2163058000,232331000,2022-10-27,3.13,2.83,81250000,2124588000,82370000,2.8594584615384617,2042218000
2022-12-31,2333187000,319082000,2023-02-02,4.21,4.0,80875000,-176575000,74421000,3.945372488408037,-250996000
2023-03-31,2417832000,338884000,2023-04-27,4.49,4.33,79974000,-205920000,101252000,4.237427163828245,-307172000
2023-06-30,2468804000,285520000,2023-07-27,3.94,3.88,78194000,402813000,101143000,3.65143105609126,301670000
2023-09-30,2522383000,224291000,2023-10-26,3.74,3.57,77147000,173170000,95040000,2.90731979208524,78130000
2023-12-31,2643829000,217555000,2024-02-01,3.51,3.38,76240000,142548000,105851000,2.8535545645330536,36697000
2024-03-31,2832593000,288764000,2024-04-30,4.21,3.81,75463000,425901000,121024000,3.8265640115023256,304877000
2024-06-30,2931769000,243800000,2024-07-25,3.88,3.7,75548000,-178869000,128922000,3.2270874146238153,-307791000
2024-09-30,3108394000,255303000,2024-10-30,4.16,3.71,75405000,209335000,147062000,3.3857569126715736,62273000
2024-12-31,3512351000,270749000,2025-01-30,4.25,3.96,75337000,-178778000,165523000,3.5938383530005176,-344301000
2025-03-31,3670007000,318573000,2025-05-08,5.15,4.64,75112000,339810000,119468000,4.241306315901587,220342000
2025-06-30,3835025000,273249000,2025-07-31,4.51,4.21,77760000,193300000,136989000,3.5140046296296297,56311000
2025-09-30,4551977000,-29517000,2025-11-06,5.2,4.6,80357000,-1729525000,142238000,-0.36732331968590165,-1871763000
