fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2012-03-31,0,-2959879,2012-03-31,-9.3581,,222148,-483899,325000,-13.323905684498623,-808899
2012-06-30,0,-1586499,2012-06-30,-3.9978,,222148,-171876,254016,-7.141630804688766,-425892
2012-09-30,0,-1892895,2012-09-30,-5.8114,,325722,-507614,154620,-5.811382098845027,-662234
2012-12-31,147964,-488539,2012-12-31,-1.402,,374693,-98015,590800,-1.3038380754377583,-688815
2013-03-31,0,-605536,2013-03-31,-1.3827,,437945,-233175,22000,-1.3826759067919487,-255175
2013-06-30,1524979,-810499,2013-06-30,-1.526,,531140,-460271,354750,-1.5259611401890274,-815021
2013-09-30,710500,-935320,2013-09-30,-1.4313,,653480,-253898,1600000,-1.4312909346881313,-1853898
2013-12-31,1182892,-1098980,2014-02-26,-1.68,,678268,-572126,1707000,-1.6202739919913662,-2279126
2014-03-31,2780000,-281606,2014-05-28,-0.4104,,5489593,1800367,1707000,-0.05129815634783854,93367
2014-06-30,3824500,-318251,2014-08-14,1.68,-1.84,5746808,599219,1707000,-0.055378742425360304,-1107781
2014-09-30,13455472,3522604,2014-11-12,4.16,-1.47,6789905,833451,1774903,0.5188001893988208,-941452
2014-12-31,1344497,-4805865,2015-03-26,-8.8,-1.5,13918177,1220537,994092,-0.3452941430476132,226445
2015-03-31,4093869,-4781571,2015-05-14,-5.44,-1.6,13983177,-1145055,37147,-0.34195168951948474,-1182202
2015-06-30,1368986,-4502696,2015-08-14,-6.88,-5.17,14323809,-4446993,16479,-0.31435046362318847,-4463472
2015-09-30,6407997,-3750468,2015-11-16,-3.36,-4.53,14867141,2670543,1852,-0.2522655835442739,2668691
2015-12-31,7106943,-3905123,2016-03-30,-4.32,-5.28,14967141,-39733,35866,-0.26091308954729564,-75599
2016-03-31,2059676,-3893413,2016-05-12,-4.16,-3.84,14967141,113169,2097,-0.2601307089977972,111072
2016-06-30,34349762,7906279,2016-08-15,7.84,7.92,15047141,13011598,1154194,0.5254339678215284,11857404
2016-09-30,43113,-6274410,2016-11-14,-6.72,-3.92,15070475,-1910645,2404752,-0.4163379057395338,-4315397
2016-12-31,176725,-26403482,2017-03-30,-27.84,-4.32,19302472,-1041515,128703,-1.3678808600266328,-1170218
2017-03-31,78137,-3606646,2017-05-15,-3.04,-2.4,23257472,-4668501,2097,-0.15507472179263507,-4670598
2017-06-30,368800,-2200792,2017-08-14,-1.6,-2.24,24257472,-2446711,2097,-0.09072635433733572,-2448808
2017-09-30,162713,-6677486,2017-11-20,-0.92,,8747931,-7689892,2097,-0.7633217500229483,-7691989
2018-03-31,239967,-2402820,2018-04-16,-2.01,-0.24,20577940,-3650422,6050629,-0.11676679006742172,-9701051
2018-06-30,688502,-4676645,2018-08-13,-2.01,-0.08,24062940,-1954729,545916,-0.19435052408392325,-2500645
2018-09-30,338672,-1340457,2018-11-29,-4.8,-0.04,25519940,-652894,2994,-0.05252586800752666,-655888
2018-12-31,295231,-4394402,2019-03-25,-2.01,1.92,25519940,-1980526,250000,-0.172194840583481,-2230526
2019-03-31,230694,-1044862,2019-05-10,-8.02,,6338418,-811136,5224,-0.16484586532475454,-816360
2019-06-30,355765,-565880,2019-08-01,-8.02,,6350080,-657972,5224,-0.08911383793590003,-663196
2019-09-30,321716,-754407,2019-11-08,-8.02,,7853461,-732173,5224,-0.09606045029064256,-737397
2019-12-31,277052,-1151916,2020-03-24,-8.02,,8458781,-1117374,1,-0.13617990582803835,-1117375
2020-03-31,592487,-1057932,2020-05-14,-8.02,,18216214,-597561,1,-0.05807639282235046,-597562
