fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,21605000000,167000000,2005-11-08,0.49,0.48,316000000,1372000000,105000000,0.5284810126582279,1267000000
2005-12-31,22602000000,193000000,2006-01-26,0.57,0.52,316000000,-532000000,11000000,0.6107594936708861,-543000000
2006-03-31,22785000000,220000000,2006-05-04,0.68,0.68,302000000,1267000000,29000000,0.7284768211920529,1238000000
2006-06-30,23616000000,184000000,2006-07-27,0.65,0.62,309000000,295000000,74000000,0.5954692556634305,221000000
2006-09-30,22386000000,229000000,2006-10-31,0.66,0.58,305000000,390000000,63000000,0.7508196721311475,327000000
2006-12-31,23111000000,243000000,2007-01-25,0.79,0.68,302000000,-130000000,58000000,0.804635761589404,-188000000
2007-03-31,24165000000,257000000,2007-05-07,0.85,0.78,297000000,984000000,111000000,0.8653198653198653,873000000
2007-06-30,24528000000,235000000,2007-07-26,0.74,0.71,304000000,432000000,76000000,0.7730263157894737,356000000
2007-09-30,24450000000,247000000,2007-10-30,0.82,0.72,299000000,840000000,85000000,0.8260869565217391,755000000
2007-12-31,26494000000,201000000,2008-01-31,0.79,0.8,297000000,-1319000000,86000000,0.6767676767676768,-1405000000
2008-03-31,26231000000,307000000,2008-05-05,1.04,1.0,277000000,916000000,109000000,1.108303249097473,807000000
2008-06-30,26704000000,235000000,2008-07-23,0.83,0.8,282000000,314000000,78000000,0.8333333333333334,236000000
2008-09-30,26574000000,327000000,2008-10-28,1.17,1.03,280000000,234000000,92000000,1.167857142857143,142000000
2008-12-31,27130000000,-20000000,2009-01-26,1.05,0.86,274000000,186000000,118000000,-0.072992700729927,68000000
2009-03-31,26224000000,281000000,2009-05-04,1.23,1.15,270000000,617000000,104000000,1.0407407407407407,513000000
2009-06-30,26657000000,288000000,2009-07-28,1.06,0.86,272000000,907000000,86000000,1.0588235294117647,821000000
2009-09-30,27130000000,301000000,2009-10-27,1.07,1.02,271000000,626000000,103000000,1.1107011070110702,523000000
2009-12-31,28272000000,326000000,2010-01-26,1.19,1.19,274000000,192000000,82000000,1.1897810218978102,110000000
2010-03-31,26643000000,348000000,2010-05-03,1.26,1.29,266000000,591000000,107000000,1.3082706766917294,484000000
2010-06-30,27450000000,298000000,2010-07-30,1.1,1.09,272000000,528000000,87000000,1.0955882352941178,441000000
2010-09-30,27534000000,327000000,2010-10-26,1.22,1.09,262000000,270000000,95000000,1.248091603053435,175000000
2010-12-31,28247000000,155000000,2011-01-31,1.12,1.11,258000000,540000000,86000000,0.6007751937984496,454000000
2011-03-31,28853000000,422000000,2011-05-03,1.66,1.6,249000000,1000000000,120000000,1.6947791164658634,880000000
2011-06-30,29980000000,286000000,2011-07-28,1.27,1.14,254000000,326000000,109000000,1.125984251968504,217000000
2011-09-30,30216000000,296000000,2011-10-25,1.63,1.39,250000000,1069000000,118000000,1.184,951000000
2011-12-31,30839000000,300000000,2012-01-30,1.4,1.37,251000000,321000000,80000000,1.1952191235059761,241000000
2012-03-31,31699000000,521000000,2012-04-30,2.09,2.06,236000000,1234000000,96000000,2.207627118644068,1138000000
2012-06-30,30798000000,380000000,2012-07-26,1.55,1.48,240000000,-552000000,84000000,1.5833333333333333,-636000000
2012-09-30,29850000000,401000000,2012-10-25,1.92,1.78,240000000,1011000000,83000000,1.6708333333333334,928000000
2012-12-31,31187000000,298000000,2013-01-31,1.52,1.63,240000000,-183000000,101000000,1.2416666666666667,-284000000
2013-03-31,30620000000,259000000,2013-05-07,1.45,2.3,227000000,2207000000,138000000,1.1409691629955947,2069000000
2013-06-30,32208000000,424000000,2013-07-25,2.07,1.71,232000000,716000000,100000000,1.8275862068965518,616000000
2013-09-30,32954000000,404000000,2013-10-24,2.27,2.04,233000000,97000000,97000000,1.7339055793991416,0
2013-12-31,34306000000,64000000,2014-01-30,1.45,1.84,234000000,-341000000,99000000,0.27350427350427353,-440000000
2014-03-31,38141000000,371000000,2014-05-12,2.55,2.4,235000000,2664000000,119000000,1.578723404255319,2545000000
2014-06-30,44058000000,403000000,2014-07-31,2.49,2.33,235000000,182000000,119000000,1.7148936170212765,63000000
2014-09-30,44758000000,469000000,2014-10-28,2.79,2.73,235000000,-17000000,153000000,1.995744680851064,-170000000
2014-12-31,47005000000,472000000,2015-02-05,2.89,2.61,236000000,1064000000,133000000,2.0,931000000
2015-03-31,44925000000,132000000,2015-05-12,2.94,2.75,236000000,1883000000,140000000,0.559322033898305,1743000000
2015-06-30,47546000000,576000000,2015-07-29,3.14,2.9,235000000,454000000,120000000,2.451063829787234,334000000
2015-09-30,48761000000,617000000,2015-10-29,3.31,2.99,235000000,797000000,154000000,2.625531914893617,643000000
2015-12-31,47899000000,634000000,2016-01-27,3.18,3.13,232000000,-685000000,143000000,2.7327586206896552,-828000000
2016-03-31,46678000000,431000000,2016-05-04,3.14,3.14,229000000,3106000000,260000000,1.8820960698689957,2846000000
2016-06-30,49733000000,542000000,2016-07-27,3.52,3.33,228000000,1859000000,114000000,2.3771929824561404,1745000000
2016-09-30,49957000000,308000000,2016-10-27,2.94,3.05,228000000,1069000000,126000000,1.3508771929824561,943000000
2016-12-31,50130000000,636000000,2017-01-25,3.05,2.91,222000000,381000000,129000000,2.864864864864865,252000000
2017-03-31,48713000000,3588000000,2017-05-18,3.42,3.0,214000000,1435000000,193000000,16.766355140186917,1242000000
2017-06-30,51051000000,307000000,2017-07-27,2.46,2.83,213000000,741000000,118000000,1.4413145539906103,623000000
2017-09-30,52061000000,1000000,2017-10-26,3.28,2.8,210000000,598000000,137000000,0.004761904761904762,461000000
2017-12-31,53617000000,903000000,2018-02-01,3.41,2.94,208000000,-16000000,137000000,4.341346153846154,-153000000
2018-03-31,51628000000,-1146000000,2018-05-24,3.49,3.56,206000000,3022000000,188000000,-5.563106796116505,2834000000
2018-06-30,52607000000,-138000000,2018-07-26,2.9,2.89,202000000,-1061000000,145000000,-0.6831683168316832,-1206000000
2018-09-30,53075000000,499000000,2018-10-25,3.6,3.28,199000000,1379000000,103000000,2.507537688442211,1276000000
2018-12-31,56208000000,469000000,2019-01-31,3.4,3.16,195000000,-177000000,157000000,2.405128205128205,-334000000
2019-03-31,52429000000,-796000000,2019-05-08,3.69,3.66,191000000,3895000000,152000000,-4.167539267015707,3743000000
2019-06-30,55728000000,423000000,2019-07-31,3.31,3.01,189000000,-51000000,111000000,2.238095238095238,-162000000
2019-09-30,57616000000,-730000000,2019-10-30,3.6,3.6,183000000,-108000000,73000000,-3.989071038251366,-181000000
2019-12-31,59172000000,186000000,2020-02-04,3.81,3.56,179700000,-121000000,154000000,1.0350584307178632,-275000000
2020-03-31,58535000000,1021000000,2020-05-20,4.27,4.1,174000000,4654000000,168000000,5.867816091954023,4486000000
2020-06-30,55679000000,444000000,2020-08-03,2.77,2.32,163200000,-1062000000,117000000,2.7205882352941178,-1179000000
2020-09-30,60808000000,577000000,2020-11-03,4.8,3.88,163200000,1021000000,148000000,3.5355392156862746,873000000
2020-12-31,62599000000,-6226000000,2021-02-02,4.6,4.13,159500000,1213000000,162000000,-39.03448275862069,1051000000
2021-03-31,59142000000,666000000,2021-05-06,5.05,5.04,160500000,3370000000,214000000,4.149532710280374,3156000000
2021-06-30,62674000000,486000000,2021-08-04,5.56,4.15,158100000,-1622000000,159000000,3.074003795066414,-1781000000
2021-09-30,66576000000,267000000,2021-11-01,6.15,4.66,155800000,1792000000,120000000,1.7137355584082157,1672000000
2021-12-31,68614000000,-7000000,2022-02-02,6.15,5.42,151600000,1377000000,101000000,-0.04617414248021108,1276000000
2022-03-31,66102000000,368000000,2022-05-05,5.83,6.04,149200000,2887000000,155000000,2.4664879356568363,2732000000
2022-06-30,67154000000,768000000,2022-08-03,5.83,5.28,145900000,-941000000,100000000,5.263879369431117,-1041000000
2022-09-30,70157000000,926000000,2022-11-01,6.06,6.09,144100000,1107000000,122000000,6.426092990978487,985000000
2022-12-31,70490000000,1079000000,2023-02-01,6.9,6.35,141000000,1668000000,154000000,7.652482269503546,1514000000
2023-03-31,68910000000,787000000,2023-05-08,7.19,7.17,138000000,3325000000,182000000,5.702898550724638,3143000000
2023-06-30,74483000000,958000000,2023-08-02,7.27,5.87,136600000,-1052000000,124000000,7.013177159590044,-1176000000
2023-09-30,77215000000,664000000,2023-11-01,6.23,6.15,134800000,965000000,140000000,4.925816023738872,825000000
2023-12-31,80898000000,589000000,2024-02-07,7.74,7.05,133300000,254000000,154000000,4.4186046511627906,100000000
2024-03-31,76355000000,791000000,2024-05-07,6.18,6.34,131600000,4147000000,269000000,6.01063829787234,3878000000
2024-06-30,79283000000,915000000,2024-08-07,7.88,7.21,130699999,-1380000000,167000000,7.000765164504707,-1547000000
2024-09-30,93651000000,241000000,2024-11-06,7.07,6.87,129300000,2100000000,218000000,1.8638824439288477,1882000000
2024-12-31,95294000000,879000000,2025-02-05,8.03,7.99,126600000,-2383000000,196000000,6.943127962085308,-2579000000
2025-03-31,90823000000,1260000000,2025-05-08,10.12,9.83,125900000,7748000000,278000000,10.007942811755361,7470000000
2025-06-30,97827000000,784000000,2025-08-06,8.26,8.15,125500000,-918000000,111000000,6.247011952191235,-1029000000
2025-09-30,103150000000,1110000000,2025-11-05,9.86,8.79,124400000,2420000000,111000000,8.92282958199357,2309000000
