fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,13157000000,144000000,2005-12-20,1.68,1.08,1072033000,-15217000000,154000000,0.13432422322820287,-15371000000
2005-12-31,15214000000,2465000000,2006-03-22,1.5,1.21,1079936000,-10363000000,124000000,2.2825426691952115,-10487000000
2006-03-31,18168000000,1574000000,2006-06-21,1.85,1.45,1061765000,-20458000000,129000000,1.4824372624827529,-20587000000
2006-06-30,18822000000,1841000000,2006-09-20,1.75,1.37,1054734000,-21143000000,0,1.7454637851818562,-21143000000
2006-09-30,18633000000,1851000000,2006-12-19,2.08,1.77,1055664000,-2853000000,0,1.7533988087118628,-2853000000
2006-12-31,18167000000,2206000000,2007-03-21,2.17,1.88,1009187000,-16349000000,295000000,2.1859179715949573,-16644000000
2007-03-31,24678000000,2672000000,2007-06-20,2.24,2.01,1057913000,-30165000000,295000000,2.5257275409225524,-30460000000
2007-06-30,26195000000,2582000000,2007-09-19,1.38,1.54,1045643000,15260000000,312000000,2.469294013348724,14948000000
2007-09-30,21230000000,1543000000,2007-12-19,-3.61,-0.39,1057496000,12163000000,621000000,1.4591071739278447,11542000000
2007-12-31,13055000000,-3588000000,2008-03-19,1.45,1.03,1020802000,-19351000000,241000000,-3.5148833956046324,-19592000000
2008-03-31,21184000000,1551000000,2008-06-18,0.95,0.92,1057867000,-19091000000,335000000,1.4661578440389955,-19426000000
2008-06-30,16542000000,1026000000,2008-09-16,1.32,0.77,1067184000,8423000000,475000000,0.9614087167723654,7948000000
2008-09-30,16707000000,1425000000,2008-12-17,-2.34,-0.34,1072016000,15920000000,313000000,1.3292712049073894,15607000000
2009-03-31,5206000000,-177000000,2009-04-22,-0.57,-0.08,1011741000,-32521000000,1127000000,-0.17494595948963224,-33648000000
2009-06-30,7042000000,149000000,2009-07-22,-1.1,-0.49,1155905500,-8948000000,752000000,0.12890327107189992,-9700000000
2009-09-30,9822000000,757000000,2009-10-21,0.38,0.27,1300070000,-8719000000,428000000,0.5822763389663633,-9147000000
2009-12-31,5698000000,617000000,2010-01-20,0.29,0.36,1318692000,4237000000,570000000,0.46788787677486476,3667000000
2010-03-31,10440000000,1776000000,2010-04-21,1.03,0.57,1425253000,21094000000,138000000,1.2460945530372503,20956000000
2010-06-30,9569000000,1960000000,2010-07-21,0.8,0.46,1748209000,8285000000,298000000,1.1211474142965743,7987000000
2010-09-30,8528000000,131000000,2010-10-20,0.05,0.15,1443101000,-10167000000,364000000,0.09077673704058135,-10531000000
2010-12-31,7536000000,836000000,2011-01-20,0.43,0.35,1456000000,21095000000,401000000,0.5741758241758241,20694000000
2011-03-31,9427000000,968000000,2011-04-21,0.5,0.34,1472308000,-1322000000,409000000,0.6574711269652818,-1731000000
2011-06-30,11236000000,1193000000,2011-07-21,-0.38,-0.64,1464296000,-3852000000,316000000,0.8147259843638172,-4168000000
2011-09-30,11418000000,2199000000,2011-10-19,1.14,0.3,1868744000,8812000000,363000000,1.1767261861442766,8449000000
2011-12-31,5233000000,-250000000,2012-01-19,-0.14,-0.57,1877000000,3046000000,216000000,-0.13319126265316994,2830000000
2012-03-31,8122000000,-94000000,2012-04-19,0.76,0.45,1876962000,7431000000,212000000,-0.050080928649594396,7219000000
2012-06-30,8020000000,591000000,2012-07-19,0.29,0.43,1911709000,8435000000,224000000,0.3091474696201148,8211000000
2012-09-30,6455000000,-1023000000,2012-10-18,0.28,0.24,1889301000,6906000000,429000000,-0.5414700992589323,6477000000
2012-12-31,6521000000,594000000,2013-01-18,0.45,0.27,1937000000,1993000000,447000000,0.30665978316985026,1546000000
2013-03-31,8928000000,962000000,2013-04-18,0.61,0.57,1940264000,4495000000,263000000,0.49580881776912833,4232000000
2013-06-30,9123000000,980000000,2013-07-18,0.45,0.43,1951363000,13907000000,320000000,0.5022130685064747,13587000000
2013-09-30,8691000000,906000000,2013-10-18,0.5,0.4,1964813000,-1582000000,361000000,0.4611125842510203,-1943000000
2013-12-31,8213000000,84000000,2014-01-17,0.5,0.45,1970000000,18733000000,372000000,0.04263959390862944,18361000000
2014-03-31,9588000000,1505000000,2014-04-17,0.68,0.59,1969653000,4781000000,4558000000,0.7640939800056152,223000000
2014-06-30,9133000000,1899000000,2014-07-17,0.6,0.55,1969698000,1046000000,7653000000,0.9641071880054709,-6607000000
2014-09-30,9297000000,1693000000,2014-10-17,0.65,0.54,1970922000,1865000000,120000000,0.8589888387262408,1745000000
2014-12-31,8129000000,-1630000000,2015-01-20,0.39,0.48,1972000000,-6609000000,459000000,-0.8265720081135902,-7068000000
2015-03-31,10332000000,2394000000,2015-04-20,0.85,0.76,1962996000,-13055000000,320000000,1.2195643801617528,-13375000000
2015-06-30,9944000000,1807000000,2015-07-20,0.79,0.74,1960000000,4602000000,300000000,0.9219387755102041,4302000000
2015-09-30,7971000000,1018000000,2015-10-19,0.34,0.62,1949000000,490000000,344000000,0.5223191380194971,146000000
2015-12-31,7758000000,908000000,2016-01-19,0.43,0.33,1939000000,11637000000,409000000,0.46828261990716863,11228000000
2016-03-31,8175000000,1134000000,2016-04-18,0.55,0.46,1915000000,4138000000,315000000,0.5921671018276763,3823000000
2016-06-30,9179000000,1582000000,2016-07-20,0.75,0.59,1899000000,12128000000,330000000,0.833070036861506,11798000000
2016-09-30,9149000000,1597000000,2016-10-19,0.8,0.63,1879000000,-8452000000,296000000,0.8499201703033529,-8748000000
2016-12-31,9526000000,1666000000,2017-01-17,0.81,0.65,1853000000,-5367000000,335000000,0.8990825688073395,-5702000000
2017-03-31,10430000000,1930000000,2017-04-19,1.0,0.88,1842000000,-1611000000,350000000,1.0477741585233442,-1961000000
2017-06-30,10333000000,1757000000,2017-07-19,0.87,0.76,1830000000,-7859000000,373000000,0.9601092896174863,-8232000000
2017-09-30,10232000000,1781000000,2017-10-17,0.88,0.81,1818000000,3357000000,454000000,0.9796479647964796,2903000000
2017-12-31,10554000000,643000000,2018-01-18,0.84,0.77,1796000000,4044000000,452000000,0.35801781737193766,3592000000
2018-03-31,12335000000,2668000000,2018-04-18,1.45,1.25,1771000000,12648000000,410000000,1.5064935064935066,12238000000
2018-06-30,12389000000,2437000000,2018-07-18,1.25,1.11,1748000000,-12729000000,498000000,1.3941647597254005,-13227000000
2018-09-30,12004000000,2112000000,2018-10-16,1.17,1.01,1727000000,14565000000,453000000,1.2229299363057324,14112000000
2018-12-31,11072000000,1531000000,2019-01-17,0.8,0.89,1705000000,-7179000000,504000000,0.8979472140762463,-7683000000
2019-03-31,12969000000,2429000000,2019-04-17,1.39,1.17,1677000000,17041000000,529000000,1.4484197972570065,16512000000
2019-06-30,13091000000,2201000000,2019-07-18,1.23,1.14,1655000000,10531000000,479000000,1.3299093655589125,10052000000
2019-09-30,12527000000,2173000000,2019-10-17,1.27,1.11,1627000000,13337000000,452000000,1.3355869698832206,12885000000
2019-12-31,12743000000,2239000000,2020-01-16,1.3,1.0,1602000000,-136000000,366000000,1.3976279650436954,-502000000
2020-03-31,11186000000,1698000000,2020-04-16,1.01,1.14,1573000000,23836000000,354000000,1.0794659885568976,23482000000
2020-06-30,13702000000,3196000000,2020-07-16,1.96,1.12,1557000000,-16810000000,428000000,2.052665382145151,-17238000000
2020-09-30,11594000000,2717000000,2020-10-15,1.66,1.28,1566000000,-6867000000,123000000,1.734993614303959,-6990000000
2020-12-31,13238000000,3385000000,2021-01-20,1.92,1.27,1802000000,-25390000000,539000000,1.8784683684794672,-25929000000
2021-03-31,15218000000,4120000000,2021-04-16,2.19,1.7,1818000000,26879000000,525000000,2.2662266226622663,26354000000
2021-06-30,14311000000,3511000000,2021-07-15,1.85,1.65,1841000000,4615000000,514000000,1.9071156979902226,4101000000
2021-09-30,14216000000,3707000000,2021-10-14,1.98,1.68,1812000000,2128000000,619000000,2.045805739514349,1509000000
2021-12-31,14035000000,3696000000,2022-01-19,2.01,1.91,1785000000,349000000,650000000,2.070588235294118,-301000000
2022-03-31,14353000000,3666000000,2022-04-14,2.02,1.68,1755000000,239000000,652000000,2.088888888888889,-413000000
2022-06-30,13584000000,2495000000,2022-07-14,1.39,1.53,1723000000,14913000000,799000000,1.4480557167730703,14114000000
2022-09-30,15730000000,2632000000,2022-10-14,1.47,1.49,1697000000,-7553000000,857000000,1.5509723040659988,-8410000000
2022-12-31,18811000000,2236000000,2023-01-17,1.26,1.19,1679000000,-13996000000,770000000,1.331745086360929,-14766000000
2023-03-31,21270000000,2980000000,2023-04-19,1.7,1.62,1663000000,-9865000000,719000000,1.7919422730006014,-10584000000
2023-06-30,21485000000,2182000000,2023-07-18,1.24,1.15,1651000000,-9666000000,851000000,1.3216232586311327,-10517000000
2023-09-30,22567000000,2408000000,2023-10-18,1.38,1.28,1643000000,3747000000,913000000,1.465611685940353,2834000000
2023-12-31,24192000000,1517000000,2024-01-16,0.99,1.01,1627000000,-17752000000,929000000,0.9323909035033805,-18681000000
2024-03-31,25349000000,3412000000,2024-06-16,2.02,1.66,1616000000,4360000000,816000000,2.1113861386138613,3544000000
2024-06-30,25486000000,3076000000,2024-07-16,1.82,1.65,1611000000,2525000000,851000000,1.909373060211049,1674000000
2024-09-30,26328000000,3188000000,2024-10-16,1.88,1.58,1609000000,-17323000000,916000000,1.9813548788067123,-18239000000
2024-12-31,25982000000,3714000000,2025-01-16,2.22,1.69,1608000000,11800000000,879000000,2.3097014925373136,10921000000
