fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,285915000,18046000,2005-10-28,0.5263,,34287000,-768000,16734000,0.5263219295943069,-17502000
2005-12-31,312577000,30230000,2006-01-30,0.8928,,33861000,40292000,18341000,0.8927674906234311,21951000
2006-03-31,282453000,11774000,2006-04-28,0.3543,,33236000,26758000,15513000,0.35425442291491155,11245000
2006-06-30,294315000,22904000,2006-08-17,0.702,,31919000,30733000,11377000,0.7175663397976128,19356000
2006-09-30,289035000,14490000,2006-10-30,0.4315,,31936000,6031000,10252000,0.4537199398797595,-4221000
2006-12-31,316497000,17829000,2007-01-31,0.5612,,31770000,35786000,13233000,0.5611898016997167,22553000
2007-03-31,286896000,13499000,2007-05-01,0.4625,,31560000,24465000,15636000,0.42772496831432194,8829000
2007-06-30,210966000,575000,2007-08-17,0.0185,,30412000,27876000,16702000,0.018907010390635276,11174000
2007-09-30,285570000,15570000,2007-10-29,0.5118,,30420000,2623000,8258000,0.5118343195266272,-5635000
2007-12-31,305612000,15998000,2008-01-31,0.5358,,29860000,53520000,4172000,0.5357669122572003,49348000
2008-03-31,270276000,8626000,2008-05-01,0.2961,,29128000,16036000,3573000,0.2961411700082395,12463000
2008-06-30,119457000,-2574000,2008-08-21,-0.09,,28262000,21138000,829000,-0.09107635694572216,20309000
2008-09-30,263837000,11020000,2008-10-29,0.3899,,28266000,-5395000,3693000,0.38986768555862167,-9088000
2008-12-31,288242000,28452000,2009-01-29,1.0176,,27955000,68288000,3056000,1.0177785727061348,65232000
2009-03-31,246027000,21213000,2009-04-30,0.759,,27938000,29883000,2192000,0.759288424368244,27691000
2009-06-30,253385000,28401000,2009-08-20,1.01,,28081000,40388000,2395000,1.0113956055696023,37993000
2009-09-30,254160000,28405000,2009-10-29,1.0103,,28115000,18876000,1919000,1.0103147785879423,16957000
2009-12-31,304115000,39527000,2010-01-28,1.4029,,28176000,50305000,1782000,1.4028605905735378,48523000
2010-03-31,250328000,24222000,2010-04-29,0.8574,,28198000,17693000,4387000,0.8589970919923399,13306000
2010-06-30,248005000,22815000,2010-08-19,0.8089,,28014000,20817000,4745000,0.8144142214606982,16072000
2010-09-30,265051000,22767000,2010-10-28,0.812,,28037000,9262000,6725000,0.8120340977993366,2537000
2010-12-31,316238000,34863000,2011-01-27,1.2524,,27785000,66207000,7498000,1.2547417671405434,58709000
2011-03-31,252623000,19441000,2011-04-28,0.7064,,27520000,22559000,12634000,0.7064316860465116,9925000
2011-06-30,256034000,29293000,2011-08-18,1.0579,,27290000,49426000,8486000,1.0733968486625138,40940000
2011-09-30,274516000,21258000,2011-10-27,0.7783,,27314000,17563000,4278000,0.7782821996045983,13285000
2011-12-31,311786000,30373000,2012-01-26,1.1136,,27240000,49056000,4802000,1.1150146842878121,44254000
2012-03-31,271098000,18222000,2012-04-26,0.6674,,27251000,18544000,3098000,0.6686727092583759,15446000
2012-06-30,273959000,25955000,2012-08-23,0.9504,,27254000,37284000,4169000,0.9523372715931606,33115000
2012-09-30,290976000,26662000,2012-10-25,0.976,,27264000,16358000,5434000,0.9779196009389671,10924000
2012-12-31,326155000,35277000,2013-01-31,1.2845,,27273000,51393000,4925000,1.2934770652293477,46468000
2013-03-31,279511000,21833000,2013-04-25,0.7991,,27287000,27157000,8766000,0.80012460145857,18391000
2013-06-30,269267000,25477000,2013-08-22,0.9332,,27316000,36774000,5022000,0.9326768194464783,31752000
2013-09-30,285856000,24801000,2013-10-31,0.91,0.94,27312000,26531000,2120000,0.9080623901581723,24411000
2013-12-31,335550000,39234000,2014-01-31,1.44,1.24,27299000,57541000,2250000,1.4371955016667277,55291000
2014-03-31,241849000,-10376000,2014-05-01,0.69,0.84,27297000,14723000,3773000,-0.3801150309557827,10950000
2014-06-30,258808000,21327000,2014-08-21,0.76,0.99,27322000,30296000,7818000,0.7805797525803382,22478000
2014-09-30,259987000,22761000,2014-10-30,0.83,1.03,27316000,35918000,7940000,0.8332479133108801,27978000
2014-12-31,303411000,32954000,2015-01-29,0.77,1.22,27323000,47074000,5129000,1.2060901072356622,41945000
2015-03-31,263400000,20403000,2015-04-30,0.77,0.74,27330000,13571000,2683000,0.7465422612513721,10888000
2015-06-30,277716000,25568000,2015-08-20,1.01,0.85,27340000,36209000,2546000,0.9351865398683248,33663000
2015-09-30,294085000,27628000,2015-10-29,1.25,0.83,27344000,33311000,3360000,1.0103861907548273,29951000
2015-12-31,324769000,34511000,2016-01-28,1.06,1.28,27374000,41135000,4002000,1.2607218528530724,37133000
2016-03-31,287765000,29011000,2016-04-28,1.12,0.82,27376000,26125000,4245000,1.0597238457042666,21880000
2016-06-30,284490000,30614000,2016-08-18,1.12,1.03,27399000,42014000,5064000,1.1173400489068943,36950000
2016-09-30,291361000,33400000,2016-10-27,1.22,0.91,27430000,45373000,4144000,1.2176449143273789,41229000
2016-12-31,326773000,38956000,2017-01-26,1.42,1.35,27441000,30443000,7694000,1.4196275645931271,22749000
2017-03-31,293834000,14471000,2017-04-27,0.95,1.07,27442000,29618000,8221000,0.5273303695065957,21397000
2017-06-30,289874000,28487000,2017-08-17,1.04,1.12,27446000,38921000,6946000,1.037929024265831,31975000
2017-09-30,298916000,29386000,2017-10-26,1.07,1.12,27451000,38914000,8494000,1.0704892353648319,30420000
2017-12-31,319665000,45920000,2018-01-25,1.14,1.36,27460000,45041000,6793000,1.6722505462490895,38248000
2018-03-31,296174000,27621000,2018-04-26,1.0,1.04,27458000,32884000,7274000,1.0059363391361351,25610000
2018-06-30,308170000,32387000,2018-08-23,1.18,1.09,27467000,43875000,8464000,1.179124039756799,35411000
2018-09-30,316654000,39028000,2018-10-25,1.42,1.27,27514000,40860000,9740000,1.4184778658137676,31120000
2018-12-31,349581000,47907000,2019-01-31,1.73,1.48,27566000,72355000,18198000,1.7379017630414277,54157000
2019-03-31,317882000,30604000,2019-04-25,1.11,1.21,27549000,30208000,16028000,1.1108933173617916,14180000
2019-06-30,323670000,33010000,2019-08-27,1.09,1.29,27520000,54175000,26914000,1.1994912790697674,27261000
2019-09-30,337054000,40745000,2019-11-04,1.58,1.24,27517000,40095000,43189000,1.4807210088309046,-3094000
2019-12-31,355117000,43424000,2020-02-04,1.45,1.54,27489000,65284000,14511000,1.5796864200225544,50773000
2020-03-31,321363000,22429000,2020-05-05,1.09,1.09,27501000,13759000,14306000,0.8155703428966219,-547000
2020-06-30,320854000,30385000,2020-08-27,1.25,0.88,27478000,51631000,10636000,1.1057937258898027,40995000
2020-09-30,349237000,37079000,2020-11-04,1.61,1.6,27495000,23643000,14411000,1.348572467721404,9232000
2020-12-31,375015000,44630000,2021-02-04,1.85,1.48,27518000,67213000,15143000,1.621847517988226,52070000
2021-03-31,357249000,28897000,2021-05-04,1.35,1.2,27526000,47843000,26047000,1.0498074547700356,21796000
2021-06-30,385566000,31726000,2021-08-26,1.43,1.31,27531000,35490000,32264000,1.1523736878427955,3226000
2021-09-30,392056000,30655000,2021-11-03,1.24,1.63,27515000,-1172000,30227000,1.114119571143013,-31399000
2021-12-31,428427000,34370000,2022-02-03,1.48,1.48,27464000,43152000,36468000,1.2514564520827265,6684000
2022-03-31,403494000,-4483000,2022-05-05,0.71,0.71,27442000,16671000,38193000,-0.16336272866409154,-21522000
2022-06-30,452413000,29044000,2022-08-25,1.66,1.66,27453000,43162000,27084000,1.0579535934141988,16078000
2022-09-30,425537000,37592000,2022-11-03,1.36,1.63,27458000,50864000,24585000,1.3690727656784907,26279000
2022-12-31,477394000,39973000,2023-02-02,1.45,1.67,27493000,89576000,31901000,1.453933728585458,57675000
2023-03-31,464935000,24555000,2023-05-04,0.89,0.93,27487000,43711000,22361000,0.8933313930221559,21350000
2023-06-30,454661000,9166000,2023-08-23,1.19,1.29,27490000,41750000,11334000,0.33343033830483815,30416000
2023-09-30,461572000,43951000,2023-11-02,1.59,1.59,27473000,35615000,18331000,1.5997888836312015,17284000
2023-12-31,485916000,51484000,2024-02-01,1.87,1.64,27440000,105908000,18805000,1.8762390670553937,87103000
2024-03-31,471446000,28350000,2024-05-02,1.03,1.4,27451000,75931000,14872000,1.0327492623219554,61059000
2024-06-30,452825000,34828000,2024-08-22,1.34,1.38,27482000,34099000,15568000,1.2673022341896514,18531000
2024-09-30,466558000,44701000,2024-10-31,1.62,1.67,27478000,19892000,17635000,1.6267923429652813,2257000
