fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-10-31,239803000,27903000,2005-12-13,0.4,0.33,69800000,38047000,4671000,0.399756446991404,33376000
2006-01-31,197452000,16067000,2006-02-27,0.24,0.22,67694000,16507000,4531000,0.23734747540402398,11976000
2006-04-30,231830000,21931000,2006-05-25,0.32,0.31,68716000,23191000,2423000,0.3191541998952209,20768000
2006-07-31,225965000,24814000,2006-08-23,0.36,0.3,68920000,37180000,2861000,0.36004062681369703,34319000
2006-10-31,236974000,27786000,2006-12-19,0.44,0.36,66766000,44398000,3795000,0.41616990683881017,40603000
2007-01-31,203875000,15557000,2007-02-27,0.23,0.28,68234000,17816000,8654000,0.22799484128147257,9162000
2007-04-30,241293000,20980000,2007-05-24,0.31,0.28,68292000,29774000,10565000,0.30721021495929246,19209000
2007-07-31,257713000,24521000,2007-08-23,0.36,0.33,68430000,31331000,6470000,0.358336986701739,24861000
2007-10-31,290768000,29634000,2007-12-18,0.44,0.4,67234000,45327000,5328000,0.4407591397209745,39999000
2008-01-31,244689000,21339000,2008-02-21,0.31,0.3,68378000,12998000,4364000,0.31207405890783585,8634000
2008-04-30,294116000,33049000,2008-05-21,0.49,0.41,68222000,51293000,5758000,0.4844331740494269,45535000
2008-07-31,288362000,32370000,2008-08-21,0.47,0.49,69274000,22267000,7763000,0.4672748794641568,14504000
2008-10-31,297662000,30746000,2008-12-17,0.5,0.41,67052000,27484000,8501000,0.45853964087573823,18983000
2009-01-31,186608000,11156000,2009-02-19,0.2,0.15,67092000,28234000,5629000,0.1662791390925893,22605000
2009-04-30,188840000,13843000,2009-05-21,0.22,0.13,67142000,47903000,2124000,0.20617497244645677,45779000
2009-07-31,206273000,23979000,2009-08-20,0.36,0.25,67220000,43140000,1960000,0.356724189229396,41180000
2009-10-31,237444000,-209033000,2009-12-16,0.43,0.44,67330000,49400000,2801000,-3.104604188326155,46599000
2010-01-31,220589000,26732000,2010-02-22,0.35,0.29,68248000,49451000,1716000,0.3916891337475091,47735000
2010-04-30,251659000,32431000,2010-05-20,0.55,0.43,68836000,-30510000,2515000,0.47113429019698994,-33025000
