fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2010-06-30,4830000,1139423,2010-08-16,42.7451,,4270000,-5250805,90000,0.26684379391100704,-5340805
2010-09-30,5460000,1407563,2010-11-12,48.3543,,4660000,-1080000,749917,0.30205214592274676,-1829917
2010-12-31,6670000,1446473,2011-03-07,51.4302,,4660000,720000,840000,0.3104019313304721,-120000
2011-03-31,2950000,210000,2011-04-27,0.3526,,4660000,-2110000,8276,0.045064377682403435,-2118276
2011-09-30,5690000,1380000,2011-11-10,2.4466,,4510000,-690000,34895,0.30598669623059865,-724895
2011-12-31,5284750,-219626,2012-03-19,-0.3853,,4560000,902801,100000,-0.04816359649122807,802801
2012-03-31,3315931,126021,2012-05-09,0.214,,4710528,-1590597,5758,0.026753051887176978,-1596355
2012-06-30,6983128,1690380,2012-08-13,2.8665,,4717632,824675,2395941,0.3583111187985837,-1571266
2012-09-30,5529120,1036555,2012-11-13,35.2574,,4703944,2152850,308262,0.22035870324986861,1844588
2012-12-31,5542146,353195,2013-03-19,12.2319,,4620000,335719,2698790,0.0764491341991342,-2363071
2015-03-31,11971396000,655924000,2015-04-30,0.18,0.0,17491153,4134063000,2720000,37.50032945226653,4131343000
2016-06-30,1303493000,-6865303000,2016-07-18,-1.14,0.0,18426669,-1496790000,2720000,-372.57428350180925,-1499510000
2016-12-31,7919500,-2638170,2017-03-20,-0.16,0.0,14563880,-2775160,636130,-0.18114472242287083,-3411290
2017-06-30,415550,-2161480,2017-08-30,-0.12,0.0,17312590,-2078010,16420,-0.12485018128425614,-2094430
2017-12-31,466460,-2974960,2018-02-28,-0.17,0.0,17312590,-3330990,24360,-0.17183795145613684,-3355350
2018-03-31,466460,-2974960,2018-04-26,0.0,0.0,17312590,-3330990,662549,-0.17183795145613684,-3993539
2018-06-30,301290,-3445380,2018-08-29,-0.2,0.0,17501350,-2454530,16130,-0.19686367051684583,-2470660
2018-12-31,258090,-5464630,2019-02-27,-0.31,0.0,17733480,-1175040,760200,-0.3081532784315318,-1935240
2019-03-31,398713000,-7734500,2019-05-29,0.0,0.0,17733480,-23090500,3113500,-0.43615240776204106,-26204000
2019-06-30,398713000,-7734500,2019-08-28,-0.19,0.0,16980000,-23090500,3113500,-0.4555064782096584,-26204000
2019-09-30,368251000,-761000,2019-11-27,0.0,0.0,18145975,18052000,2028000,-0.0419376748838241,16024000
2019-12-31,141250,-1138780,2020-02-26,-0.06,0.0,17806590,-628300,776330,-0.06395272761376547,-1404630
2020-03-31,431350000,9469500,2020-06-03,0.0,0.0,18995050,32435000,1304500,0.49852461562354405,31130500
2020-06-30,431350000,9469500,2020-09-02,-0.53,0.0,18995050,32435000,1304500,0.49852461562354405,31130500
2020-09-30,554023000,5555000,2020-12-02,0.0,0.0,17806590,-56497000,2077000,0.3119631552138843,-58574000
2020-12-31,698149000,5932000,2021-03-31,-0.43,0.0,21181681,76139000,1470000,0.2800533158817754,74669000
2021-03-31,603436000,10795500,2021-06-02,0.0,,21277100,-17719000,3068000,0.5073764751775383,-20787000
2021-06-30,603436000,10795500,2021-08-30,0.05,,21277100,-17719000,3068000,0.5073764751775383,-20787000
2021-09-30,540898000,8454000,2021-12-01,0.02,,17806590,-4349000,3955000,0.4747680493570077,-8304000
2021-12-31,628455000,6217000,2022-03-02,0.01,,17806590,-13499000,3748000,0.34914040251390077,-17247000
2022-03-31,445270000,-9434500,2022-04-29,0.0,0.0,18556150,-24884500,2945000,-0.5084298197632591,-27829500
2022-06-30,445270000,-9434500,2022-08-30,-0.05,0.0,18556150,-24884500,2945000,-0.5084298197632591,-27829500
2022-09-30,349158000,-8488000,2022-12-01,-0.02,-0.02,18704600,28478000,2720000,-0.45379211530853375,25758000
2022-12-31,480575000,-30072000,2023-03-01,-0.02,-0.02,18655000,41771000,580000,-1.6120075046904314,41191000
2023-03-31,361624500,-14665500,2023-04-27,-1.49,-0.4,18655000,-37479500,13375000,-0.7861431251675154,-50854500
2023-06-30,361624500,-14665500,2023-08-29,0.0,-0.03,18952500,-37479500,13375000,-0.7738029283735655,-50854500
2023-09-30,317570000,-14681000,2023-12-22,-0.0386,-0.06,19006400,19686000,2006000,-0.7724240255913798,17680000
2023-12-31,456144000,-14978000,2024-02-28,0.0,-0.02,19020675,51434000,1509000,-0.7874589098441565,49925000
2024-03-31,309059500,-12477000,2024-04-24,-0.0394,-0.02,19396400,-31598500,606000,-0.6432636984182631,-32204500
2024-06-30,309059500,-12477000,2024-08-28,-0.08,-0.02,19396400,-31598000,606000,-0.6432636984182631,-32204000
2024-09-30,308729000,-9187000,2024-12-20,0.0,0.0,19478000,31188000,1203000,-0.47166033473662594,29985000
2025-03-31,347835000,-2090500,2025-04-28,-0.96,0.0,19499000,-24976000,624000,-0.10721062618595825,-25600000
2025-06-30,347835000,-2090500,2025-08-28,-0.21,,19499000,-24976000,624000,-0.10721062618595825,-25600000
