fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,174317000,6946000,2005-10-19,0.03,0.02,4620840000,33308000,5429000,0.0015031898962093472,27879000
2005-12-31,189259000,38211000,2006-01-24,0.01,0.02,3864910000,63732000,12414000,0.00988664677832084,51318000
2006-03-31,224126000,4404000,2006-04-24,0.01,0.01,4651920000,57622000,48160000,0.0009467058762833411,9462000
2006-06-30,239351000,17037000,2006-07-24,0.04,0.03,4842250000,46307000,43627000,0.003518405699829625,2680000
2006-09-30,255950000,12781000,2006-10-23,0.03,0.02,4924150000,56822000,37846000,0.0025955748707898827,18976000
2006-12-31,277233000,14860000,2007-01-24,0.03,0.02,4808510000,87111000,67813000,0.0030903543925249193,19298000
2007-03-31,305320000,9864000,2007-04-18,0.02,0.03,4947040000,63029000,86554000,0.001993919596364695,-23525000
2007-06-30,303693000,25580000,2007-07-23,0.01,0.04,4892370000,72121000,73305000,0.005228549762180702,-1184000
2007-09-30,293972000,15732000,2007-10-22,0.04,0.02,4766300000,70581000,7412000,0.003300673478379456,63169000
2007-12-31,302355000,15776000,2008-01-23,0.04,0.02,4394320000,86092000,10413000,0.0035900890240128163,75679000
2008-03-31,326183000,13378000,2008-04-21,0.03,0.03,4538800000,77747000,12431000,0.0029474751035515993,65316000
2008-06-30,337614000,26579000,2008-07-25,0.01,0.01,4469990000,78267000,135960000,0.005946098313419045,-57693000
2008-09-30,341269000,20371000,2008-10-20,0.01,0.05,4359040000,73231000,50852000,0.004673276684774629,22379000
2008-12-31,359595000,22732000,2009-01-26,0.01,0.01,4111380000,54792000,8458000,0.005529043776055728,46334000
2009-03-31,394098000,22363000,2009-04-23,0.01,0.01,4249630000,65633000,6772000,0.0052623404861129085,58861000
2009-06-30,408509000,32443000,2009-07-23,0.01,0.01,4176200000,75302000,6933000,0.007768545567741009,68369000
2009-09-30,423120000,30141000,2009-10-22,0.01,0.01,4055660000,78311000,56267000,0.007431836002031729,22044000
2009-12-31,444542000,30913000,2010-01-27,0.01,0.01,3703770000,105817000,22433000,0.008346360600145257,83384000
2010-03-31,493665000,32272000,2010-04-21,0.01,0.01,3834250000,75412000,43425000,0.008416769902849319,31987000
2010-06-30,519819000,43519000,2010-07-21,0.01,0.01,3802680000,62045000,5671000,0.011444297179883661,56374000
2010-09-30,553219000,37967000,2010-10-20,0.01,0.01,3775170000,42227000,7717000,0.010057030544319858,34510000
2010-12-31,595922000,47095000,2011-01-26,0.01,0.01,3693130000,96717000,14936000,0.012752055844229691,81781000
2011-03-31,718553000,60233000,2011-04-25,0.02,0.02,3797220000,116323000,16320000,0.015862394067238664,100003000
2011-06-30,788610000,68214000,2011-07-25,0.02,0.02,3773630000,86392000,8626000,0.01807649398589687,77766000
2011-09-30,821839000,62460000,2011-10-24,0.02,0.01,3770900000,49531000,14080000,0.016563685061921556,35451000
2011-12-31,875575000,40732000,2012-01-25,0.01,0.01,3880730000,65466000,95810000,0.010495963388331577,-30344000
2012-03-31,869791000,-4584000,2012-04-23,-0.01,-0.04,3881920000,19109000,4766000,-0.001180858956392713,14343000
2012-06-30,889163000,6164000,2012-07-24,0.02,0.01,4116630000,19692000,3644000,0.0014973412718655794,16048000
2012-09-30,905089000,7675000,2012-10-23,0.02,0.01,4111030000,150000,13883000,0.0018669287258910785,-13733000
2012-12-31,945239000,7897000,2013-01-23,0.02,-0.02,4139030000,-16186000,37313000,0.0019079349509426122,-53499000
2013-03-31,1023961000,2689000,2013-04-22,0.04,0.03,4210220000,-12165000,33396000,0.0006386839642583998,-45561000
2013-06-30,1069372000,29471000,2013-07-22,0.01,0.01,4241300000,33943000,22111000,0.006948577087213826,11832000
2013-09-30,1105999000,31822000,2013-10-21,0.01,0.01,4269300000,34693000,26299000,0.007453680931300213,8394000
2013-12-31,1175230000,48421000,2014-01-22,0.01,0.01,4291280000,41445000,38349000,0.011283579724464496,3096000
2014-03-31,1270089000,53115000,2014-04-21,0.01,0.01,4308360000,36359000,28248000,0.012328356961813777,8111000
2014-06-30,1340407000,71018000,2014-07-21,0.02,0.02,4314380000,56024000,40850000,0.01646076608921792,15174000
2014-09-30,1409432000,59295000,2014-10-15,0.01,0.01,4327400000,-37439000,36562000,0.013702223043860054,-74001000
2014-12-31,1484728000,83371000,2015-01-20,0.01,0.01,4325160000,-38461000,38856000,0.019275818698036604,-77317000
2015-03-31,1573129000,23696000,2015-04-15,0.01,0.01,4338110000,-127382000,35942000,0.005462286571802006,-163324000
2015-06-30,1644694000,26335000,2015-07-15,0.01,0.04,4360969990,-181343000,47324000,0.006038794135338684,-228667000
2015-09-30,1738355000,29432000,2015-10-14,0.01,0.01,4376060000,-195969000,52287000,0.006725684748380964,-248256000
2015-12-31,1823333000,43178000,2016-01-19,0.01,0.02,4382570000,-244745000,33653000,0.009852210004631986,-278398000
2016-03-31,1957736000,27658000,2016-04-18,0.01,0.03,4379930000,-228590000,31632000,0.006314712792213574,-260222000
2016-06-30,2105204000,40755000,2016-07-18,0.01,0.02,4381540000,-226293000,28738000,0.009301524121655856,-255031000
2016-09-30,2290188000,51517000,2016-10-17,0.01,0.01,4383890000,-461941000,44615000,0.011751435369044388,-506556000
2016-12-31,2477541000,66748000,2017-01-18,0.02,0.01,4400630000,-557160000,79845000,0.01516782824277433,-637005000
2017-03-31,2636635000,178222000,2017-04-17,0.04,0.04,4454580000,-343856000,77895000,0.040008710136533635,-421751000
2017-06-30,2785464000,65600000,2017-07-17,0.02,0.02,4462620000,-534528000,72855000,0.01469988482102442,-607383000
2017-09-30,2984859000,129590000,2017-10-16,0.03,0.03,4473620000,-419607000,44180000,0.028967592240735692,-463787000
2017-12-31,3285755000,185517000,2018-01-22,0.04,0.04,4481420000,-487957000,32092000,0.04139692329663366,-520049000
2018-03-31,3700856000,290124000,2018-04-16,0.06,0.06,4503590000,-236757000,47966000,0.06442060667156646,-284723000
2018-06-30,3907270000,384349000,2018-07-16,0.09,0.08,4515520000,-518239000,39875000,0.08511732867975338,-558114000
2018-09-30,3999374000,402835000,2018-10-16,0.09,0.07,4519190000,-690411000,47064000,0.08913876159223223,-737475000
2018-12-31,4186841000,133934000,2019-01-17,0.03,0.02,4511160000,-1235072000,77627000,0.029689481197740713,-1312699000
2019-03-31,4520992000,344052000,2019-04-16,0.08,0.06,4519220000,-379799000,69551000,0.07613083673731308,-449350000
2019-06-30,4923116000,270650000,2019-07-17,0.06,0.06,4521950000,-543754000,47382000,0.05985249726334878,-591136000
2019-09-30,5244905000,665244000,2019-10-16,0.15,0.1,4515520000,-501794000,49967000,0.14732389625115158,-551761000
2019-12-31,5467434000,586970000,2020-01-21,0.13,0.05,4513670000,-1461975000,107737000,0.13004273684163883,-1569712000
2020-03-31,5767691000,709067000,2020-04-21,0.16,0.16,4524940000,259912000,98015000,0.15670196731890368,161897000
2020-06-30,6148286000,720196000,2020-07-16,0.16,0.18,4539450000,1041076000,141741000,0.15865270021698663,899335000
2020-09-30,6435637000,789976000,2020-10-20,0.17,0.21,4550880000,1263761000,109811000,0.17358752592905108,1153950000
2020-12-31,6644442000,542156000,2021-01-19,0.12,0.14,4552830000,-137672000,148356000,0.1190810990087484,-286028000
2021-03-31,7163282000,1706715000,2021-04-20,0.38,0.3,4556410000,777266000,81001000,0.37457450053880137,696265000
2021-06-30,7341777000,1353013000,2021-07-20,0.3,0.32,4551290000,-63761000,110278000,0.29728121038211147,-174039000
2021-09-30,7483467000,1449071000,2021-10-19,0.32,0.26,4549250000,82379000,167327000,0.31852964774413367,-84948000
2021-12-31,7709318000,607429000,2022-01-20,0.13,0.08,4557950000,-403274000,165979000,0.13326802619598724,-569253000
2022-03-31,7867767000,1597447000,2022-04-19,0.35,0.29,4529840000,922839000,121158000,0.3526497624640164,801681000
2022-06-30,7970141000,1440951000,2022-07-19,0.32,0.29,4501690000,102750000,90018000,0.3200911213344322,12732000
2022-09-30,7925589000,1398242000,2022-10-18,0.31,0.21,4503440000,556810000,84960000,0.31048309736556945,471850000
2022-12-31,7852053000,55284000,2023-01-19,0.01,0.05,4516490000,443858000,111593000,0.012240478778874745,332265000
2023-03-31,8161503000,1305120000,2023-04-18,0.29,0.29,4524170000,2178740000,62019000,0.2884772234465106,2116721000
2023-06-30,8187301000,1487610000,2023-07-19,0.33,0.29,4515720000,1440232000,100972000,0.32942919401557225,1339260000
2023-09-30,8541668000,1677422000,2023-10-18,0.37,0.35,4500110000,1992315000,103929000,0.37275133274519956,1888386000
2023-12-31,8832825000,937838000,2024-01-23,0.21,0.22,4494980000,1663014000,81632000,0.2086411952889668,1581382000
2024-03-31,9381681000,2332209000,2024-04-18,5.28,4.52,4416540000,2212522000,75714000,0.5280624651876809,2136808000
2024-06-30,9559310000,2147306000,2024-07-18,0.49,0.47,4397390000,1290847000,78287000,0.48831374974700903,1212560000
2024-09-30,9824703000,2363509000,2024-10-17,0.54,0.51,4378980000,2321101000,126863000,0.5397396197287953,2194238000
2024-12-31,10246513000,1868607000,2025-01-21,0.43,0.42,4377860000,1536894000,158674000,0.426831145810967,1378220000
2025-03-31,10542801000,2890351000,2025-04-17,0.66,0.57,4369620000,2789199000,128277000,0.6614650701891698,2660922000
2025-06-30,11079166000,3125413000,2025-07-17,0.72,0.7,4359170000,2423258000,155889000,0.7169743322696752,2267369000
2025-09-30,11510307000,2546916000,2025-10-21,0.59,0.7,4352840000,2825174000,164719000,0.5851159243160787,2660455000
