fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2013-06-30,13689000,11457000,2013-06-30,2.7821,,4008426,5426000,770000,2.8582291403159243,4656000
2013-09-30,17699000,2947000,2013-09-30,0.6234,,4238009,3808000,869000,0.6953737002446195,2939000
2013-12-31,15712000,982000,2013-12-31,0.2172,,4283888,4809000,917000,0.2292310163104171,3892000
2014-03-31,15493000,2214000,2014-03-31,0.5026,,4283888,-860000,513000,0.5168202343291888,-1373000
2014-06-30,15209000,2554000,2014-06-30,0.5755,,4332016,5422000,258000,0.5895638427928244,5164000
2014-09-30,16268000,2765000,2014-09-30,0.6259,,4319975,5764000,3341000,0.6400500002893535,2423000
2014-12-31,16164000,2416000,2015-01-20,0.55,,4307274,714000,1653000,0.5609116113811194,-939000
2015-03-31,16814000,3080000,2015-05-21,0.7009,,4307274,1440000,411000,0.7150694383501026,1029000
2015-06-30,16425000,2935000,2015-07-21,0.6582,,4366295,10807000,92000,0.6721946180915398,10715000
2015-09-30,16044000,2594000,2015-10-20,0.5762,,4397906,6050000,328000,0.5898261581761866,5722000
2015-12-31,17022000,2819000,2016-01-19,0.64,0.57,4456442,-3246000,350000,0.632567415889178,-3596000
2016-03-31,16307000,2654000,2016-04-28,0.57,0.58,4456442,2041000,933000,0.5955423631677468,1108000
2016-06-30,24721000,3257000,2016-07-19,0.39,0.59,7629175,3509000,2066000,0.4269137881881068,1443000
2016-09-30,31327000,6464000,2016-10-18,0.84,0.57,8969735,6240000,803000,0.720645593208718,5437000
2016-12-31,29786000,6087000,2017-01-17,0.68,0.64,8958425,13016000,249000,0.6794721170295002,12767000
2017-03-31,29852000,6208000,2017-04-18,0.69,0.75,8958425,6896000,344000,0.6929789555641757,6552000
2017-06-30,35965000,8328000,2017-07-18,0.85,0.79,9991625,8525000,1895000,0.8334980546207449,6630000
2017-09-30,39618000,9511000,2017-10-17,0.87,0.86,10408683,14531000,1063000,0.9137563320931188,13468000
2017-12-31,38457000,9103000,2018-01-16,1.17,0.83,10224788,10761000,779000,0.8902874074259535,9982000
2018-03-31,39609000,9577000,2018-04-17,0.94,0.8,10224788,8056000,400000,0.9366453368030712,7656000
2018-06-30,40784000,9737000,2018-07-17,0.98,0.87,9969854,11962000,414000,0.9766441915799369,11548000
2018-09-30,42529000,10859000,2018-10-16,1.09,0.96,9949295,20535000,2160000,1.0914341166886699,18375000
2018-12-31,42124000,10863000,2019-01-15,1.11,0.98,9758351,10436000,1286000,1.1132003757602078,9150000
2019-03-31,42345000,10267000,2019-04-16,1.05,1.03,9758351,10297000,2368000,1.052124482917247,7929000
2019-06-30,53130000,18549000,2019-07-16,1.36,1.09,9692378,8817000,769000,1.9137718318456007,8048000
2019-09-30,46979000,13530000,2019-10-15,1.4,1.17,9696850,17391000,392000,1.3952984732155287,16999000
2019-12-31,49951000,12295000,2020-01-21,1.18,1.19,10801000,21632000,863000,1.1383205258772335,20769000
2020-03-31,46588000,10555000,2020-04-21,0.98,1.07,10801000,12165000,4961000,0.9772243310804555,7204000
2020-06-30,54363000,13478000,2020-07-21,1.28,0.94,10520000,8025000,1279000,1.2811787072243346,6746000
2020-09-30,55961000,18102000,2020-10-20,1.72,1.4,10499000,44082000,3468000,1.724164206114868,40614000
2020-12-31,56186000,17987000,2021-01-19,1.74,1.54,10350000,14627000,1083000,1.7378743961352656,13544000
2021-03-31,54002000,18239000,2021-04-20,1.75,1.59,10403000,38213000,485000,1.7532442564644815,37728000
2021-06-30,58485000,18284000,2021-07-20,1.77,1.63,10326000,4802000,3209000,1.7706759635870617,1593000
2021-09-30,52737000,7824000,2021-10-19,0.73,1.57,10775591,9247000,3200000,0.7260854648250847,6047000
2021-12-31,73827000,16305000,2022-01-18,1.25,1.45,13049000,45392000,5897000,1.24952103609472,39495000
2022-03-31,73861000,24164000,2022-04-19,1.7,1.61,14215000,21943000,1953000,1.699894477664439,19990000
2022-06-30,73657000,23985000,2022-07-19,1.67,1.69,13852000,27399000,4220000,1.7315189142362113,23179000
2022-09-30,83718000,18510000,2022-10-25,1.74,1.8,14310000,38007000,1792000,1.2935010482180294,36215000
2022-12-31,100838000,27601000,2023-01-17,1.84,2.0,15110000,30047000,4269000,1.826671078755791,25778000
2023-03-31,63192000,-8898000,2023-04-18,1.45,1.67,14694000,15542000,5646000,-0.6055532870559412,9896000
2023-06-30,108898000,22595000,2023-07-18,1.53,1.46,14960000,32825000,6919000,1.5103609625668448,25906000
2023-09-30,116425000,17158000,2023-10-24,1.54,1.55,15100000,21836000,2539000,1.1362913907284768,19297000
2023-12-31,130678000,30661000,2024-01-16,1.85,1.73,15142000,37771000,3098000,2.024897635715229,34673000
2024-03-31,123453000,27790000,2024-04-16,1.72,1.65,15249000,23481000,3325000,1.8224145845629223,20156000
2024-06-30,128487000,29273000,2024-07-16,1.88,1.66,15276000,37336000,2948000,1.9162738936894474,34388000
2024-09-30,135000000,32516000,2024-10-15,2.04,1.87,15479000,39646000,4929000,2.1006524969313265,34717000
2024-12-31,132477000,34480000,2025-01-21,2.17,1.99,15710000,33385000,5318000,2.1947803946530873,28067000
2025-03-31,130964000,32592000,2025-04-15,2.1,1.93,15647000,41788000,463000,2.082955199079696,41325000
2025-06-30,138271000,36035000,2025-07-15,2.35,2.15,15431000,38906000,544000,2.33523426867993,38362000
2025-09-30,143952000,41735000,2025-10-23,2.66,2.39,15344000,45861000,4000,2.7199556830031284,45857000
