fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,684937000,-7362000,2005-10-27,-0.06,-0.05,82650000,63830000,21386000,-0.08907441016333938,42444000
2005-12-31,1164576000,34264000,2006-02-06,0.41,0.31,83880000,-168279000,25039000,0.4084883166428231,-193318000
2006-03-31,1064422000,60201000,2006-05-03,0.71,0.59,84435000,270647000,748000,0.7129863208385149,269899000
2006-06-30,536103000,-3975000,2006-08-02,-0.05,,85188000,-57675000,6267000,-0.04666150161994647,-63942000
2006-09-30,534507000,-11971000,2006-11-01,-0.14,-0.15,83139000,-67686000,26740000,-0.1439877795017982,-94426000
2006-12-31,741465000,28124000,2007-02-07,0.34,0.41,83712000,12357000,14315000,0.33596139143730885,-1958000
2007-03-31,1024636000,80527000,2007-04-26,0.96,0.74,84142000,229266000,12047000,0.9570369137885955,217219000
2007-06-30,665358000,-4952000,2007-08-01,-0.06,-0.1,84590000,-81021000,13448000,-0.05854119872325334,-94469000
2007-09-30,590306000,-38418000,2007-11-15,-0.18,-0.19,83355000,-38196000,23714000,-0.46089616699658087,-61910000
2007-12-31,811138000,30185000,2008-02-06,0.44,0.34,83856000,-6525000,13694000,0.3599623163518412,-20219000
2008-03-31,1177545000,12535000,2008-04-30,0.93,0.93,84198000,174245000,16279000,0.14887527019644173,157966000
2008-06-30,1000439000,-7597000,2008-07-30,-0.05,-0.06,83898000,-23425000,28162000,-0.09055043028439295,-51587000
2008-09-30,827088000,78787000,2008-11-13,-0.19,-0.2,84340000,-11927000,15311000,0.9341593549917002,-27238000
2008-12-31,801304000,11776000,2009-02-04,0.38,0.43,84990000,-36960000,18352000,0.13855747735027651,-55312000
2009-03-31,937516000,35517000,2009-04-29,0.85,0.99,85386000,382830000,19690000,0.41595811959806056,363140000
2009-06-30,441052000,-14335000,2009-07-29,0.02,0.01,84098000,4814000,13483000,-0.17045589669195463,-8669000
2009-09-30,412588000,-5716000,2009-12-01,-0.06,-0.06,83230000,-83443000,23970000,-0.06867715967800073,-107413000
2009-12-31,609546000,51902000,2010-02-03,0.33,0.41,84002000,-52199000,10343000,0.6178662412799695,-62542000
2010-03-31,918346000,74217000,2010-05-05,0.77,0.87,83452000,297194000,17488000,0.8893375832814073,279706000
2010-06-30,479894000,-10177000,2010-08-04,0.14,0.1,82478000,-89051000,22325000,-0.12339047988554523,-111376000
2010-09-30,631518000,1515000,2010-11-23,-0.01,0.01,82560000,-16529000,40022000,0.01835029069767442,-56551000
2010-12-31,713152000,24509000,2011-02-02,0.35,0.46,83020000,-131855000,27837000,0.2952180197542761,-159692000
2011-03-31,976987000,63927000,2011-05-04,0.81,0.83,83106000,312864000,27644000,0.769222438813082,285220000
2011-06-30,648169000,20374000,2011-08-03,0.12,0.11,83194000,46212000,34365000,0.24489746856744476,11847000
2011-09-30,670901000,-7511000,2011-11-23,0.01,0.03,82868000,22880000,79316000,-0.09063812328039775,-56436000
2011-12-31,642411000,57357000,2012-02-07,0.55,0.37,83302000,-77465000,67095000,0.6885428921274399,-144560000
2012-03-31,612921000,54535000,2012-05-03,0.9,0.78,83422000,182089000,37530000,0.6537244371988205,144559000
2012-06-30,425121000,-10320000,2012-08-09,0.05,0.03,83120000,-44707000,43102000,-0.12415784408084697,-87809000
2012-09-30,568470000,-8693000,2012-11-29,-0.13,-0.13,83390000,-8836000,58454000,-0.1042451133229404,-67290000
2012-12-31,736019000,60206000,2013-02-07,0.43,0.51,83516000,-44967000,49465000,0.7208918051630825,-94432000
2013-03-31,960885000,45469000,2013-05-02,0.82,0.83,83944000,153348000,41099000,0.5416587248641952,112249000
2013-06-30,767469000,29155000,2013-08-07,0.12,0.11,83464000,16758000,44032000,0.349312278347551,-27274000
2013-09-30,733695000,-20021000,2013-11-25,-0.01,-0.01,83394000,-11145000,61612000,-0.24007722378108737,-72757000
2013-12-31,878405000,7693000,2014-02-06,0.47,0.47,84478000,-68817000,60318000,0.09106512938279789,-129135000
2014-03-31,1579569000,172971000,2014-05-07,1.79,1.36,84914000,452259000,55970000,2.0370139199660833,396289000
2014-06-30,688257000,-14274000,2014-07-31,0.06,-0.05,84234000,-6981000,84352000,-0.1694565139967234,-91333000
2014-09-30,591914000,-24420000,2014-11-25,-0.23,-0.26,84552000,-19675000,87469000,-0.2888163497019586,-107144000
2014-12-31,824124000,123320000,2015-02-04,0.65,0.51,85574000,40849000,92093000,1.4410919204431252,-51244000
2015-03-31,1013090000,60903000,2015-05-07,1.16,0.95,86370000,285657000,66268000,0.705140673845085,219389000
2015-06-30,458467000,-7460000,2015-07-31,0.03,0.05,85449000,53254000,68967000,-0.08730353778277102,-15713000
2015-09-30,438306000,4197000,2015-11-24,-0.06,-0.08,85675000,8160000,92549000,0.048987452582433616,-84389000
2015-12-31,444258000,48647000,2016-02-03,0.57,0.56,86676000,-39216000,94046000,0.5612510960358116,-133262000
2016-03-31,574193000,73328000,2016-05-04,0.91,0.91,86858000,154040000,73242000,0.8442285109028529,80798000
2016-06-30,393213000,-17363000,2016-08-02,0.13,0.14,85960000,-18225000,81541000,-0.20198929734760354,-99766000
2016-09-30,461206000,25400000,2016-11-17,-0.02,0.01,86084000,46031000,105367000,0.29506063844616887,-59336000
2016-12-31,539285000,34929000,2017-02-08,0.46,0.61,86855000,-46064000,85640000,0.4021530136434287,-131704000
2017-03-31,728564000,114702000,2017-05-05,1.21,1.0,87101000,217868000,77864000,1.316884995579844,140004000
2017-06-30,456159000,18957000,2017-08-02,0.2,0.04,87267000,51292000,74288000,0.21722988071092164,-22996000
2017-09-30,535697000,-36523000,2017-11-21,-0.14,-0.13,86996000,24950000,87857000,-0.419823899949423,-62907000
2017-12-31,704095000,123699000,2018-02-08,1.55,0.59,87347000,-23502000,65777000,1.4161791475379808,-89279000
2018-03-31,1030994999,140266000,2018-05-04,1.62,0.97,87989000,335973000,96002000,1.594131084567389,239971000
2018-06-30,540389000,-14274000,2018-08-07,-0.09,0.02,87888000,80086000,100047000,-0.16241125068268705,-19961000
2018-09-30,648941000,-16254999,2018-11-20,-0.33,-0.44,88279000,5729000,116118000,-0.18413211522559159,-110389000
2018-12-31,813299000,86248000,2019-02-06,0.61,0.69,88946000,-104755000,91881000,0.9696669889595935,-196636000
2019-03-31,866084000,73573000,2019-05-03,1.27,1.17,89228000,276542000,99735000,0.8245505895010535,176807000
2019-06-30,433507000,-8402000,2019-08-06,-0.2,0.12,89600000,-5997000,139286000,-0.09377232142857143,-145283000
2019-09-30,484887000,18086000,2019-11-19,0.29,0.29,90366000,23560000,167152000,0.20014164619436514,-143592000
2019-12-31,605200000,75752000,2020-02-06,0.44,0.76,92320000,-43064000,123496000,0.8205372616984402,-166560000
2020-03-31,627518000,73846000,2020-05-08,1.12,1.48,95890000,222209000,96129000,0.7701115861925123,126080000
2020-06-30,317035000,-19298000,2020-08-07,-0.06,0.1,95764000,3638000,129353000,-0.20151622739233951,-125715000
2020-09-30,402752000,43272000,2020-11-30,0.57,0.57,96259000,30698000,96962000,0.44953718613324467,-66264000
2020-12-31,449053000,81045000,2021-02-04,0.46,0.49,96415000,31723000,109880000,0.8405849712181714,-78157000
2021-03-31,765768000,149809000,2021-05-06,1.77,1.18,96618000,324568000,136007000,1.5505288869568818,188561000
2021-06-30,366596000,-111831000,2021-08-05,-0.15,-0.12,96348000,-14495000,184026000,-1.16069871715033,-198521000
2021-09-30,545185000,-1133000,2021-11-18,0.07,0.08,96198000,49158000,194697000,-0.011777791638079793,-145539000
2021-12-31,675692000,111312000,2022-02-03,0.69,0.73,96356000,-37407000,164298000,1.1552160737265973,-201705000
2022-03-31,923898000,96035000,2022-05-05,1.36,1.28,96516000,367859000,137012000,0.9950163703427412,230847000
2022-06-30,551727000,13053000,2022-08-04,-0.04,0.06,96620000,-94575000,139804000,0.13509625336369283,-234379000
2022-09-30,765486000,54522000,2022-11-17,0.5,0.43,96630000,87603000,157314000,0.564234709717479,-69711000
2022-12-31,713529000,115921000,2023-02-02,1.14,0.72,97083000,-88947000,145923000,1.1940401512108196,-234870000
2023-03-31,636819000,110247000,2023-05-04,1.16,1.21,97556000,432068000,117188000,1.1300893845586124,314880000
2023-06-30,251427000,1532000,2023-08-03,0.1,-0.04,97886000,44777000,117103000,0.015650859162699468,-72326000
2023-09-30,327609000,37024000,2023-11-21,0.3,0.3,98192000,91095000,160705000,0.37705719406876326,-69610000
2023-12-31,453180000,89411000,2024-02-06,0.74,0.75,98563000,46415000,114622000,0.9071456834714853,-68207000
2024-03-31,661564000,120812000,2024-05-07,1.41,1.33,99102000,292187000,114221000,1.2190672236685436,177966000
2024-06-30,272076000,-11574000,2024-08-06,-0.09,-0.02,98983000,24292000,146368000,-0.11692916965539538,-122076000
2024-09-30,397649000,91126000,2024-11-19,0.89,0.8651,99136000,64513000,175533000,0.9192019044544868,-111020000
2024-12-31,490993000,131318999,2025-02-04,1.2828,1.065,100478000,-8955000,151870000,1.3069428033997492,-160825000
2025-03-31,876947000,204287000,2025-05-05,1.78,1.6217,100933000,423033000,114265000,2.02398620867308,308768000
2025-06-30,323884000,-15051000,2025-08-05,-0.15,-0.06,100373000,-28904000,177368000,-0.1499506839488707,-206272000
2025-09-30,341478000,15072000,2025-11-19,0.16,0.1887,101024000,81175000,262575000,0.14919227114349065,-181400000
