fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,139143000,5272000,2005-11-07,0.0567,,86883333,-103000,5671000,0.06067907178468855,-5774000
2005-12-31,147346000,6926000,2006-03-06,0.0779,,87405572,10487000,10661000,0.07923979949470498,-174000
2006-03-31,166458000,6185000,2006-05-01,0.0686,,88357143,12027000,12725000,0.06999999988682296,-698000
2006-06-30,164831000,5923000,2006-07-25,0.0659,,84614286,-2869000,10030000,0.06999999976363329,-12899000
2006-09-30,147618000,-2265000,2006-11-09,-0.0253,,89658000,-1335000,6653000,-0.02526266479287961,-7988000
2006-12-31,166461000,-42124000,2007-03-09,-0.4715,,90059500,19186000,6983000,-0.4677352194937791,12203000
2007-03-31,149264000,7234000,2007-05-04,0.0802,,90248000,10303000,3399000,0.08015690098395532,6904000
2007-06-30,149982000,5299000,2007-08-03,0.0584,,90671000,26747000,5903000,0.058442059754497025,20844000
2007-09-30,153778000,7383000,2007-11-05,0.0815,,90542000,25752000,3925000,0.08154226767687923,21827000
2007-12-31,159740000,6746000,2008-02-22,0.0745,,90429500,5386000,3809000,0.07459954992563267,1577000
2008-03-31,178467000,11351000,2008-05-02,0.1257,,90332000,-8078000,5728000,0.12565868130894922,-13806000
2008-06-30,194032000,10002000,2008-08-01,0.1123,,89073000,31412000,5737000,0.11228991950422687,25675000
2008-09-30,211568000,10418000,2008-10-31,0.1449,,89109000,13885000,5156000,0.11691299419811692,8729000
2008-12-31,274283000,6687000,2009-02-20,0.08,,88771000,-8532000,5873000,0.07532865462820065,-14405000
2009-03-31,126938000,-12004000,2009-05-01,-0.1359,,88323000,33038000,7540000,-0.13591023855620846,25498000
2009-06-30,109599000,-8787000,2009-07-31,-0.0993,,88514000,24469000,6599000,-0.09927243147976592,17870000
2009-09-30,118208000,202000,2009-10-30,0.0023,,88655000,12258000,3080000,0.0022784952907337432,9178000
2009-12-31,135530000,16000,2010-02-19,0.0002,,88683500,19054000,1325000,0.00018041687574351487,17729000
2010-03-31,160798000,7782000,2010-04-30,0.0876,,88867000,-2369000,2029000,0.08756906388198094,-4398000
2010-06-30,181352000,10840000,2010-07-30,0.1213,,89079000,10171000,3966000,0.12168973607696539,6205000
2010-09-30,179278000,8234000,2010-10-29,0.0909,,90557000,18306000,1417000,0.09092615700608457,16889000
2010-12-31,194526000,14770000,2011-02-18,0.15,,98308652,5368000,4722000,0.15024109983727577,646000
2011-03-31,202651000,15854000,2011-04-29,0.1606,,106126000,17897000,6188000,0.14938846277066883,11709000
2011-06-30,230822000,19280000,2011-07-29,0.181,,106534000,3230000,10654000,0.18097508776540822,-7424000
2011-09-30,261193000,22997000,2011-10-28,0.2266,,106919000,13600000,11294000,0.21508805731441558,2306000
2011-12-31,263514000,21886000,2012-02-17,0.2173,,107162000,-48285000,8761000,0.2042328437319199,-57046000
2012-03-31,262336000,15634000,2012-04-27,0.1573,,107353000,-6408000,17302000,0.14563170102372547,-23710000
2012-06-30,245756000,14463000,2012-07-27,0.1381,,104739000,22230000,9013000,0.13808609973362357,13217000
2012-09-30,259599000,18742000,2012-10-26,0.1823,,102800000,64830000,8543000,0.18231517509727627,56287000
2012-12-31,270328000,11193000,2013-02-15,0.12,,101187000,29593000,9097000,0.11061697648907469,20496000
2013-03-31,267923000,17375000,2013-04-26,0.1714,,101354000,15240000,16127000,0.1714288533259664,-887000
2013-06-30,259376000,15664000,2013-07-26,0.1656,,102305000,28655000,21290000,0.15311079614877082,7365000
2013-09-30,268132000,18760000,2013-10-25,0.1956,,102960000,51794000,15133000,0.1822066822066822,36661000
2013-12-31,197508000,13524000,2014-02-14,0.1417,,103089000,56214000,15379000,0.13118761458545528,40835000
2014-03-31,242824000,35011000,2014-04-25,0.3429,,102099000,3594000,18509000,0.3429122714228347,-14915000
2014-06-30,272466000,20329000,2014-07-25,0.2149,,100435000,-8904000,38218000,0.2024095185941156,-47122000
2014-09-30,296964000,23492000,2014-10-31,0.2496,,99287000,28192000,27983000,0.2366070079668033,209000
