fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,687000000,-27000000,2005-11-07,0.49,0.38,168000000,-185000000,8981000,-0.16071428571428573,-193981000
2005-12-31,765172000,64397000,2006-03-07,0.34,0.16,234000000,181751000,60482000,0.2752008547008547,121269000
2006-03-31,1043000000,26000000,2006-05-09,0.12,0.14,238000000,325000000,35000000,0.1092436974789916,290000000
2006-06-30,1502000000,203000000,2006-08-01,0.52,0.26,319000000,280000000,39000000,0.6363636363636364,241000000
2006-09-30,1942000000,422000000,2006-11-03,0.79,0.49,317000000,575000000,85000000,1.3312302839116719,490000000
2006-12-31,1144000000,-30000000,2007-02-28,0.04,0.23,244000000,-641000000,62000000,-0.12295081967213115,-703000000
2007-03-31,1299000000,65000000,2007-05-02,0.34,0.4,271000000,106000000,107000000,0.23985239852398524,-1000000
2007-06-30,1536000000,149000000,2007-08-02,0.59,0.41,288000000,347000000,98000000,0.5173611111111112,249000000
2007-09-30,1786000000,268000000,2007-11-02,0.93,0.77,285000000,523000000,104000000,0.9403508771929825,419000000
2007-12-31,1345000000,104000000,2008-02-28,0.34,0.5,236000000,541000000,333000000,0.4406779661016949,208000000
2008-03-31,1302000000,49000000,2008-05-01,0.46,0.41,245000000,60000000,164000000,0.2,-104000000
2008-06-30,1316000000,127000000,2008-07-29,0.49,0.55,236000000,376000000,245000000,0.538135593220339,131000000
2008-09-30,2690000000,784000000,2008-10-30,2.83,0.77,277000000,648000000,240000000,2.8303249097472922,408000000
2008-12-31,1577000000,209000000,2009-02-12,0.98,0.41,237000000,350000000,258000000,0.8818565400843882,92000000
2009-03-31,1658000000,198000000,2009-04-30,0.7,0.45,275000000,139000000,233000000,0.72,-94000000
2009-06-30,2237000000,433000000,2009-07-30,1.56,0.74,275000000,583000000,141000000,1.5745454545454545,442000000
2009-09-30,2916000000,278000000,2009-10-29,1.02,1.14,272000000,558000000,254000000,1.0220588235294117,304000000
2009-12-31,2141000000,33000000,2010-02-23,0.11,0.45,254000000,826000000,106000000,0.12992125984251968,720000000
2010-03-31,2215000000,58000000,2010-05-10,0.22,0.31,257000000,114000000,185000000,0.22568093385214008,-71000000
2010-06-30,2133000000,211000000,2010-08-02,0.81,0.43,256000000,491000000,145000000,0.82421875,346000000
2010-09-30,2685000000,223000000,2010-11-04,0.87,0.96,253000000,536000000,216000000,0.8814229249011858,320000000
2010-12-31,1816000000,-15000000,2011-02-22,-0.07,0.4,247000000,482000000,231000000,-0.06072874493927125,251000000
2011-03-31,1995000000,-260000000,2011-05-05,-1.06,0.11,247000000,216000000,226000000,-1.0526315789473684,-10000000
2011-06-30,2278000000,621000000,2011-08-04,2.53,0.36,244000000,93000000,630000000,2.5450819672131146,-537000000
2011-09-30,2674000000,-55000000,2011-11-03,0.43,0.34,240000000,359000000,526000000,-0.22916666666666666,-167000000
2011-12-31,2132000000,-109000000,2012-02-28,-0.48,-0.49,228000000,498000000,947000000,-0.4780701754385965,-449000000
2012-03-31,1862000000,-207000000,2012-05-03,-0.92,-0.13,228000000,-76000000,639000000,-0.9078947368421053,-715000000
2012-06-30,2166000000,251000000,2012-08-08,1.08,0.15,229000000,661000000,954000000,1.0960698689956332,-293000000
2012-09-30,2331000000,-1000000,2012-11-02,0.27,0.47,228000000,473000000,889000000,-0.0043859649122807015,-416000000
2012-12-31,2063000000,516000000,2013-02-27,-0.14,-0.15,231000000,91000000,915000000,2.2337662337662336,-824000000
2013-03-31,2081000000,-332000000,2013-05-07,-0.79,-0.29,323000000,-124000000,813000000,-1.0278637770897834,-937000000
2013-06-30,2929000000,124000000,2013-08-09,0.64,0.23,327000000,46000000,468000000,0.37920489296636084,-422000000
2013-09-30,3490000000,119000000,2013-11-12,0.46,0.83,327000000,901000000,300000000,0.363914373088685,601000000
2013-12-31,2795000000,-312000000,2014-02-28,-0.96,0.21,324000000,447000000,406000000,-0.9629629629629629,41000000
2014-03-31,3486000000,-56000000,2014-05-06,-0.23,-0.1,324000000,391000000,237000000,-0.1728395061728395,154000000
2014-06-30,3621000000,-97000000,2014-08-07,-0.3,0.15,337000000,-21000000,270000000,-0.2878338278931751,-291000000
2014-09-30,4569000000,168000000,2014-11-05,0.62,0.52,343000000,744000000,168000000,0.4897959183673469,576000000
2014-12-31,4192000000,119000000,2015-02-27,0.38,0.52,336000000,396000000,250000000,0.3541666666666667,146000000
2015-03-31,3829000000,-120000000,2015-05-08,-0.37,0.24,336000000,260000000,252000000,-0.35714285714285715,8000000
2015-06-30,3400000000,-14000000,2015-08-04,-0.06,-0.01,333000000,198000000,331000000,-0.042042042042042045,-133000000
2015-09-30,4434000000,66000000,2015-11-04,0.65,0.76,332000000,934000000,306000000,0.19879518072289157,628000000
2015-12-31,3020000000,-6314000000,2016-02-29,-0.56,0.05,315000000,-83000000,394000000,-20.044444444444444,-477000000
2016-03-31,3229000000,82000000,2016-05-05,0.24,0.06,315000000,554000000,291000000,0.26031746031746034,263000000
2016-06-30,2248000000,-271000000,2016-08-09,-0.25,0.2,315000000,257000000,358000000,-0.8603174603174604,-101000000
2016-09-30,3421000000,402000000,2016-11-04,0.64,0.93,317000000,930000000,276000000,1.2681388012618298,654000000
2016-12-31,2532000000,-987000000,2017-02-28,-0.16,-0.29,316000000,339000000,346000000,-3.1234177215189876,-7000000
2017-03-31,2382000000,-163000000,2017-05-02,-0.51,-0.28,316000000,-67000000,268000000,-0.5158227848101266,-335000000
2017-06-30,2701000000,-626000000,2017-08-03,0.36,-0.09,316000000,141000000,306000000,-1.981012658227848,-165000000
2017-09-30,2740000000,171000000,2017-11-02,0.61,0.94,322000000,662000000,370000000,0.531055900621118,292000000
2017-12-31,2497000000,-1534000000,2018-03-01,0.25,0.26,318000000,581000000,82000000,-4.823899371069182,499000000
2018-03-31,2065000000,279000000,2018-05-03,0.87,0.14,322000000,350000000,155000000,0.8664596273291926,195000000
2018-06-30,2461000000,72000000,2018-08-02,0.19,0.79,314000000,163000000,127000000,0.22929936305732485,36000000
2018-09-30,2960000000,-72000000,2018-11-08,0.96,1.31,299000000,554000000,61000000,-0.2408026755852843,493000000
