fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-10-31,483062000,70718000,2005-11-16,0.21,0.18,385442000,102475000,29474000,0.18347248094395524,73001000
2006-01-31,537031000,76393000,2006-02-15,0.22,0.21,389149000,140919000,33464000,0.1963078409555209,107455000
2006-04-30,597961000,59221000,2006-05-24,0.23,0.22,371768000,171928000,36439000,0.15929558219104387,135489000
2006-07-31,621288000,54670000,2006-08-16,0.14,0.16,391319000,164564000,23056000,0.13970699097156028,141508000
2006-10-31,652523000,86931000,2006-11-15,0.17,0.18,388226000,238838000,52957000,0.2239185422923761,185881000
2007-01-31,729278000,66514000,2007-02-14,0.19,0.21,389120000,250307000,36398000,0.17093441611842106,213909000
2007-04-30,801193000,89621000,2007-05-23,0.18,0.24,385200000,210747000,53417000,0.23266095534787123,157330000
2007-07-31,689235000,34337000,2007-08-15,0.2,0.19,377631000,200899000,33586000,0.0909273867876313,167313000
2007-10-31,792198000,83758000,2007-11-14,0.32,0.26,365458000,227672000,37572000,0.2291863907754106,190100000
2008-01-31,884003000,101823000,2008-02-13,0.37,0.34,352780000,287014000,53689000,0.2886303078405805,233325000
2008-04-30,937731000,89820000,2008-05-21,0.38,0.36,348500000,293301000,63433000,0.25773314203730274,229868000
2008-07-31,868776000,37672000,2008-08-13,0.22,0.22,341120000,250195000,76613000,0.11043621013133208,173582000
2008-10-31,911631000,49182000,2008-11-12,0.28,0.27,333385000,207440000,27354000,0.1475231339142433,180086000
2009-01-31,746343000,-75392000,2009-02-11,0.28,0.28,329026000,236000000,50934000,-0.22913690711372353,185066000
2009-04-30,879643000,75084000,2009-05-20,0.31,0.23,333100000,195595000,134756000,0.22540978685079555,60839000
2009-07-31,837961000,51664000,2009-08-19,0.22,0.2,338900000,38234000,24714000,0.15244614930658013,13520000
2009-10-31,910027000,95677000,2009-11-18,0.37,0.3,349751000,267295000,22776000,0.27355747374560757,244519000
2010-01-31,1011650000,107880000,2010-02-17,0.4,0.38,360321000,194913000,49732000,0.2993997019324436,145181000
2010-04-30,1171762000,145179000,2010-05-26,0.5,0.43,374300000,474558000,38378000,0.3878680203045685,436180000
2010-07-31,1137800000,141800000,2010-08-18,0.49,0.45,374300000,177300000,40200000,0.3788405022709057,137100000
2010-10-31,1207400000,164600000,2010-11-17,0.52,0.49,391700000,364700000,43300000,0.4202195557824866,321400000
2011-01-31,1268100000,172500000,2011-02-16,0.52,0.5,406200000,363500000,66300000,0.42466765140324964,297200000
2011-04-30,1428300000,160600000,2011-05-25,0.59,0.53,403600000,440800000,72900000,0.3979187314172448,367900000
2011-07-31,1458200000,139500000,2011-08-17,0.55,0.55,405500000,240600000,98300000,0.344019728729963,142300000
2011-10-31,1507000000,165600000,2011-11-16,0.63,0.59,376000000,370200000,93300000,0.44042553191489364,276900000
2012-01-31,1565500000,119600000,2012-02-15,0.58,0.58,373700000,269200000,91300000,0.32004281509232,177900000
2012-04-30,1702500000,180700000,2012-05-23,0.66,0.63,381700000,582600000,124200000,0.47340843594445897,458400000
2012-07-31,1444600000,63800000,2012-08-15,0.42,0.38,371200000,229200000,61900000,0.171875,167300000
2012-10-31,1541200000,109600000,2012-11-14,0.51,0.48,368200000,336400000,67100000,0.29766431287343836,269300000
2013-01-31,1630100000,158100000,2013-02-13,0.67,0.56,364700000,365100000,110700000,0.4335069920482588,254400000
2013-04-30,1716500000,173800000,2013-05-21,0.69,0.68,368200000,455600000,63600000,0.4720260727865291,392000000
2013-07-31,1516200000,81600000,2013-08-14,0.53,0.49,359900000,285800000,65300000,0.22672964712420116,220500000
2013-10-31,1549900000,166800000,2013-11-13,0.66,0.62,349100000,362500000,42200000,0.4778000572901747,320300000
2014-01-31,1610000000,192100000,2014-02-12,0.75,0.71,346200000,331800000,57900000,0.5548815713460428,273900000
2014-04-30,1649000000,197000000,2014-05-21,0.84,0.79,336400000,369500000,56000000,0.5856123662306778,313500000
2014-07-31,1489200000,88400000,2014-08-13,0.6,0.57,329100000,215500000,58400000,0.2686113643269523,157100000
2014-10-31,1542500000,159800000,2014-11-12,0.7,0.69,323500000,381400000,51100000,0.49397217928902626,330300000
2015-01-31,1551300000,176800000,2015-02-11,0.75,0.77,317100000,274600000,28600000,0.5575528224534847,246000000
2015-04-30,1539700000,134900000,2015-05-20,0.65,0.72,313300000,396600000,37200000,0.4305777210341526,359400000
2015-07-31,1335000000,-30000000,2015-08-19,0.29,0.23,304000000,129000000,38000000,-0.09868421052631579,91000000
2015-10-31,1445000000,114000000,2015-11-18,0.61,0.57,296000000,145000000,46000000,0.38513513513513514,99000000
2016-01-31,1386000000,153000000,2016-02-17,0.7,0.68,296000000,355000000,41000000,0.5168918918918919,314000000
2016-04-30,1380000000,-8000000,2016-05-25,0.55,0.58,284000000,345000000,35000000,-0.028169014084507043,310000000
2016-07-31,1294000000,64000000,2016-08-17,0.46,0.36,282000000,228000000,36000000,0.22695035460992907,192000000
2016-10-31,1340000000,109000000,2016-11-16,0.6,0.54,284000000,158000000,56000000,0.38380281690140844,102000000
2017-01-31,1404000000,146000000,2017-02-15,0.82,0.74,281000000,235000000,45000000,0.5195729537366548,190000000
2017-04-30,1481000000,190000000,2017-05-24,0.86,0.82,278000000,365000000,38000000,0.6834532374100719,327000000
2017-07-31,1325000000,136000000,2017-08-16,0.62,0.55,278000000,250000000,36000000,0.4892086330935252,214000000
2017-10-31,1422000000,175000000,2017-11-15,0.81,0.69,275000000,314000000,29000000,0.6363636363636364,285000000
2018-01-31,1523000000,-506000000,2018-02-14,0.99,0.91,268000000,420000000,32000000,-1.8880597014925373,388000000
2018-04-30,1641000000,271000000,2018-05-23,1.05,1.01,273000000,494000000,48000000,0.9926739926739927,446000000
2018-07-31,1474000000,283000000,2018-08-15,1.04,0.8,269000000,326000000,64000000,1.0520446096654275,262000000
2018-10-31,1517000000,241000000,2018-11-14,1.06,0.99,264000000,165000000,43000000,0.9128787878787878,122000000
2019-01-31,1563000000,249000000,2019-02-13,1.2,1.15,255000000,451000000,31000000,0.9764705882352941,420000000
2019-04-30,1592000000,396000000,2019-05-22,1.22,1.26,249000000,399000000,35000000,1.5903614457831325,364000000
2019-07-31,1236000000,103000000,2019-08-14,0.65,0.58,243000000,310000000,32000000,0.42386831275720166,278000000
2019-10-31,1371000000,243000000,2019-11-13,1.09,0.94,236000000,-53000000,36000000,1.0296610169491525,-89000000
2020-01-31,1404000000,277000000,2020-02-12,1.16,1.18,229000000,420000000,32000000,1.2096069868995634,388000000
2020-04-30,1401000000,196000000,2020-05-27,1.19,1.04,222000000,383000000,24000000,0.8828828828828829,359000000
2020-07-31,1303000000,77000000,2020-08-26,0.73,0.41,222000000,240000000,52000000,0.34684684684684686,188000000
2020-10-31,1416000000,137000000,2020-12-01,1.05,0.73,224000000,161000000,40000000,0.6116071428571429,121000000
2021-01-31,1470000000,182000000,2021-02-24,1.1,1.01,227000000,373000000,32000000,0.801762114537445,341000000
2021-04-30,1555000000,334000000,2021-06-02,1.17,1.12,229000000,559000000,38000000,1.4585152838427948,521000000
2021-07-31,1458000000,202000000,2021-08-25,1.15,0.95,229000000,242000000,51000000,0.8820960698689956,191000000
2021-10-31,1566000000,224000000,2021-11-30,1.28,1.21,229000000,298000000,46000000,0.9781659388646288,252000000
2022-01-31,1614000000,252000000,2022-02-23,1.44,1.29,229000000,260000000,61000000,1.1004366812227073,199000000
2022-04-30,1680000000,259000000,2022-06-01,1.42,1.28,228000000,411000000,68000000,1.1359649122807018,343000000
