fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,53965000,-8887000,2005-11-02,-0.31,-0.36,28363000,5653000,3539000,-0.31333074780523923,2114000
2005-12-31,61525000,-6107000,2006-03-02,-0.2153,,28363000,12445000,3372000,-0.2153157282374925,9073000
2006-03-31,59826000,-7287000,2006-05-03,-0.26,-0.3,28363000,6050000,2982000,-0.2569192257518598,3068000
2006-06-30,64561000,-2368000,2006-08-08,-0.08,-0.05,28372000,11337000,5949000,-0.08346256872973354,5388000
2006-09-30,63588000,-3941000,2006-11-08,-0.14,-0.09,28379000,13021000,7810000,-0.1388702914126643,5211000
2006-12-31,77194000,4604000,2007-03-01,0.16,0.07,28393000,24054000,63134000,0.16215264325714085,-39080000
2007-03-31,62054000,-9033000,2007-05-08,-0.32,-0.28,28393000,3406000,5858000,-0.31814179551297855,-2452000
2007-06-30,68729000,-1291000,2007-08-08,-0.05,-0.11,28402000,10102000,4246000,-0.045454545454545456,5856000
2007-09-30,64463000,-6844000,2007-11-06,-0.24,-0.22,28402000,6480000,3532000,-0.24096894584888387,2948000
2007-12-31,71555000,-2605000,2008-03-06,-0.09,-0.12,28418000,16999000,4905000,-0.09166725314941235,12094000
2008-03-31,63712000,-15328000,2008-05-07,-0.29,-0.29,28418000,10277000,12169000,-0.5393764515447955,-1892000
2008-06-30,70618000,3877000,2008-08-05,0.14,-0.13,28422000,18564000,4267000,0.13640841601576242,14297000
2008-09-30,70275000,-45328000,2008-11-10,0.11,-0.11,28425000,11885000,10217000,-1.5946525945470535,1668000
2008-12-31,80314000,-21280000,2009-03-05,0.19,0.23,28425000,19922000,20597000,-0.748636763412489,-675000
2009-03-31,55468000,6052000,2009-05-15,-0.32,-0.04,28425000,-3651000,3234000,0.21291116974494284,-6885000
2009-06-30,62152000,-1242000,2009-08-12,-0.0437,,28425000,5547000,6167000,-0.04369393139841689,-620000
2009-09-30,60399000,-18391000,2009-11-11,-0.13,-0.07,28426000,7938000,4946000,-0.6469781186237951,2992000
2009-12-31,73960000,967000,2010-03-09,0.03,-0.03,28430000,13159000,4681000,0.034013366162504395,8478000
2010-03-31,68626000,-3673000,2010-05-12,-0.14,-0.17,28430000,14293000,3793000,-0.12919451283855082,10500000
2010-06-30,74542000,-9422000,2010-08-04,-0.05,0.02,28431000,9487000,4929000,-0.33139882522598574,4558000
2010-09-30,73126000,-2995000,2010-11-03,-0.11,-0.04,28432000,23459000,3160000,-0.10533905458638154,20299000
2010-12-31,97056000,14274000,2011-03-10,0.5,0.32,28450000,10533000,1917000,0.5017223198594024,8616000
2011-03-31,69945000,-6312000,2011-05-11,-0.22,-0.25,28450000,17706000,4168000,-0.2218629173989455,13538000
2011-06-30,75505000,-2584000,2011-08-09,-0.09,-0.04,28452000,4514000,2784000,-0.09081962603683397,1730000
2011-09-30,74839000,-6259000,2011-11-08,-0.22,-0.1,28799000,12746000,3890000,-0.21733393520608354,8856000
2011-12-31,86202000,3264000,2012-03-08,0.11,0.13,28807000,5374000,2507000,0.11330579373069045,2867000
2012-03-31,83642000,3016000,2012-05-08,0.1,0.01,30639000,26042000,4076000,0.09843663304938151,21966000
2012-06-30,88864000,8818000,2012-08-07,0.29,0.23,30341000,16355000,3122000,0.29062984080946574,13233000
2012-09-30,89952000,9561000,2012-11-06,0.31,0.23,30703000,26332000,3826000,0.311402794515194,22506000
2012-12-31,116174000,161097000,2013-03-07,0.15,0.56,31243000,11159000,6236000,5.156259002016451,4923000
2013-03-31,112205000,705000,2013-05-08,0.02,0.12,31054000,13105000,6786000,0.022702389386230436,6319000
2013-06-30,126211000,6367000,2013-08-07,0.2,0.29,31325000,-1303000,3226000,0.2032561851556265,-4529000
2013-09-30,125792000,3595000,2013-11-05,0.13,0.22,31509000,32144000,4388000,0.11409438573106097,27756000
2013-12-31,138122000,-12452000,2014-02-26,0.7,0.37,30465000,-18389000,2048000,-0.40873133103561465,-20437000
2014-03-31,133833000,7353000,2014-05-08,0.23,0.29,31909000,44731000,3983000,0.23043655395029616,40748000
2014-06-30,146930000,10944000,2014-08-07,0.34,0.32,31932000,28689000,5082000,0.342728297632469,23607000
2014-09-30,157744000,15404000,2014-11-07,0.48,0.49,32067000,47222000,4839000,0.480369226931113,42383000
2014-12-31,192804000,30849000,2015-02-26,0.96,0.82,32102000,45885000,6485000,0.9609681639773223,39400000
2015-03-31,203391000,12907000,2015-05-07,0.4,0.39,32256000,49626000,6401000,0.40014260912698413,43225000
2015-06-30,221322000,20321000,2015-08-06,0.63,0.53,32382000,30967000,6972000,0.6275399913532209,23995000
2015-09-30,224897000,17282000,2015-11-03,0.54,0.59,32151000,60062000,7909000,0.5375260489564866,52153000
2015-12-31,252262000,27174000,2016-02-25,0.86,0.89,31580000,56611000,7739000,0.8604813172894237,48872000
2016-03-31,255658000,21727000,2016-05-03,0.69,0.67,31538000,51655000,7741000,0.688914959731118,43914000
2016-06-30,261994000,24529000,2016-08-09,0.78,0.84,31620000,57730000,7294000,0.7757432005060089,50436000
2016-09-30,275659000,24799000,2016-11-08,0.78,0.85,31698000,67037000,10607000,0.7823521988769008,56430000
2016-12-31,309879000,20482000,2017-02-28,0.64,1.38,31798000,84763000,6228000,0.6441285615447513,78535000
2017-03-31,540317000,6049000,2017-05-09,1.88,-0.17,45419000,-47785000,13914000,0.13318214844008014,-61699000
2017-06-30,626115000,43992000,2017-08-08,0.91,0.82,48195000,158634000,13777000,0.9127917833800187,144857000
2017-09-30,611870000,46475000,2017-11-06,0.98,0.91,47452000,-47685000,21155000,0.9794107729916547,-68840000
2017-12-31,653664000,378481000,2018-02-27,1.46,1.38,47510000,45943000,23615000,7.966343927594191,22328000
2018-03-31,615336000,48122000,2018-05-09,1.01,1.07,47685000,179365000,21092000,1.0091643074342036,158273000
2018-06-30,660323000,87732000,2018-08-08,1.86,1.7,47147000,137709000,15298000,1.8608182917258786,122411000
2018-09-30,693015000,100514000,2018-11-08,2.12,1.98,47338000,170140000,27196000,2.1233258692804933,142944000
2018-12-31,798022000,153109000,2019-02-26,3.22,3.4,47482000,237203000,42660000,3.2245693104755486,194543000
2019-03-31,626647000,54892000,2019-05-08,1.15,1.03,47784000,124589000,28579000,1.148752720575925,96010000
2019-06-30,649012000,68002000,2019-08-07,1.42,1.41,47971000,111811000,42889000,1.417564778720477,68922000
2019-09-30,663575000,-5847000,2019-11-06,-0.85,0.95,46114000,79582000,38757000,-0.12679446588888407,40825000
2019-12-31,1100090000,113212000,2020-02-26,2.36,3.06,45952000,101485000,87286000,2.463701253481894,14199000
2020-03-31,1091822000,156915000,2020-05-06,3.3,2.82,47615000,415118000,60134000,3.2954951170849522,354984000
2020-06-30,914633000,99595000,2020-08-05,1.96,1.52,46849000,302180000,55522000,2.1258724839377576,246658000
2020-09-30,1118203000,190684000,2020-11-05,4.08,3.12,46737000,160190000,54494000,4.07993666688063,105696000
2020-12-31,1376611000,364247000,2021-02-23,7.97,7.11,45700000,376682000,46888000,7.970393873085339,329794000
2021-03-31,1113900000,200900000,2021-05-04,4.42,3.49,45400000,448300000,32100000,4.42511013215859,416200000
2021-06-30,1131600000,200100000,2021-08-04,4.33,3.7,44400000,147300000,34800000,4.506756756756757,112500000
2021-09-30,1157000000,169600000,2021-11-02,4.05,3.82,43476000,286000000,38100000,3.9010028521483116,247900000
2021-12-31,1245838000,263993000,2022-02-22,6.19,4.96,42676000,333189000,45784000,6.185982753772612,287405000
2022-03-31,1210000000,252000000,2022-05-10,5.99,4.89,42000000,519000000,29000000,6.0,490000000
2022-06-30,1245000000,227000000,2022-08-04,5.56,5.06,40900000,290000000,34000000,5.550122249388753,256000000
2022-09-30,1269000000,289000000,2022-11-08,7.3,5.41,39560000,376000000,37000000,7.305358948432761,339000000
2022-12-31,1486700000,203300000,2023-02-28,5.3,8.26,38320000,218000000,57300000,5.305323590814196,160700000
2023-03-31,1257000000,111000000,2023-05-09,2.97,2.67,37448000,494000000,36000000,2.9641102328562274,458000000
2023-06-30,1240000000,96000000,2023-08-08,2.64,2.35,36314000,185000000,41000000,2.6436085256374953,144000000
2023-09-30,1132000000,25000000,2023-11-08,0.7,1.23,35367000,138000000,36000000,0.7068736392682444,102000000
2023-12-31,1304000000,114000000,2024-02-28,3.32,4.15,34244000,182000000,36000000,3.3290503445859128,146000000
2024-03-31,1284000000,175000000,2024-05-09,5.16,3.97,34024000,276000000,44000000,5.143428168351751,232000000
2024-06-30,1269000000,118000000,2024-08-08,3.54,4.17,33287000,176000000,37000000,3.5449274491543243,139000000
2024-09-30,1366000000,187000000,2024-11-07,5.27,5.41,32441000,387000000,29000000,5.764310594617922,358000000
2024-12-31,1487000000,242000000,2025-02-26,5.6321,8.02,31449000,411000000,35000000,7.694998251136761,376000000
2025-03-31,1234000000,108000000,2025-05-07,3.3103,3.0,30927000,337000000,35000000,3.4920942865457367,302000000
2025-06-30,1229000000,97000000,2025-08-07,3.06,2.81,30719000,247000000,29000000,3.1576548715778507,218000000
2025-09-30,1198000000,70000000,2025-11-06,1.0468,2.54,30696000,117000000,30000000,2.2804274172530623,87000000
