fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2021-03-31,22774000,-2176000,2021-05-27,0.1,,32523561,3745000,2254000,-0.06690534286820561,1491000
2021-06-30,31001000,-5860000,2021-08-23,-0.19,0.19,30520833,-2909000,1366000,-0.19200000209692836,-4275000
2021-09-30,30926000,-6735000,2021-11-18,-0.21,-0.21,32615012,-565000,2100000,-0.206500000674536,-2665000
2021-12-31,34433000,-9992000,2022-03-09,-0.43,-0.15,32709030,-13077000,2976000,-0.3054813915301065,-16053000
2022-03-31,34132000,-9780000,2022-05-19,0.0,-0.3,32709030,-2946000,3051000,-0.29900000091717793,-5997000
2022-06-30,41211000,-10349000,2022-08-17,-0.31,-0.32,32853968,-15241000,3679000,-0.3150000024350179,-18920000
2022-09-30,47249000,-9867000,2022-11-16,-0.3,-0.02,32846205,-6186000,3761000,-0.30040000054800853,-9947000
2022-12-31,50922000,-7513000,2023-03-01,-0.23,-0.29,32846205,-3174000,4733000,-0.22873266485428073,-7907000
2023-03-31,52410000,-5527000,2023-05-10,-0.17,-0.17,32931990,885000,3631000,-0.1678307323669174,-2746000
2023-06-30,56159000,-3973000,2023-08-09,-0.12,-0.12,32931990,-1663000,4627000,-0.1206425727689095,-6290000
2023-09-30,60327000,-3094000,2023-11-07,-0.093,-0.09,32931990,4994000,4333000,-0.09395120064107879,661000
2023-12-31,70101409,-3466385,2024-02-28,-0.0988,-0.0633,32931990,4582000,6122000,-0.1052588987182372,-1540000
2024-03-31,63962000,-4956000,2024-05-15,-0.15,-0.04,33714285,140000,4531000,-0.14700000311440684,-4391000
2024-06-30,78087000,-3013000,2024-08-07,-0.08,-0.01,36224000,9190000,6266000,-0.08317689929328621,2924000
2024-09-30,83005000,692000,2024-11-12,0.02,0.02,36421053,16564000,6446000,0.01899999980780347,10118000
2024-12-31,88959000,1646000,2025-03-04,-0.16,0.03,36607407,17008000,7731000,0.04496357799939231,9277000
2025-03-31,81110000,7156000,2025-05-13,0.19,0.02,36697436,1289000,7022000,0.1949999994550028,-5733000
2025-06-30,95589000,11652000,2025-08-13,0.31,0.14,37786355,12946000,7372000,0.3083652815943745,5574000
2025-09-30,105798493,3588504,2025-11-19,0.09,0.22,38451507,17612132,2151190,0.0933254449559025,15460942
