fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,20201000,1161000,2005-11-21,-0.26,-0.2,16959047,9144000,526000,0.06845903546349037,8618000
2005-12-31,18275000,206000,2006-02-15,-0.16,-0.23,12850000,-3100000,1646000,0.016031128404669262,-4746000
2006-03-31,31848000,-11746000,2006-04-25,-0.1,-0.05,22545167,-5117000,2807000,-0.5209985803165708,-7924000
2006-06-30,56692000,7991000,2006-07-27,-0.16,0.02,28943447,-5811000,1884000,0.27609012844945524,-7695000
2006-09-30,58166000,8071000,2006-11-02,-0.25,-0.21,29119000,19532000,2094000,0.2771729798413407,17438000
2006-12-31,54462000,8390000,2007-02-15,-0.54,-0.2,17620000,12041000,109000,0.47616345062429055,11932000
2007-03-31,48356000,5564000,2007-04-25,-0.26,-0.15,29224000,886000,875000,0.1903914590747331,11000
2007-06-30,47730000,5451000,2007-08-01,-0.01,-0.11,29312000,8451000,197000,0.1859647925764192,8254000
2007-09-30,31461000,1388000,2007-10-30,0.11,0.08,29250000,5086000,249000,0.04745299145299145,4837000
2007-12-31,32582000,-544000,2008-02-20,-0.07,0.06,29281000,9159000,398000,-0.018578600457634643,8761000
2008-03-31,37210000,-1646000,2008-04-29,0.01,-0.02,30533000,-5433000,1403000,-0.05390888546818197,-6836000
2008-06-30,38416000,-1985000,2008-07-31,-0.31,-0.07,30669000,7402000,946000,-0.06472333626789266,6456000
2008-09-30,38986000,-448000,2008-10-30,-0.24,-0.18,30781000,9290000,109000,-0.014554432929404502,9181000
2008-12-31,16428000,-245607000,2009-02-19,-0.14,-0.27,30696000,4130000,538000,-8.001270523846756,3592000
2009-03-31,11061000,-10054000,2009-04-30,-0.54,-0.36,30778000,-4048000,184000,-0.32666190135811296,-4232000
2009-06-30,15341000,-8625000,2009-07-30,-0.25,-0.26,30957000,-1376000,115000,-0.2786122686306813,-1491000
2009-09-30,23330000,-4835000,2009-10-29,0.08,-0.06,31109000,-6711000,44000,-0.15542126072840656,-6755000
2009-12-31,28925000,-6114000,2010-02-18,-0.01,0.03,30998500,76000,244000,-0.19723535009758536,-168000
2010-03-31,40622000,2045000,2010-05-06,0.28,0.11,25290717,6813000,677000,0.0808597083269723,6136000
2010-06-30,48349000,6513000,2010-08-05,0.51,0.27,25359284,4776000,293000,0.2568290177277876,4483000
2010-09-30,52323000,8903000,2010-11-02,0.53,0.55,25437531,6046000,2272000,0.3499946594659678,3774000
2010-12-31,54011000,9554000,2011-02-10,0.34,0.47,23320000,-1313000,1121000,0.4096912521440823,-2434000
2011-03-31,50599000,6739000,2011-04-28,0.45,0.41,25870713,10501000,649000,0.26048760233241347,9852000
2011-06-30,51543000,6957000,2011-07-28,0.47,0.46,25844093,12188000,510000,0.26919110684209346,11678000
2011-09-30,41434000,5300000,2011-10-27,0.32,0.31,26062701,12823000,207000,0.20335574582235355,12616000
2011-12-31,43620000,6230000,2012-02-08,0.06,,26182894,9932000,256000,0.23794161180196505,9676000
2012-03-31,45709000,1862000,2012-04-26,0.12,0.13,32713000,6864000,505000,0.056919267569467795,6359000
2012-06-30,56326000,6346000,2012-07-26,0.13,0.06,32727000,2820000,404000,0.19390717144865097,2416000
2012-09-30,62152000,6661000,2012-10-30,0.1,-0.02,32862000,6076000,374000,0.2026961231817905,5702000
2012-12-31,54299000,28996000,2013-02-04,-0.13,-0.15,33045000,6307000,1146000,0.8774701165077924,5161000
2013-03-31,41650000,393000,2013-04-30,-0.22,-0.27,33239000,-307000,2528000,0.01182346039291194,-2835000
2013-06-30,46059000,759000,2013-07-30,-0.17,-0.2,33155000,-5781000,43000,0.02289247473985824,-5824000
2013-09-30,44044000,252000,2013-10-29,-0.06,-0.08,33426000,2116000,1517000,0.007539041464728056,599000
2013-12-31,44485000,2054000,2014-02-04,0.04,-0.01,33539000,10056000,878000,0.06124213602075196,9178000
2014-03-31,41649000,-724000,2014-04-29,0.09,0.08,33092000,15606000,390000,-0.021878399613199564,15216000
2014-06-30,43018000,-4412000,2014-07-30,0.05,0.05,33240000,-4860000,630000,-0.13273164861612516,-5490000
2014-09-30,46960000,-998000,2014-10-28,-0.24,-0.24,33237000,-12732000,422000,-0.03002677738664741,-13154000
2014-12-31,49591000,1494000,2015-02-02,-0.12,-0.15,33504000,6276000,642000,0.04459169054441261,5634000
