fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2020-09-30,54043000,-8622000,2020-12-07,0.0,0.0,34375000,6310000,286000,-0.2508218181818182,6024000
2020-12-31,106006000,-49706000,2021-02-24,-0.01,,34375000,22787000,324000,-1.4459927272727273,22463000
2021-03-31,108224000,-49706000,2021-05-17,0.03,,27500000,587000,295000,-1.807490909090909,292000
2021-06-30,179260000,-362344000,2021-08-10,0.09,0.06,313023085,17733000,238000,-1.157563187392393,17495000
2021-09-30,247875000,-53323000,2021-11-09,0.11,0.08,338472456,109050000,1510000,-0.15754014560050345,107540000
2021-12-31,288519000,82000,2022-02-17,0.12,0.11,354302116,154288000,3218000,0.0002314408983095094,151070000
2022-03-31,275977000,-11815000,2022-05-05,0.11,0.11,417108929,93204000,18379000,-0.028325934015188632,74825000
2022-06-30,327246000,-1126000,2022-08-04,0.13,0.11,351960000,152290000,9460000,-0.0031992271849073757,142830000
2022-09-30,370986000,2060000,2022-11-04,0.14,0.13,352953017,206899000,13796000,0.005836470863769384,193103000
2022-12-31,395513000,1592000,2023-02-13,0.15,0.15,464843936,276054000,23904000,0.0034248053523064565,252150000
2023-03-31,390986000,8317000,2023-05-04,0.15,0.15,456189118,121009000,5672000,0.01823147390376813,115337000
2023-06-30,416937000,12859000,2023-08-01,0.16,0.16,357741631,238085000,10181000,0.03594493591381876,227904000
2023-09-30,429650000,15109000,2023-11-02,0.16,0.16,466376329,281702000,18519000,0.03239658417569473,263183000
2023-12-31,494035000,18058000,2024-02-09,0.18,0.17,488297785,308349000,33533000,0.03698153166924564,274816000
2024-03-31,513340000,25091000,2024-05-02,0.17,0.16,498738547,47247000,6141000,0.05030892468794877,41106000
2024-06-30,549848000,33945000,2024-08-01,0.21,0.19,539392803,302294000,32891000,0.06293187415776476,269403000
2024-09-30,600878000,29805000,2024-10-31,0.04,0.19,548909478,325995000,11237000,0.05429857051949101,314758000
2024-12-31,631361000,20743000,2025-02-05,0.21,0.21,558426153,324019000,13918000,0.03714546657344682,310101000
2025-03-31,683486000,7430000,2025-05-01,0.17,0.18,638492523,17586000,13340000,0.011636784664430596,4246000
2025-06-30,703106000,17426000,2025-07-31,0.02,0.2,656056036,422507000,10045000,0.026561755465656596,412462000
2025-09-30,727990000,6310000,2025-10-30,0.22,0.22,673928845,433089000,10632000,0.009363006268117223,422457000
