fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2020-06-30,78389000,-6660000,2020-08-07,0.0,0.0,338351980,2370000,4318000,-0.019683644233439983,-1948000
2020-09-30,90537000,1608000,2020-11-13,0.0,0.0,338351980,7588000,2623000,0.004752447436542266,4965000
2020-12-31,94707000,-11215000,2021-03-19,-0.01,,338351980,-9347000,3508000,-0.03314595646817258,-12855000
2021-03-31,100606000,-3508000,2021-05-12,-0.01,-0.03,338351980,-16468000,4148000,-0.010367901497133252,-20616000
2021-06-30,110927000,-12414000,2021-08-11,-0.54,-0.03,356373683,33164000,4542000,-0.034834222032046065,28622000
2021-09-30,122651000,837000,2021-11-10,0.0022,-0.04,374395385,-5908000,4870000,0.0022356044800071456,-10778000
2021-12-31,139219000,-18902000,2022-03-03,-0.06,-0.02,340580941,9227000,7409000,-0.05549928878727245,1818000
2022-03-31,136958000,20211000,2022-05-12,0.06,-0.05,365992174,2372000,6502000,0.05522249227110523,-4130000
2022-06-30,148190000,4422000,2022-08-11,0.01,-0.06,366013696,26502000,6363000,0.012081515113576516,20139000
2022-09-30,158917000,-26452000,2022-11-09,-0.08,-0.02,349740787,15452000,4476000,-0.07563315742181366,10976000
2022-12-31,183558000,-10151000,2023-02-28,-0.03,-0.05,352756697,39634000,3372000,-0.028776207755454745,36262000
2023-03-31,192014000,7938000,2023-05-09,0.02,0.03,388308279,3902000,9352000,0.0204425206190363,-5450000
2023-06-30,206734000,45549000,2023-08-08,0.12,0.04,387623679,56017000,5991000,0.1175083011376093,50026000
2023-09-30,208035000,12825000,2023-11-08,0.03,0.05,381845099,41409000,14315000,0.033586917924537774,27094000
2023-12-31,224320000,27021000,2024-02-28,0.07,0.06,379881231,58161000,18134000,0.07113012645786651,40027000
2024-03-31,228183000,28974000,2024-05-08,0.08,0.05,378715301,39510000,15671000,0.07650601896330562,23839000
2024-06-30,239520000,32424999,2024-08-07,0.09,0.05,373368383,41404000,14476000,0.08684452266543416,26928000
2024-09-30,248274000,41574000,2024-11-05,0.11,0.05,374303000,50125000,13968000,0.11107044292992575,36157000
2024-12-31,261738999,18190000,2025-02-26,0.0505,0.0762,386237179,45886000,16277000,0.04709541439561933,29609000
2025-03-31,246617000,20577000,2025-05-06,0.0959,0.0946,382215129,53716000,20793000,0.05383617350217448,32923000
2025-06-30,260613999,19480000,2025-08-06,0.05,0.07,380632789,70685000,2578000,0.051177934647138344,68107000
2025-09-30,270850000,14123000,2025-11-05,0.04,0.06,377633523,54176000,18874000,0.03739869248843144,35302000
