fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-11-30,399815000,112612000,2005-12-21,0.3,0.29,381256000,73113000,17968000,0.2953710892418742,55145000
2006-02-28,430586000,114534000,2006-03-28,0.3,0.31,381751000,223093000,17766000,0.30002278972419194,205327000
2006-05-31,440480000,122740000,2006-06-28,0.32,0.32,380360000,111355000,24825000,0.3226942896203597,86530000
2006-08-31,459374000,135081000,2006-09-26,0.35,0.34,381876000,199915000,18815000,0.3537300065990007,181100000
2006-11-30,454955000,132666000,2006-12-20,0.35,0.34,382433000,78908000,21069000,0.34689997986575427,57839000
2007-02-28,485287000,126600000,2007-03-28,0.35,0.35,383335000,253423000,21572000,0.3302594336546363,231851000
2007-05-31,487348000,121100000,2007-06-27,0.36,0.36,380539000,98981000,17564000,0.31823282239139744,81417000
2007-08-31,507130000,151075000,2007-09-26,0.4,0.39,382255000,253213000,20775000,0.3952204680121908,232438000
2007-11-30,507793000,147112000,2007-12-19,0.4,0.39,371404000,105031000,18923000,0.39609697256895454,86108000
2008-02-29,532172000,142474000,2008-03-26,0.39,0.39,361770000,232131000,24923000,0.39382480581584983,207208000
2008-05-31,519228000,135484000,2008-06-26,0.38,0.38,360629000,134294000,17668000,0.37568803396288153,116626000
2008-08-31,534085000,148709000,2008-09-24,0.41,0.41,361040000,214551000,16207000,0.41189064923554175,198344000
2008-11-30,524160000,140242000,2008-12-17,0.39,0.4,360977000,113834000,23000000,0.3885067469672583,90834000
2009-02-28,528581000,130790000,2009-03-25,0.36,0.36,360913000,234938000,14081000,0.3623865031184801,220857000
2009-05-31,420479000,113804000,2009-06-24,0.32,0.33,361208000,125448000,11421000,0.3150650040973622,114027000
2009-08-31,486491000,123620000,2009-09-23,0.34,0.34,361400000,186618000,14257000,0.34205866076369673,172361000
2009-11-30,483024000,125850000,2009-12-16,0.35,0.33,361700000,92553000,8834000,0.34794028200165883,83719000
2010-02-28,493790000,112007000,2010-03-24,0.34,0.33,361900000,223845000,18353000,0.3094970986460348,205492000
2010-05-31,482484000,115522000,2010-06-23,0.32,0.31,361600000,107907000,31730000,0.3194745575221239,76177000
2010-08-31,518300000,131900000,2010-09-27,0.36,0.34,362000000,194300000,16600000,0.3643646408839779,177700000
2010-11-30,512000000,133900000,2010-12-20,0.37,0.35,362100000,124900000,27500000,0.3697873515603424,97400000
2011-02-28,519600000,130600000,2011-03-23,0.36,0.35,362600000,233700000,34900000,0.3601765030336459,198800000
2011-05-31,522700000,118900000,2011-06-22,0.33,0.33,363000000,162400000,21500000,0.3275482093663912,140900000
2011-08-31,552000000,148900000,2011-09-27,0.41,0.38,362800000,187200000,20200000,0.4104189636163175,167000000
2011-11-30,535000000,140400000,2011-12-20,0.39,0.38,362800000,110000000,23900000,0.3869900771775083,86100000
2012-02-29,558500000,135400000,2012-03-28,0.37,0.37,363100000,265400000,18400000,0.3729000275406224,247000000
2012-05-31,551500000,123300000,2012-06-27,0.34,0.34,363400000,144000000,27100000,0.33929554210236657,116900000
2012-08-31,578200000,153100000,2012-09-24,0.42,0.41,363800000,217700000,22000000,0.42083562396921387,195700000
2012-11-30,559400000,147900000,2012-12-19,0.41,0.41,364400000,108300000,32500000,0.4058726673984632,75800000
2013-02-28,593300000,144500000,2013-03-27,0.4,0.39,364600000,280400000,19700000,0.39632473944048274,260700000
2013-05-31,585300000,123500000,2013-06-26,0.34,0.37,365900000,68900000,24500000,0.3375239136376059,44400000
2013-08-31,607900000,162800000,2013-09-30,0.44,0.43,366700000,266700000,25100000,0.4439596400327243,241600000
2013-11-30,610500000,158700000,2013-12-18,0.43,0.42,366400000,133500000,21800000,0.43313318777292575,111700000
2014-02-28,636500000,160100000,2014-03-26,0.44,0.42,365800000,305600000,15900000,0.43767085839256425,289700000
2014-05-31,639000000,145900000,2014-07-01,0.4,0.39,365300000,175100000,21300000,0.3993977552696414,153800000
2014-08-31,666800000,171300000,2014-09-24,0.47,0.46,364700000,263100000,24900000,0.4697011242116808,238200000
2014-11-30,676300000,173000000,2014-12-19,0.47,0.46,364600000,141600000,20700000,0.47449259462424576,120900000
2015-02-28,704300000,169400000,2015-03-25,0.46,0.46,365000000,288100000,26400000,0.4641095890410959,261700000
2015-05-31,692200000,161200000,2015-07-01,0.44,0.44,364500000,202400000,30800000,0.4422496570644719,171600000
2015-08-31,723000000,209100000,2015-09-30,0.52,0.51,362800000,278300000,21200000,0.5763506063947078,257100000
2015-11-30,722400000,189200000,2015-12-22,0.52,0.51,362300000,141600000,27300000,0.5222191553960805,114300000
2016-02-29,752600000,180400000,2016-03-30,0.5,0.5,362200000,371300000,21500000,0.4980673660960795,349800000
2016-05-31,753900000,178100000,2016-06-30,0.49,0.49,362600000,227000000,27700000,0.49117484831770547,199300000
2016-08-31,785500000,217400000,2016-09-28,0.57,0.57,364100000,294700000,20300000,0.5970887118923373,274400000
2016-11-30,771400000,202100000,2016-12-21,0.56,0.56,362600000,118700000,26500000,0.5573634859349145,92200000
2017-02-28,795800000,202500000,2017-03-29,0.55,0.54,361800000,355900000,20000000,0.5597014925373134,335900000
2017-05-31,798600000,195300000,2017-06-28,0.54,0.53,362100000,191100000,27500000,0.5393537696768849,163600000
2017-08-31,816800000,227800000,2017-10-03,0.62,0.6,361300000,343600000,18000000,0.630500968724052,325600000
2017-11-30,826500000,217000000,2017-12-21,0.59,0.59,361400000,175800000,77500000,0.600442722744881,98300000
2018-02-28,866500000,260400000,2018-03-26,0.63,0.63,362000000,469500000,26500000,0.7193370165745856,443000000
2018-05-31,871100000,228500000,2018-06-27,0.61,0.62,361500000,287500000,32000000,0.632088520055325,255500000
2018-08-31,862800000,243600000,2018-10-02,0.67,0.66,361500000,273700000,24400000,0.6738589211618258,249300000
2018-11-30,858900000,235800000,2018-12-19,0.65,0.63,361500000,223500000,36400000,0.6522821576763486,187100000
2019-02-28,1070400000,324600000,2019-03-27,0.89,0.88,361600000,525600000,27200000,0.8976769911504425,498400000
