fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2015-09-30,147322000,41890000,2015-11-12,-0.72,0.2,17073783.5,60040000,4354000,2.453469086099165,55686000
2015-12-31,103822000,-11184000,2016-02-11,-0.33,0.2,17073783.5,-25251000,31565000,-0.6550393473127969,-56816000
2016-03-31,115304000,255000,2016-05-09,-0.72,,17161731.5,10844000,6432000,0.014858640574816125,4412000
2016-06-30,89284000,-323000,2016-07-29,-0.72,,17162890.5,19564000,2284000,-0.018819673760664034,17280000
2016-09-30,121346000,-9711000,2016-11-01,0.34,,18319785.0,66581000,4035000,-0.5300826401619888,62546000
2016-12-31,173496000,6745000,2017-02-09,0.7,0.48,18324043.0,19862000,337000,0.36809562169222154,19525000
2017-03-31,120969000,1333000,2017-05-02,0.38,0.3,18479025.0,-35714000,346000,0.07213584050024284,-36060000
2017-06-30,109310000,215000,2017-08-02,0.27,0.34,18825696.0,31209000,181000,0.011420560493487199,31028000
2017-09-30,78450000,3343000,2017-10-31,0.1,0.16,22918655.0,75645000,317000,0.14586370797064663,75328000
2017-12-31,190553000,-37445000,2018-02-07,0.79,0.66,18899800.0,40075000,218000,-1.9812378966973196,39857000
2018-03-31,134042000,5236000,2018-05-02,0.44,0.59,23887322.0,-52964000,3139000,0.2191957725524862,-56103000
2018-06-30,130670000,6945000,2018-07-31,0.42,0.35,24185020.0,73118000,2821000,0.28716122624666013,70297000
2018-09-30,140143000,7550000,2018-10-30,0.44,0.37,24112349.0,98117000,504000,0.3131175647797732,97613000
2018-12-31,175393000,7439000,2019-02-07,0.6,0.78,39490689.0,4669000,742000,0.18837351761576002,3927000
2019-03-31,128056000,1101000,2019-05-01,0.28,0.4,40019889.0,-39918000,1561000,0.02751132068357311,-41479000
2019-06-30,166704000,4826000,2019-07-30,0.51,0.33,32517229.0,63134000,2916000,0.14841363020200768,60218000
2019-09-30,174227000,6825000,2019-10-29,0.6,0.54,32517229.0,63786000,1882000,0.20988873313897688,61904000
2019-12-31,248652000,16810000,2020-02-06,1.02,0.91,32517229.0,124403000,2452000,0.5169567185444983,121951000
2020-03-31,200171000,18860000,2020-04-28,0.71,0.45,40353624.0,-25059000,5364000,0.467368184825234,-30423000
2020-06-30,232563000,21670000,2020-07-28,1.0,0.68,25462235.0,147250000,1654000,0.8510643311555329,145596000
2020-09-30,297563000,30907000,2020-10-27,1.36,0.78,26242631.0,177865000,1664000,1.177740143509239,176201000
2020-12-31,322003000,46112000,2021-02-02,1.81,1.13,24601311.0,169530000,172000,1.874371654421181,169358000
2021-03-31,206700000,26682000,2021-04-27,0.89,0.73,42858757.0,-149760000,43000,0.6225565524450464,-149803000
2021-06-30,240681000,23145000,2021-07-29,1.06,0.97,42096035.0,102139000,1809000,0.5498142521023655,100330000
2021-09-30,231298000,21445000,2021-10-26,0.98,1.27,42010543.0,181229000,2900000,0.510467098699486,178329000
2021-12-31,313266000,34896000,2022-02-01,1.52,1.73,42117482.0,-9484000,1720000,0.8285395598910685,-11204000
2022-03-31,246319000,25704000,2022-04-26,1.0,0.75,26551835.0,-42239000,806000,0.9680686852716582,-43045000
2022-06-30,233141000,19168000,2022-07-26,0.88,0.83,26421087.0,159715000,946000,0.7254811280096084,158769000
2022-09-30,266092000,21088000,2022-10-25,0.96,0.96,26519173.0,160708000,756000,0.7951982514688524,159952000
2022-12-31,279953000,24574000,2023-02-07,1.08,1.23,26974129.0,-35453000,926000,0.9110210750456483,-36379000
2023-03-31,199988000,17336000,2023-05-02,0.54,0.65,26918511.0,-22989000,2146000,0.6440177913258278,-25135000
2023-06-30,346277000,22141000,2023-07-25,0.99,0.61,26333261.0,190604000,728000,0.8407997778930608,189876000
2023-09-30,278363000,17410000,2023-10-31,0.78,0.5,26644324.0,150145000,549000,0.6534224700165033,149596000
2023-12-31,328554000,24912000,2024-02-06,0.96,0.88,25362576.0,123774000,504000,0.9822346121308814,123270000
2024-03-31,329393000,32623000,2024-05-02,0.98,0.45,28168504.0,-38779000,439000,1.1581374715533348,-39218000
2024-06-30,360181000,28316000,2024-07-30,1.19,0.7,43091718.0,193554000,516000,0.6571100274999478,193038000
2024-09-30,326322000,22150000,2024-10-29,0.93,0.91,44642704.0,180459000,1918000,0.49616170203310267,178541000
2024-12-31,477281000,51304000,2025-02-04,1.9,1.13,44948361.0,195716000,425000,1.1413986819230182,195291000
2025-03-31,324531000,54016000,2025-04-29,1.05,1.01,44461727.0,-75939000,1982000,1.2148875818521399,-77921000
2025-06-30,406884000,32900000,2025-07-29,1.54,1.43,43440009.0,190427000,11518000,0.7573663255916913,178909000
2025-09-30,447093000,39839000,2025-11-04,1.85,1.4,43440009.0,256103000,15207000,0.9171038615576714,240896000
