fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2020-06-30,251889000,-110455000,2020-09-30,0.01,0.0,905462005,60854000,2929000,-0.12198744882729784,57925000
2020-09-30,289366000,-853319000,2020-11-12,0.06,0.03,905462010,-51990000,1530000,-0.9424128131007948,-53520000
2020-12-31,322091000,-148343000,2021-02-16,0.06,0.02,1763513922,-18288000,4761000,-0.08411785024739941,-23049000
2021-03-31,341234000,-123474000,2021-05-11,0.04,0.04,1821158000,116881000,708000,-0.06779971864055727,116173000
2021-06-30,375642000,-138580000,2021-08-12,0.04,0.03,1894606000,22750000,697000,-0.07314449547821553,22053000
2021-09-30,392146000,-102137000,2021-11-09,0.04,0.04,1964395000,100793000,5378000,-0.05199412541774948,95415000
2021-12-31,432867000,-156188000,2022-02-17,0.02,0.04,2011764000,93427000,5844000,-0.0776373371826914,87583000
2022-03-31,446357000,-101379000,2022-05-09,0.02,0.04,2036307000,35477000,15215000,-0.049785715022341914,20262000
2022-06-30,473010000,-179329000,2022-08-08,-0.01,0.03,2054799000,62431000,5458000,-0.08727325641096768,56973000
2022-09-30,477880000,-123875000,2022-11-07,0.01,0.02,2073265000,47066000,14436000,-0.059748753777254714,32630000
2022-12-31,508624000,30878000,2023-02-13,0.04,0.03,2203733000,78763000,4918000,0.014011679273305796,73845000
2023-03-31,525186000,16802000,2023-05-08,0.05,0.04,2217439000,187376000,4755000,0.007577209564727598,182621000
2023-06-30,533317000,28127000,2023-08-07,0.05,0.05,2278155000,90192000,3934000,0.01234639434103474,86258000
2023-09-30,558159000,71505000,2023-11-02,0.07,0.06,2325600000,133443000,1565000,0.0307469040247678,131878000
2023-12-31,608350000,93391000,2024-02-05,0.08,0.08,2357742000,301172000,4860000,0.03961035601011476,296312000
2024-03-31,634338000,105530000,2024-05-06,0.08,0.08,2400107000,129579000,2664000,0.043968873054409656,126915000
2024-06-30,678134000,134126000,2024-08-05,0.09,0.08,2414696000,144187000,2879000,0.055545708445286696,141308000
2024-09-30,725516000,143525000,2024-11-04,0.06,0.04,2459589000,419772000,3985000,0.05835324519665684,415787000
2024-12-31,827519000,79009000,2025-02-03,0.14,0.1132,2528279000,460327000,3106000,0.031250111241678626,457221000
2025-03-31,883855000,214031000,2025-05-05,0.13,0.13,2552818000,310263000,6184000,0.08384107288494519,304079000
2025-06-30,1003697000,326727000,2025-08-04,0.16,0.14,2562912000,538251000,7634000,0.1274827227778402,530617000
2025-09-30,1181092000,475599000,2025-11-03,0.21,0.17,2562367000,508664000,6792000,0.1856092433285318,501872000
