fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,1482668000,74729000,2005-11-07,1.12,1.08,66555733,130168000,52154000,1.1228033503890642,78014000
2005-12-31,1343812000,25678000,2006-01-23,0.39,0.39,66555733,56066000,43866000,0.3858119930855543,12200000
2006-03-31,1265709000,-31954000,2006-05-02,-0.48,-0.32,66555733,-54103000,30653000,-0.4801089036161618,-84756000
2006-06-30,1287646000,-20473000,2006-08-01,-0.31,-0.21,66555733,8558000,26795000,-0.307606859351996,-18237000
2006-09-30,1338398000,-7483000,2006-11-14,0.28,0.14,66555733,19861000,42568000,-0.11243208755585338,-22707000
2006-12-31,1337132000,-8736000,2007-01-30,-0.13,-0.07,66555733,19185000,39350000,-0.13125841465828345,-20165000
2007-03-31,1987185000,-40077000,2007-05-01,-0.46,-0.13,66555733,-74923000,55099000,-0.6021569922458821,-130022000
2007-06-30,2104499000,62641000,2007-07-31,0.94,0.63,66555733,108640000,41711000,0.9411811301064027,66929000
2007-09-30,2149116000,33188000,2007-11-13,0.61,1.13,66555733,411062000,36163000,0.4986497556867115,374899000
2007-12-31,2093211000,-32329000,2008-01-29,-0.29,0.33,66555733,-35199000,42684000,-0.4857432792453807,-77883000
2008-03-31,2100794000,-111448000,2008-05-05,-1.5,-0.81,66555733,-210535000,27532000,-1.6745063870005008,-238067000
2008-06-30,2207476000,-52781000,2008-07-29,-0.66,-1.19,70182107,-106035000,27425000,-0.7520577858969096,-133460000
2008-09-30,1876991000,-229356000,2008-12-11,-10.79,-2.4,74055733,-112371000,29028000,-3.097072849174283,-141399000
2008-12-31,1876991000,-228780000,2009-02-05,-2.99,-0.86,74056000,-112371000,29028000,-3.0892837852435995,-141399000
2009-03-31,1698102000,-58765000,2009-05-07,-0.46,-0.94,74055733,-50629000,19331000,-0.7935239801083327,-69960000
2009-06-30,1776813000,53239000,2009-08-03,0.73,-0.32,74055733,109991000,17246000,0.7189045039902583,92745000
2009-09-30,1736149000,82724000,2009-11-23,1.07,0.49,74055733,128015000,22588000,1.1170505867520075,105427000
2010-03-31,1642918000,-45547000,2010-05-06,-0.21,0.32,216890476,-4755000,30890000,-0.21000000018442488,-35645000
2010-06-30,1707568000,32918000,2010-07-30,0.15,0.18,214282000,-10187000,36553000,0.15361999607993204,-46740000
2010-09-30,1719850000,57926000,2010-10-29,0.27,0.18,214282000,37250000,41594000,0.27032601898432906,-4344000
2010-12-31,1811293000,41844000,2011-02-11,0.17,0.05,214282000,-7703000,70295000,0.19527538477333606,-77998000
2011-03-31,1892476000,-120760000,2011-04-29,-0.56,-0.22,214282000,-102403000,63960000,-0.5635564349782063,-166363000
2011-06-30,1922690000,-128141000,2011-07-29,-0.6,-0.23,224996000,-37769000,39192000,-0.5695256804565414,-76961000
