fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2010-03-31,606942000,143286000,2010-05-06,1.9105,,72712625,113487000,1122000,1.970579387004664,112365000
2010-06-30,234299000,22008000,2010-08-03,0.49,0.37,72734000,-77017000,2869000,0.3025820111639673,-79886000
2010-09-30,241236000,39595000,2010-11-02,0.54,0.49,72919000,-37722000,2586000,0.5429997668646032,-40308000
2010-12-31,279387000,52889000,2011-02-08,0.59,0.53,72671000,42309000,3287000,0.7277868750946045,39022000
2011-03-31,276352000,47271000,2011-05-03,0.63,0.57,73826000,3246000,580000,0.6403028743261182,2666000
2011-06-30,275095000,37620000,2011-08-02,0.59,0.57,74201000,-13496000,682000,0.5070012533523807,-14178000
2011-09-30,275791000,35098000,2011-11-01,0.56,0.57,74199000,17680000,372000,0.47302524292780224,17308000
2011-12-31,275855000,41185000,2012-02-07,0.56,0.61,65133035,80472000,2279000,0.6323212176432436,78193000
2012-03-31,286601000,40399000,2012-05-01,0.62,0.63,66274722,-16124000,322000,0.6095687583570701,-16446000
2012-06-30,300525000,45069000,2012-08-07,0.71,0.65,62686580,28933000,0,0.718957709927707,28933000
2012-09-30,299088000,45599000,2012-11-07,0.72,0.68,61563000,94584000,4622000,0.7406884005003005,89962000
2012-12-31,304501000,40271000,2013-02-07,0.69,0.7,58935000,12585000,6327000,0.6833121235259184,6258000
2013-03-31,308446000,37828000,2013-05-07,0.66,0.69,58407393,64372000,8688000,0.6476577374374508,55684000
2013-06-30,312307000,42938000,2013-08-06,0.71,0.72,57848949,-11868000,7228000,0.7422433897632263,-19096000
2013-09-30,319458000,42633000,2013-11-06,0.78,0.76,54958461,38053000,2557000,0.7757313291578525,35496000
2013-12-31,327241000,36702000,2014-02-10,0.84,0.79,55095627,97342000,5345000,0.666150872554731,91997000
2014-03-31,324328000,45080000,2014-05-05,0.77,0.82,55233210,37740000,1491000,0.8161756305671896,36249000
2014-06-30,331130000,49271000,2014-08-06,0.88,0.83,54949607,32714000,2686000,0.8966579142231171,30028000
2014-09-30,339187000,41595000,2014-11-04,0.76,0.81,54743857,62342000,1852000,0.7598112789166463,60490000
2014-12-31,345384000,45465000,2015-02-09,0.91,0.85,53470453,104848000,1455000,0.8502826785477205,103393000
2015-03-31,344846000,43401000,2015-05-06,0.8,0.81,52691000,66402000,1635000,0.8236890550568409,64767000
2015-06-30,350517000,49173000,2015-08-05,0.93,0.94,51811971,18904000,3321000,0.9490663846777804,15583000
2015-09-30,355709000,49350000,2015-11-04,0.98,0.94,50103522,55686000,968000,0.9849606979724899,54718000
2015-12-31,354128000,47947000,2016-02-10,1.01,0.98,49092850,118097000,1475000,0.9766595339239829,116622000
2016-03-31,362962000,44806000,2016-05-04,0.93,0.91,48574000,34917000,7761000,0.9224276361839667,27156000
2016-06-30,379243000,58835000,2016-08-08,1.19,1.06,47707329,68984000,2918000,1.2332486691929452,66066000
2016-09-30,383626000,57543000,2016-11-09,1.22,1.13,47051000,60987000,731000,1.2229920724320418,60256000
2016-12-31,393864000,56392000,2017-02-08,1.19,1.19,46495000,127279000,2259000,1.2128615980212927,125020000
2017-03-31,405164000,51649000,2017-05-09,1.11,1.17,46374000,52547000,3134000,1.1137490835381896,49413000
2017-06-30,413697000,62677000,2017-08-08,1.36,1.36,46070333,67323000,3060000,1.360463359359699,64263000
2017-09-30,427300000,66170000,2017-11-07,1.46,1.37,45407096,89929000,1771000,1.4572612174978115,88158000
2017-12-31,442941000,167242000,2018-02-07,1.6,1.43,44916819,178725000,7965000,3.723371416840538,170760000
2018-03-31,459923000,65290000,2018-05-08,1.47,1.49,44855000,46399000,2080000,1.455579088173002,44319000
2018-06-30,467814000,86217000,2018-08-07,1.93,1.81,44207000,117636000,4074000,1.950301988372882,113562000
2018-09-30,484781000,84654000,2018-11-06,1.93,1.86,43589000,121245000,4859000,1.942095482805295,116386000
2018-12-31,487323000,86056000,2019-02-07,2.01,1.88,43311282,192787000,2504000,1.9869187894276599,190283000
2019-03-31,494987000,78764000,2019-05-07,1.74,1.71,42942000,66421000,6594000,1.8341949606445904,59827000
2019-06-30,504904000,97018000,2019-08-07,2.21,2.13,42619000,118664000,9309000,2.276402543466529,109355000
2019-09-30,520653000,95808000,2019-11-06,2.26,2.15,42100000,136246000,4085000,2.275724465558195,132161000
2019-12-31,531959000,93557000,2020-02-11,2.22,2.11,41614000,164182000,5449000,2.2482097371077043,158733000
2020-03-31,524936000,72469000,2020-04-29,2.05,1.95,41239000,131522000,9921000,1.7572928538519363,121601000
2020-06-30,525815000,101510000,2020-08-05,2.44,2.08,40246000,184903000,9451000,2.522238234855638,175452000
2020-09-30,568461000,112101000,2020-11-04,2.78,2.35,39710000,87528000,3078000,2.8229916897506926,84450000
2020-12-31,598328000,100084000,2021-02-09,2.45,2.49,39554000,239464000,5172000,2.530312989836679,234292000
2021-03-31,637711000,97872000,2021-05-05,2.44,2.38,39581000,119458000,10182000,2.4727015487228723,109276000
2021-06-30,654686000,128162000,2021-08-05,3.25,2.92,39653000,155335000,1920000,3.2320883665800824,153415000
2021-09-30,693239000,112456000,2021-11-08,2.98,2.98,39679000,160328000,9330000,2.8341440056453036,150998000
2021-12-31,724094000,34868000,2022-02-14,2.94,3.22,39691000,221835000,3256000,0.8784863067194074,218579000
2022-03-31,691226000,115039000,2022-05-05,2.11,2.73,39332000,214299000,7676000,2.924819485406285,206623000
2022-06-30,668682000,127956000,2022-08-08,2.86,3.02,38501000,170183000,6684000,3.3234461442559935,163499000
2022-09-30,673289000,79561000,2022-11-08,3.02,2.94,37541000,166796000,9590000,2.1193095548866574,157206000
2022-12-31,686939000,131840000,2023-02-23,3.49,2.93,37081000,206387000,1855000,3.5554596693724547,204532000
2023-03-31,690036000,128099000,2023-05-08,3.49,3.47,36804000,175946000,7861000,3.4805727638300183,168085000
2023-06-30,688385000,144504000,2023-08-07,3.99,3.81,36290000,135746000,2373000,3.981923394874621,133373000
