fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,5942900000,708500000,2005-11-01,0.898,,789000000,1012900000,128500000,0.8979721166032953,884400000
2005-12-31,-2785100000,-9136400000,2006-02-23,-11.9963,,785150000,577400000,16800000,-11.636502579125008,560600000
2006-03-31,3581800000,226900000,2006-04-26,0.2959,,766700000,647800000,62500000,0.295943654623712,585300000
2006-06-30,3483100000,781700000,2006-08-03,1.0157,,769600000,689700000,50700000,1.0157224532224531,639000000
2006-09-30,3378800000,316900000,2006-11-02,0.4093,,774200000,407300000,82500000,0.40932575561870316,324800000
2006-12-31,3882900000,335000000,2007-02-27,0.4315,,766000000,143600000,198400000,0.43733681462140994,-54800000
2007-03-31,3657800000,213500000,2007-05-03,0.279,,765100000,848000000,95100000,0.2790484903934126,752900000
2007-06-30,3374900000,404000000,2007-07-31,0.5539,,729400000,682000000,111500000,0.5538799012887304,570500000
2007-09-30,3281400000,343300000,2007-11-01,0.4799,,715400000,365900000,95600000,0.4798714006150405,270300000
2007-12-31,3758800000,286200000,2008-02-26,0.4216,,707100000,289300000,166900000,0.4047518031395842,122400000
2008-03-31,3654100000,244300000,2008-04-29,0.3626,,673800000,1026800000,88800000,0.36257049569605226,938000000
2008-06-30,3393700000,408400000,2008-07-31,0.6057,,674300000,595600000,131400000,0.6056651342132582,464200000
2008-09-30,3375700000,-12462200000,2008-10-30,-18.5753,,670900000,91300000,129400000,-18.57534654941124,-38100000
2008-12-31,3526900000,136100000,2009-02-19,0.2017,,670900000,432800000,124500000,0.20286182739603517,308300000
2009-03-31,3159900000,-55300000,2009-05-08,-0.0824,,671500000,-21500000,74200000,-0.08235294117647059,-95700000
2009-06-30,3006300000,15400000,2009-08-07,0.0226,,680200000,416800000,65100000,0.022640399882387533,351700000
2009-09-30,3350000000,207600000,2009-11-06,0.303,,685100000,172600000,46200000,0.3030214567216465,126400000
2009-12-31,3498400000,58800000,2010-02-19,0.0852,,674800000,371500000,76100000,0.08713692946058091,295400000
2010-03-31,3530900000,-26200000,2010-05-06,-0.0387,,676000000,700700000,40900000,-0.03875739644970414,659800000
2010-06-30,3331000000,150000000,2010-08-04,0.2165,,693000000,550300000,58800000,0.21645021645021645,491500000
2010-09-30,3297500000,317000000,2010-11-05,0.457,,694300000,323000000,63400000,0.4565749675932594,259600000
2010-12-31,3900400000,283000000,2011-02-17,0.4054,,679500000,161100000,121200000,0.41648270787343633,39900000
2011-03-31,3510000000,202000000,2011-05-04,0.2915,,693000000,894000000,41000000,0.29148629148629146,853000000
2011-06-30,3586000000,395000000,2011-08-03,0.5758,,686000000,700000000,54000000,0.575801749271137,646000000
2011-09-30,3365000000,338000000,2011-11-04,0.5007,,675000000,86000000,57000000,0.5007407407407407,29000000
2011-12-31,3784000000,370000000,2012-02-16,0.5531,,659000000,69000000,113000000,0.5614567526555387,-44000000
2012-03-31,3924000000,363000000,2012-05-02,0.5442,,667000000,646000000,39000000,0.5442278860569715,607000000
2012-06-30,3476000000,427000000,2012-08-03,0.646,,661000000,612000000,54000000,0.6459909228441755,558000000
2012-09-30,3418000000,391000000,2012-11-08,0.596,,656000000,222000000,59000000,0.5960365853658537,163000000
2012-12-31,3698000000,393000000,2013-02-15,0.6046,,650000000,335000000,102000000,0.6046153846153847,233000000
2013-03-31,4040000000,443000000,2013-05-02,0.6944,,638000000,587000000,34000000,0.6943573667711599,553000000
2013-06-30,3699000000,472000000,2013-08-02,1.29,0.72,624000000,464000000,49000000,0.7564102564102564,415000000
2013-09-30,3634000000,494000000,2013-11-14,1.55,0.76,618000000,269000000,57000000,0.7993527508090615,212000000
2013-12-31,3911000000,470000000,2014-01-30,1.2,0.76,615000000,553000000,130000000,0.7642276422764228,423000000
2014-03-31,3856000000,468000000,2014-05-01,1.08,0.74,600000000,501000000,36000000,0.78,465000000
2014-06-30,3188000000,439000000,2014-08-06,1.42,0.71,581000000,123000000,33000000,0.7555938037865749,90000000
2014-09-30,3367000000,1639000000,2014-11-13,1.71,0.72,541000000,-336000000,43000000,3.0295748613678373,-379000000
2014-12-31,3681000000,413000000,2015-01-29,1.16,0.76,523000000,987000000,94000000,0.7896749521988528,893000000
2015-03-31,3500000000,394000000,2015-04-30,1.16,0.75,506000000,417000000,17000000,0.7786561264822134,400000000
2015-06-30,3219000000,332000000,2015-08-06,1.47,0.72,495000000,446000000,29000000,0.6707070707070707,417000000
2015-09-30,3257000000,426000000,2015-11-12,1.54,0.81,484000000,-240000000,58000000,0.8801652892561983,-298000000
2015-12-31,3910000000,261000000,2016-02-09,0.76,0.92,474000000,771000000,89000000,0.5506329113924051,682000000
2016-03-31,3849000000,473000000,2016-04-28,0.76,0.94,464000000,1028000000,38000000,1.019396551724138,990000000
2016-06-30,3287000000,423000000,2016-08-04,1.05,0.86,455000000,223000000,41000000,0.9296703296703297,182000000
2016-09-30,3396000000,478000000,2016-11-03,1.05,0.98,446000000,55000000,46000000,1.0717488789237668,9000000
2016-12-31,2634000000,-113000000,2017-02-15,1.11,1.1,429000000,379000000,71000000,-0.2634032634032634,308000000
2017-03-31,3343000000,-252000000,2017-05-04,1.06,0.96,416000000,719000000,27000000,-0.6057692307692307,692000000
2017-06-30,3257000000,58000000,2017-08-07,1.04,0.97,410000000,219000000,41000000,0.14146341463414633,178000000
2017-09-30,3171000000,592000000,2017-11-02,1.11,1.07,406000000,49000000,44000000,1.458128078817734,5000000
2017-12-31,3921000000,-41000000,2018-02-15,1.2,1.14,395000000,-100000000,73000000,-0.10379746835443038,-173000000
2018-03-31,3761000000,511000000,2018-05-03,1.34,0.79,386000000,717000000,30000000,1.3238341968911918,687000000
2018-06-30,3466000000,400000000,2018-08-02,1.12,1.07,381000000,326000000,32000000,1.0498687664041995,294000000
2018-09-30,3263000000,488000000,2018-11-01,1.24,0.96,379000000,137000000,37000000,1.287598944591029,100000000
2018-12-31,7092000000,887000000,2019-02-14,1.5,1.03,618000000,2284000000,253000000,1.435275080906149,2031000000
2019-03-31,7100000000,1959000000,2019-05-02,1.37,0.81,617000000,929000000,67000000,3.175040518638574,862000000
2019-06-30,7143000000,977000000,2019-08-08,1.16,1.16,617000000,260000000,75000000,1.5834683954619124,185000000
2019-09-30,6698000000,630000000,2019-11-12,0.95,0.95,617000000,500000000,109000000,1.0210696920583469,391000000
2019-12-31,6656000000,-258000000,2020-02-20,0.97,0.97,615000000,-459000000,94000000,-0.4195121951219512,-553000000
2020-03-31,6499000000,516000000,2020-05-07,1.13,1.13,616000000,356000000,51000000,0.8376623376623377,305000000
2020-06-30,6075000000,481000000,2020-08-06,1.25,1.25,617000000,795000000,80000000,0.779578606158833,715000000
2020-09-30,5837000000,615000000,2020-11-06,0.91,0.91,618000000,1414000000,79000000,0.9951456310679612,1335000000
2020-12-31,6874000000,810000000,2021-02-24,1.04,1.04,620000000,-271000000,111000000,1.3064516129032258,-382000000
2021-03-31,7412000000,911000000,2021-05-06,1.52,1.52,631000000,1723000000,62000000,1.4437400950871633,1661000000
2021-06-30,6564000000,1036000000,2021-08-05,0.97,0.97,662000000,68000000,76000000,1.5649546827794563,-8000000
2021-09-30,6610000000,538000000,2021-11-04,0.76,0.76,651000000,-139000000,93000000,0.82642089093702,-232000000
2021-12-31,8000000000,2058000000,2022-02-15,0.26,0.26,662000000,-699000000,123000000,3.108761329305136,-822000000
2022-03-31,7328000000,433000000,2022-05-03,0.6,0.6,651000000,397000000,52000000,0.6651305683563749,345000000
2022-06-30,7779000000,419000000,2022-08-04,0.64,0.64,650000000,194000000,99000000,0.6446153846153846,95000000
2022-09-30,6916000000,231000000,2022-11-02,0.39,0.45,650000000,-265000000,77000000,0.3553846153846154,-342000000
2022-12-31,8131000000,21000000,2023-02-16,0.08,0.24,651000000,-107000000,130000000,0.03225806451612903,-237000000
2023-03-31,7265000000,-1118000000,2023-05-04,0.09,0.17,651000000,-378000000,71000000,-1.717357910906298,-449000000
2023-06-30,7616000000,-299000000,2023-08-07,0.1,,651000000,-23000000,69000000,-0.4592933947772657,-92000000
2023-09-30,7638000000,77000000,2023-11-02,0.3,0.11,653000000,444000000,115000000,0.11791730474732007,329000000
2023-12-31,7638000000,77000000,2024-02-28,0.04,-0.01,653000000,444000000,115000000,0.11791730474732007,329000000
2024-03-31,7685000000,-554000000,2024-04-29,0.62,0.36,654000000,260000000,51000000,-0.8470948012232415,209000000
2024-06-30,6813000000,-5413000000,2024-08-08,0.54,0.12,667000000,59000000,49000000,-8.11544227886057,10000000
2024-09-30,6731000000,1000000,2024-11-08,0.49,0.24,670000000,265000000,51000000,0.0014925373134328358,214000000
2024-12-31,7984000000,-224000000,2025-02-26,0.11,0.2,669000000,168000000,112000000,-0.33482810164424515,56000000
2025-03-31,7192000000,152000000,2025-05-08,0.29,0.27,678000000,180000000,57000000,0.22418879056047197,123000000
2025-06-30,6849000000,57000000,2025-07-31,0.46,0.35,680000000,159000000,45000000,0.0838235294117647,114000000
2025-09-30,6702000000,-257000000,2025-11-10,-0.12,0.41,680000000,93000000,78000000,-0.3779411764705882,15000000
