fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,468739000,106305000,2005-10-27,0.63,0.56,174587000,165779000,105949000,0.6088941330110489,59830000
2005-12-31,531201000,125192000,2006-03-30,0.77,0.73,171818000,138832000,115196000,0.7286314588692686,23636000
2006-03-31,597733000,159256000,2006-05-03,0.91,0.84,174313000,235139000,114216000,0.9136209003344559,120923000
2006-06-30,636813000,171690000,2006-08-03,1.0,0.95,171522000,117689000,142531000,1.000979466190926,-24842000
2006-09-30,673658000,185990000,2006-11-01,1.12,1.08,165742000,261284000,166675000,1.1221657757237151,94609000
2006-12-31,638382000,156318000,2007-02-22,0.97,1.03,155387000,223058000,174497000,1.005991492209773,48561000
2007-03-31,547101000,115801000,2007-05-03,0.73,0.71,157742000,309029000,175831000,0.734116468664021,133198000
2007-06-30,522558000,139551000,2007-08-02,0.64,0.54,157912000,137555000,149761000,0.883726379249202,-12206000
2007-09-30,524002000,98181000,2007-11-01,0.62,0.55,157339000,197610000,135852000,0.624009304749617,61758000
2007-12-31,520533000,85106000,2008-02-14,0.55,0.51,152600000,168030000,146242000,0.5577064220183486,21788000
2008-03-31,504554000,77409000,2008-05-01,0.5,0.5,155055000,181857000,84606000,0.499235755054658,97251000
2008-06-30,526283000,81422000,2008-07-31,0.52,0.51,156437000,91419000,91556000,0.520477892058784,-137000
2008-09-30,608532000,108746000,2008-10-30,0.7,0.62,155919000,186365000,153100000,0.6974518820669706,33265000
2008-12-31,569757000,79492000,2009-02-12,0.64,0.55,151735000,215363000,119631000,0.5238870399050977,95732000
2009-03-31,296039000,16203000,2009-04-30,0.11,0.14,151829000,214895000,89798000,0.10671874279617201,125097000
2009-06-30,160764000,-17743000,2009-07-30,-0.12,-0.12,151941000,139873000,156751000,-0.11677559052526967,-16878000
2009-09-30,176159000,-18580000,2009-10-29,-0.12,-0.16,152242000,61460000,104077000,-0.1220425375389183,-42617000
2009-12-31,148984000,-18170000,2010-02-11,-0.06,-0.08,152458000,37449000,102020000,-0.11918036442823597,-64571000
2010-03-31,271598000,4186000,2010-04-29,0.03,,153122000,87746000,108938000,0.027337678452475804,-21192000
2010-06-30,306992000,29528000,2010-07-29,0.11,0.06,152871000,205835000,189907000,0.19315632134283153,15928000
2010-09-30,378663000,29374000,2010-10-28,0.21,0.18,154109000,108886000,214834000,0.19060535075822957,-105948000
2010-12-31,505678000,53854000,2011-02-03,0.37,0.33,153122000,123231000,224411000,0.3517064824127167,-101180000
2011-03-31,567404000,71252000,2011-04-28,0.46,0.44,154653000,173107000,182552000,0.46072174480934736,-9445000
2011-06-30,600064000,81638000,2011-07-28,0.52,0.49,155581000,262166000,245066000,0.5247298834690611,17100000
2011-09-30,673828000,81928000,2011-10-27,0.55,0.56,154120000,220624000,283818000,0.5315857773163768,-63194000
2011-12-31,724647000,87595000,2012-02-02,0.61,0.63,154625000,212700000,300142000,0.5664995957962813,-87442000
2012-03-31,745921000,96532000,2012-04-26,0.63,0.57,155401000,263665000,263403000,0.6211800438864615,262000
2012-06-30,681112000,91732000,2012-07-26,0.49,0.44,153655000,231804000,248662000,0.5969997722169796,-16858000
2012-09-30,643631000,50344000,2012-10-25,0.39,0.38,150522000,286881000,232283000,0.3344627363441889,54598000
2012-12-31,652750000,58859000,2013-02-07,0.4,0.29,147515000,222990000,229640000,0.39900349117038947,-6650000
2013-03-31,667039000,55748000,2013-04-25,0.39,0.36,146783000,209717000,174161000,0.37979875053650625,35556000
2013-06-30,659316000,40376000,2013-07-25,0.28,0.3,146374000,173626000,158437000,0.2758413379425308,15189000
2013-09-30,730907000,73612000,2013-10-24,0.25,0.31,145432000,273357000,150686000,0.5061609549480169,122671000
2013-12-31,658772000,16392000,2014-02-06,0.28,0.22,144170000,232171000,179177000,0.11369910522300063,52994000
2014-03-31,678168000,34469000,2014-04-24,0.24,0.24,145099000,179497000,170372000,0.23755504862197535,9125000
2014-06-30,757276000,53724000,2014-07-24,0.37,0.32,146029000,180682000,317666000,0.36789952680631927,-136984000
2014-09-30,845628000,15816000,2014-10-23,0.47,0.47,146991000,206154000,285753000,0.1075984243933302,-79599000
2014-12-31,901219000,56994000,2015-02-05,0.46,0.49,145593000,162393000,278550000,0.3914611279388432,-116157000
2015-03-31,657699000,9039000,2015-04-23,0.06,0.03,145745000,404985000,241466000,0.06201928024975128,163519000
2015-06-30,472761000,-18975000,2015-07-23,-0.13,-0.27,145300000,235676000,222167000,-0.13059187887130075,13509000
2015-09-30,422251000,-225978000,2015-10-22,-0.26,-0.34,145662000,165378000,144587000,-1.5513860855954196,20791000
2015-12-31,338566000,-58658000,2016-02-04,-0.4,-0.48,145709000,193398000,135556000,-0.4025695049722392,57842000
2016-03-31,268939000,-70503000,2016-04-28,-0.55,-0.54,145770000,113733000,21301000,-0.4836591891335666,92432000
2016-06-30,193907000,-85866000,2016-07-28,-0.56,-0.63,145944000,68194000,30533000,-0.5883489557638546,37661000
2016-09-30,206133000,-84143000,2016-10-27,-0.57,-0.6,146326000,70779000,28677000,-0.5750379290078318,42102000
2016-12-31,246887000,-78122000,2017-02-09,-0.53,-0.54,146664000,52328000,39288000,-0.5326596847215403,13040000
2017-03-31,305175000,-63539000,2017-04-27,-0.42,-0.43,160062000,5557000,68440000,-0.3969649260911397,-62883000
2017-06-30,579186000,-92184000,2017-07-27,-0.21,-0.3,201204000,9828000,118350000,-0.45816186556927296,-108522000
2017-09-30,684989000,-33769000,2017-10-26,-0.13,-0.18,211875000,115880000,143061000,-0.15938171091445427,-27181000
2017-12-31,787334000,195402000,2018-02-08,-0.1,-0.08,221904000,169446000,237236000,0.8805699762059269,-67790000
2018-03-31,809164000,-34417000,2018-04-26,-0.16,-0.09,220783000,149965000,122921000,-0.15588609630270447,27044000
