fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,236335000,10813000,2005-11-01,0.13,0.14,70088000,25470000,3316000,0.15427747973975572,22154000
2005-12-31,237945000,14408000,2006-02-28,0.18,0.18,68400000,20987000,7572000,0.21064327485380116,13415000
2006-03-31,242349000,16002000,2006-04-25,0.18,0.18,67966000,26144000,6094000,0.2354412500367831,20050000
2006-06-30,241593000,15266000,2006-08-01,0.17,0.17,66618000,11475000,7974000,0.22915728481791708,3501000
2006-09-30,239692000,13108000,2006-10-31,0.14,0.14,65166000,29066000,12538000,0.201147837829543,16528000
2006-12-31,277923000,18999000,2007-02-27,0.22,0.23,65200000,18916000,12746000,0.29139570552147237,6170000
2007-03-31,260624000,13155000,2007-05-08,0.22,0.2,61126000,19900000,9006000,0.21521120308870204,10894000
2007-06-30,256256000,7009000,2007-08-07,0.2,0.18,61200000,6344000,7427000,0.11452614379084967,-1083000
2007-09-30,262775000,4827000,2007-11-06,0.16,0.15,60054000,20933000,6658000,0.08037766010590469,14275000
2007-12-31,283940000,7744000,2008-02-26,0.26,0.22,58000000,14414000,8057000,0.13351724137931034,6357000
2008-03-31,289005000,8625000,2008-05-06,0.24,0.22,57770000,20340000,8710000,0.14929894408862732,11630000
2008-06-30,283408000,7648000,2008-08-05,0.21,0.21,57410000,8912000,7300000,0.13321720954537536,1612000
2008-09-30,280028000,7747000,2008-11-04,0.14,0.18,55968000,18321000,8011000,0.13841838193253286,10310000
2008-12-31,279646000,12776000,2009-02-24,0.24,0.21,55300000,25490000,5250000,0.23103074141048824,20240000
2009-03-31,284972000,18764000,2009-05-05,0.22,0.17,55414000,31965000,5064000,0.3386147904861587,26901000
2009-06-30,276637000,15269000,2009-08-04,0.18,0.17,55978000,22614000,10129000,0.2727678730930008,12485000
2009-09-30,263946000,12636000,2009-11-03,0.15,0.13,56022000,27848000,5809000,0.2255542465459998,22039000
2009-12-31,280478000,13698000,2010-02-23,0.21,0.19,55400000,18486000,12536000,0.24725631768953069,5950000
2010-03-31,285786000,16875000,2010-05-04,0.27,0.25,54308000,26013000,9125000,0.31072770125948296,16888000
2010-06-30,280647000,13192000,2010-08-03,0.22,0.22,53942000,19673000,7746000,0.24455897074635718,11927000
2010-09-30,273126000,7848000,2010-11-03,0.16,0.18,52162000,16473000,6737000,0.1504543537441049,9736000
2010-12-31,286838000,14025000,2011-02-22,0.26,0.24,50000000,26937000,7517000,0.2805,19420000
2011-03-31,312467000,16427000,2011-05-03,0.32,0.3,51514000,25565000,4823000,0.31888418682299957,20742000
2011-06-30,293534000,12124000,2011-08-02,0.24,0.23,51370000,24511000,7599000,0.23601323729803386,16912000
2011-09-30,305668000,11123000,2011-11-01,0.22,0.2,50292000,34272000,8225000,0.2211683766801877,26047000
2011-12-31,306213000,15981000,2012-02-21,0.33,0.31,50200000,16660000,8672000,0.3183466135458167,7988000
2012-03-31,331276000,16744000,2012-05-01,0.35,0.28,48876000,44093000,6403000,0.34258122595957113,37690000
