fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2020-03-31,0,-24886000,2020-06-03,-0.39,-0.39,4153791,-22334000,1020000,-5.991153623280517,-23354000
2020-06-30,0,-26724000,2020-08-27,-6.06,-0.66,4408470,-20844000,414000,-6.061967077013113,-21258000
2020-09-30,0,-36078000,2020-11-12,-0.51,-0.35,71248863,-24039000,433000,-0.5063659752717738,-24472000
2020-12-31,82654000,35276000,2021-03-25,0.7,0.17,90178434,-35272000,64000,0.39118000208342496,-35336000
2021-03-31,952000,-42184000,2021-05-13,-0.47,-0.48,90197654,46640000,476000,-0.4676840042868521,46164000
2021-06-30,844000,-193399000,2021-08-12,-2.1,-0.46,91939471,-28140000,379000,-2.1035470173631956,-28519000
2021-09-30,666000,-60833000,2021-11-10,-0.66,-0.64,92692537,-53199000,1736000,-0.6562880029920856,-54935000
2021-12-31,567000,-67456000,2022-02-24,-0.62,-0.58,102747665,-39707000,880000,-0.6565210022047703,-40587000
2022-03-31,419000,-62046000,2022-05-05,-0.57,-0.62,108293306,-49173000,2794000,-0.5729440008046296,-51967000
2022-06-30,365000,-76788000,2022-08-04,-0.71,-0.63,108644329,-57093000,1857000,-0.7067833241438677,-58950000
2022-09-30,344000,-84172000,2022-11-03,-0.76,-0.71,110906002,-66145000,2095000,-0.7589490062043711,-68240000
2022-12-31,253000,-67503000,2023-02-23,-0.56,-0.7,120966614,-57079000,2316000,-0.5580300032205581,-59395000
2023-03-31,226000,-94239000,2023-05-04,-0.78,-0.69,121321001,-67130000,1915000,-0.7767740063404192,-69045000
2023-06-30,119000,-98505000,2023-08-08,-0.81,-0.82,121680844,-68601000,1503000,-0.8095358049949095,-70104000
2023-09-30,25202000,-65733999,2023-11-02,-0.54,-0.83,122231255,-75397000,590000,-0.5377838835083547,-75987000
2023-12-31,-1000,-83495000,2024-02-22,-0.67,-0.73,122576527,-89188000,118000,-0.6811663051931631,-89306000
2024-03-31,10007000,-81387000,2024-05-02,-0.62,-0.7,130843013,-50323000,1780000,-0.6220202220503742,-52103000
2024-06-30,0,-92212000,2024-08-06,-0.69,-0.73,132821825,-65833000,11000,-0.694253372892595,-65844000
2024-09-30,0,-88105000,2024-11-06,-0.63,-0.77,140229056,-75083000,227000,-0.6282934686517465,-75310000
2024-12-31,0,-76004000,2025-02-20,-0.45,-0.5481,167337579,-57868000,0,-0.4541956472311578,-57868000
2025-03-31,7679000,-77065000,2025-06-03,-0.4554,-0.71,169233155,-73210000,384000,-0.4553776711188774,-73594000
2025-06-30,677000,-70375000,2025-08-07,-0.41,-0.49,171264622,-55261000,26000,-0.41091381966790547,-55287000
2025-09-30,0,-74149000,2025-11-06,-0.43,-0.42,172389209,-62119000,1000,-0.4301255306531397,-62120000
