fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,209346000,15100000,2005-10-26,0.03,0.03,531881437,29393000,2796000,0.02838978567323078,26597000
2005-12-31,194830000,7352000,2006-02-15,0.02,0.02,513907031,8704000,8542000,0.014306089538595941,162000
2006-03-31,194187000,10903000,2006-04-26,0.02,0.02,528395906,27485000,5433000,0.020634149273669807,22052000
2006-06-30,232222000,19330000,2006-07-26,0.04,0.03,525814031,6836000,5918000,0.03676204677010606,918000
2006-09-30,227816000,17037000,2006-10-25,0.03,0.03,521690625,28540000,4306000,0.032657286107067765,24234000
2006-12-31,204653000,10539000,2007-02-07,0.02,0.02,511218843,22340000,3072000,0.020615437291305008,19268000
2007-03-31,201232000,12793000,2007-04-25,0.03,0.02,521913375,19564000,6143000,0.024511730514666347,13421000
2007-06-30,239618000,21239000,2007-07-25,0.04,0.04,513907031,25896000,3956000,0.0413284869029161,21940000
2007-09-30,238116000,18765000,2007-10-24,0.04,0.04,511196062,33078000,3413000,0.03670802925707984,29665000
2007-12-31,215954000,11934000,2008-01-23,0.02,0.02,503151750,10224000,2732000,0.023718490495163735,7492000
2008-03-31,210078000,13839000,2008-04-23,0.03,0.03,508280062,15509000,2759000,0.02722711558967269,12750000
2008-06-30,284499000,22738000,2008-07-23,0.05,0.05,507115687,36614000,4327000,0.04483789514482126,32287000
2008-09-30,277911000,19804000,2008-10-22,0.04,0.04,506736000,25489000,3056000,0.03908149411133213,22433000
2008-12-31,248076000,12553000,2009-01-28,0.03,0.02,497805750,13132000,4673000,0.025216663327010586,8459000
2009-03-31,242972000,15808000,2009-04-29,0.03,0.03,508619250,20636000,3477000,0.031080223566056536,17159000
2009-06-30,284567000,25482000,2009-07-29,0.05,0.05,498777750,43459000,2646000,0.05108888678374286,40813000
2009-09-30,286852000,22733000,2009-10-28,0.05,0.04,503354250,28098000,3694000,0.045163023854472274,24404000
2009-12-31,259567000,19961000,2010-01-27,0.03,0.03,502230375,18653000,5923000,0.03974470879026383,12730000
2010-03-31,253041000,17583000,2010-04-28,0.04,0.03,503177062,28238000,1540000,0.03494396173409033,26698000
2010-06-30,298803000,27700000,2010-07-28,0.06,0.06,502193250,30799000,2982000,0.05515804921710915,27817000
2010-09-30,305118000,25513000,2010-10-27,0.05,0.05,498681562,33382000,2268000,0.05116090496243372,31114000
2010-12-31,279928000,19206000,2011-01-26,0.04,0.04,497721375,31634000,6246000,0.038587854499919756,25388000
2011-03-31,271643000,18640000,2011-04-27,0.04,0.04,498048750,32954000,3345000,0.03742605518034128,29609000
2011-06-30,320436000,31061000,2011-07-27,0.06,0.06,497184750,41386000,4255000,0.06247375849721859,37131000
2011-09-30,323929000,29415000,2011-10-26,0.06,0.06,494805375,40766000,5781000,0.0594476161460453,34985000
2011-12-31,289056000,21595000,2012-01-25,0.04,0.04,495102375,39541000,5271000,0.043617241787620185,34270000
2012-03-31,289465000,23080000,2012-04-25,0.05,0.04,495159750,37089000,3714000,0.04661121991438117,33375000
2012-06-30,334872000,33127000,2012-07-25,0.07,0.07,494194500,36516000,3705000,0.06703231217668347,32811000
2012-09-30,340179000,32211000,2012-10-24,0.07,0.07,492955875,46507000,4335000,0.06534256235408493,42172000
2012-12-31,306393000,22914000,2013-01-23,0.05,0.05,492847875,21807000,7286000,0.046493048184493034,14521000
2013-03-31,299714000,23179000,2013-04-24,0.05,0.05,493553250,38786000,4739000,0.0469635241992632,34047000
2013-06-30,350798000,35994000,2013-07-24,0.07,0.07,493458750,34355000,4875000,0.0729422672107851,29480000
2013-09-30,362155000,36200000,2013-10-23,0.07,0.07,492773625,54378000,3680000,0.07346172393053707,50698000
2013-12-31,324707000,27957000,2014-01-29,0.06,0.05,492318000,35146000,5338000,0.05678646728334125,29808000
2014-03-31,313388000,25766000,2014-04-23,0.05,0.05,492719625,41182000,5156000,0.05229343158393579,36026000
2014-06-30,369357000,40860000,2014-07-23,0.08,0.08,492328125,48829000,6315000,0.0829934304484433,42514000
2014-09-30,384870000,41121000,2014-10-29,0.08,0.08,492075000,67416000,11223000,0.08356652949245542,56193000
2014-12-31,343951000,29917000,2015-01-28,0.06,0.06,491143500,36719000,6045000,0.06091295110288541,30674000
2015-03-31,330909000,30281000,2015-04-29,0.06,0.06,491717250,44054000,8311000,0.061582138922317654,35743000
2015-06-30,392150000,45073000,2015-07-29,0.09,0.09,491879250,45201000,9419000,0.09163427812821948,35782000
2015-09-30,399746000,45046000,2015-10-28,0.09,0.09,491836500,54569000,10883000,0.09158734660806996,43686000
2015-12-31,362500000,31749000,2016-01-27,0.07,0.07,491816250,52532000,10882000,0.0645545973724943,41650000
2016-03-31,352736000,31928000,2016-04-27,0.07,0.07,492043500,41344000,8956000,0.06488857184374959,32388000
2016-06-30,411133000,47783000,2016-07-27,0.1,0.1,491483250,55178000,11033000,0.09722203147309699,44145000
2016-09-30,423994000,49651000,2016-10-26,0.1,0.1,490587750,61637000,7139000,0.10120717445553828,54498000
2016-12-31,385614000,38007000,2017-01-25,0.08,0.07,490092750,68366000,5953000,0.07755062689664355,62413000
2017-03-31,375247000,40270000,2017-04-26,0.08,0.07,490434750,58047000,5454000,0.08211082106233296,52593000
2017-06-30,433555000,53689000,2017-07-26,0.11,0.11,490504500,61861000,5768000,0.10945669203850321,56093000
2017-09-30,450442000,51430000,2017-10-25,0.11,0.11,490473000,69479000,5995000,0.10485796363918096,63484000
2017-12-31,414713000,33735000,2018-01-24,0.09,0.09,490475250,45983000,7463000,0.06878022897179827,38520000
