fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,1659241000,123603000,2005-11-17,0.08,0.07,1615899000,157332000,184027000,0.0764917856871005,-26695000
2005-12-31,1934092000,174156000,2006-02-01,0.11,0.1,1585898000,609317000,147778000,0.10981538535265194,461539000
2006-03-31,1885822000,127316000,2006-05-03,0.08,0.07,1589226000,152675000,162553000,0.08011195386936786,-9878000
2006-06-30,1963673000,145498000,2006-08-02,0.09,0.09,1596518000,173782000,212017000,0.09113458163327942,-38235000
2006-09-30,2003355000,117289000,2006-11-16,0.09,0.08,1568800000,195859000,248882000,0.07476351351351351,-53023000
2006-12-31,2355700000,205000000,2007-01-31,0.13,0.13,1565600000,678409000,270547000,0.1309402146142054,407862000
2007-03-31,2255600000,150800000,2007-05-03,0.1,0.1,1548110000,59410000,236655000,0.09740909883664597,-177245000
2007-06-30,2359245000,158343000,2007-08-01,0.11,0.11,1527118000,302021000,264931000,0.10368746881380483,37090000
2007-09-30,2440935000,158503000,2007-11-15,0.11,0.1,1527100000,291381000,308215000,0.10379346473708335,-16834000
2007-12-31,2767600000,208100000,2008-01-30,0.14,0.14,1489800000,807600000,263600000,0.13968317895019466,544000000
2008-03-31,2526000000,108700000,2008-04-30,0.09,0.08,1478600000,-42500000,241500000,0.07351548762342756,-284000000
2008-06-30,2574000000,-6700000,2008-07-30,0.08,0.09,1463400000,313600000,228800000,-0.004578379117124504,84800000
2008-09-30,2515400000,5400000,2008-11-10,0.05,0.07,1483800000,180000000,250600000,0.003639304488475536,-70600000
2008-12-31,2615200000,64300000,2009-01-28,0.08,0.08,1478200000,693500000,172600000,0.04349884995264511,520900000
2009-03-31,2333300000,25000000,2009-04-29,0.08,0.07,1479800000,21900000,64300000,0.016894174888498446,-42400000
2009-06-30,2403900000,151500000,2009-07-21,0.12,0.09,1493400000,301300000,107300000,0.10144636400160707,194000000
2009-09-30,2422200000,150000000,2009-11-05,0.12,0.1,1515800000,372300000,101400000,0.09895764612745744,270900000
2009-12-31,2722700000,241500000,2010-01-20,0.17,0.14,1525800000,768700000,99700000,0.15827762485253638,669000000
2010-03-31,2534700000,217300000,2010-04-21,0.14,0.12,1533800000,189100000,84800000,0.14167427304733343,104300000
2010-06-30,2612000000,207900000,2010-07-21,0.14,0.14,1533400000,417600000,101100000,0.13558106169296988,316500000
2010-09-30,2838000000,278900000,2010-11-04,0.19,0.16,1521800000,329500000,155100000,0.18326981206466028,174400000
2010-12-31,2950800000,346600000,2011-01-26,0.23,0.2,1533400000,673600000,128900000,0.22603365071083867,544700000
2011-03-31,2785700000,261600000,2011-04-27,0.17,0.17,1543600000,-4100000,110200000,0.16947395698367454,-114300000
2011-06-30,2932200000,279100000,2011-07-28,0.18,0.17,1543800000,457200000,133300000,0.18078766679621713,323900000
2011-09-30,3031700000,358300000,2011-11-03,0.19,0.18,1537000000,485700000,159500000,0.23311646063760572,326200000
2011-12-31,3435900000,382100000,2012-01-26,0.25,0.24,1537000000,466300000,153500000,0.24860117111255692,312800000
2012-03-31,3195900000,309900000,2012-04-26,0.2,0.2,1546600000,109300000,160300000,0.20037501616448986,-51000000
2012-06-30,3303600000,333100000,2012-07-26,0.22,0.23,1553600000,551300000,202700000,0.21440525231719876,348600000
2012-09-30,3364100000,358700000,2012-11-01,0.23,0.22,1547000000,623400000,339700000,0.23186813186813188,283700000
2012-12-31,3793200000,432200000,2013-01-24,0.28,0.29,1522600000,1067300000,242300000,0.2838565611454092,825000000
2013-03-31,3549600000,390400000,2013-04-25,0.24,0.24,1522600000,305200000,242600000,0.2564035202942335,62600000
2013-06-30,3735300000,417800000,2013-07-25,0.28,0.27,1523800000,665300000,297300000,0.2741829636435228,368000000
2013-09-30,3795000000,-1232000000,2013-10-30,0.32,0.3,1506400000,870500000,369000000,-0.8178438661710037,501500000
2013-12-31,4239600000,540700000,2014-01-23,0.34,0.35,1532400000,-1401900000,256100000,0.35284521012790393,-1658000000
2014-03-31,3873800000,427000000,2014-04-24,0.28,0.28,1529200000,418400000,247500000,0.2792309704420612,170900000
2014-06-30,4153700000,512600000,2014-07-24,0.34,0.33,1522000000,850100000,307600000,0.33679369250985547,542500000
2014-09-30,4180700000,587800000,2014-10-30,0.37,0.37,1521600000,741200000,349700000,0.38630389064143006,391500000
2014-12-31,4803200000,983100000,2015-01-22,0.4,0.4,1516800000,1425200000,291800000,0.6481408227848101,1133400000
2015-03-31,4563500000,494900000,2015-04-23,0.33,0.33,1516500000,575700000,314800000,0.32634355423672934,260900000
2015-06-30,4881200000,626700000,2015-07-23,0.42,0.41,1515700000,778300000,336900000,0.4134723230190671,441400000
2015-09-30,4914800000,652500000,2015-10-29,0.43,0.43,1504500000,969900000,360200000,0.4336989032901296,609700000
2015-12-31,5373500000,687600000,2016-01-21,0.46,0.45,1503300000,1636000000,331800000,0.4573937337856715,1304200000
2016-03-31,4993200000,575100000,2016-04-21,0.39,0.39,1486600000,549500000,336400000,0.38685591282120274,213100000
2016-06-30,5238000000,754100000,2016-07-21,0.49,0.49,1479300000,1081400000,361500000,0.5097681335766917,719900000
2016-09-30,5711200000,800900000,2016-11-03,0.56,0.55,1478400000,1308200000,410600000,0.5417343073593074,897600000
2016-12-31,5732900000,751800000,2017-01-26,0.52,0.52,1470500000,1495700000,307400000,0.5112546752805168,1188300000
2017-03-31,5294000000,652800000,2017-04-27,0.45,0.45,1464800000,443300000,330500000,0.4456581103222283,112800000
2017-06-30,5661500000,691600000,2017-07-27,0.55,0.55,1459400000,1150600000,387400000,0.47389338084144167,763200000
2017-09-30,5698300000,788600000,2017-11-02,0.55,0.55,1451200000,1084700000,494100000,0.543412348401323,590600000
2017-12-31,6073700000,2250200000,2018-01-25,0.58,0.57,1434600000,1834000000,429300000,1.5685208420465635,1404700000
2018-03-31,6031800000,660100000,2018-04-26,0.53,0.53,1406600000,454500000,467400000,0.46928764396416894,-12900000
2018-06-30,6310300000,852500000,2018-07-26,0.62,0.61,1388500000,1215900000,511100000,0.6139719121353979,704800000
2018-09-30,6303600000,755500000,2018-11-01,0.62,0.6,1348700000,8433400000,568600000,0.560169051679395,7864800000
2018-12-31,6632700000,760600000,2019-01-24,0.68,0.65,1253400000,2379000000,431400000,0.6068294239668103,1947600000
2019-03-31,6305900000,663200000,2019-04-25,0.6,0.56,1250700000,390400000,414200000,0.5302630526904933,-23800000
2019-06-30,6823000000,1372800000,2019-07-25,0.78,0.72,1223000000,1169400000,435100000,1.1224856909239576,734300000
2019-09-30,6747000000,802800000,2019-10-30,0.7,0.7,1205600000,1108200000,525900000,0.665892501658925,582300000
2019-12-31,7097100000,885700000,2020-01-28,0.79,0.76,1191000000,1836100000,394300000,0.7436607892527288,1441800000
2020-03-31,5995700000,328400000,2020-04-28,0.32,0.34,1180700000,-1361300000,364000000,0.27814008638943,-1725300000
2020-06-30,4222100000,-678400000,2020-07-28,-0.46,-0.59,1168900000,-367700000,380100000,-0.5803747112670031,-747800000
2020-09-30,6203100000,392600000,2020-10-29,0.51,0.31,1179000000,1490700000,345200000,0.3329940627650551,1145500000
2020-12-31,6749400000,622200000,2021-01-26,0.61,0.55,1183000000,1835700000,324200000,0.5259509721048182,1511500000
2021-03-31,6668000000,659400000,2021-04-27,0.62,0.53,1184800000,883800000,323700000,0.5565496286293046,560100000
2021-06-30,7496500000,1153400000,2021-07-27,1.01,0.78,1186200000,1748900000,337800000,0.9723486764457933,1411100000
2021-09-30,8146700000,1764400000,2021-10-28,1.0,0.99,1187900000,1520700000,484300000,1.4853102112972472,1036400000
2021-12-31,8050400000,815900000,2022-02-01,0.72,0.8,1176600000,1870900000,416800000,0.6934387217406085,1454100000
2022-03-31,7635600000,674500000,2022-05-03,0.59,0.59,1153900000,161900000,455100000,0.5845393881618858,-293200000
2022-06-30,8150100000,912900000,2022-08-02,0.84,0.75,1151000000,1264800000,423500000,0.793136403127715,841300000
2022-09-30,8414200000,878300000,2022-11-03,0.81,0.72,1152500000,1099700000,545900000,0.7620824295010846,553800000
2022-12-31,8713900000,855200000,2023-02-02,0.75,0.77,1152900000,1593200000,516800000,0.7417815942406106,1076400000
2023-03-31,8719800000,908300000,2023-05-02,0.74,0.65,1152700000,767600000,485200000,0.7879760562158411,282400000
2023-06-30,9168300000,1141700000,2023-08-01,1.0,0.95,1150500000,1702900000,632100000,0.9923511516731855,1070800000
2023-09-30,9373600000,1219300000,2023-11-02,1.06,0.97,1149400000,1945000000,699500000,1.0608143379154342,1245500000
2023-12-31,9425300000,1024400000,2024-01-30,0.9,0.93,1140600000,2383900000,595900000,0.8981237944941259,1788000000
2024-03-31,8563000000,772400000,2024-04-30,0.68,0.79,1135400000,506000000,659100000,0.6802888849744584,-153100000
2024-06-30,9113900000,1054800000,2024-07-30,0.93,0.93,1135800000,1670100000,724300000,0.9286846275752774,945800000
2024-09-30,9073900000,909200000,2024-10-30,0.8,0.89,1137300000,1535600000,798200000,0.7994372636947156,737400000
2024-12-31,9397800000,780800000,2025-01-28,0.69,0.67,1138400000,2072000000,692900000,0.6858749121574139,1379100000
2025-03-31,8761600000,384200000,2025-04-29,0.41,0.48,1140000000,292000000,589200000,0.3370175438596491,-297200000
2025-06-30,9456000000,558300000,2025-07-29,0.5,0.65,1139800000,1001700000,567400000,0.489822775925601,434300000
2025-09-30,9569000000,133100000,2025-10-28,0.52,0.58,1140900000,1381800000,456000000,0.11666228416162679,925800000
