fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,1316000000,207000000,2005-10-17,0.16,0.15,1308000000,-77000000,25000000,0.15825688073394495,-102000000
2005-12-31,1384000000,187000000,2006-01-18,0.14,0.15,1296000000,634000000,43000000,0.14429012345679013,591000000
2006-03-31,1205000000,243000000,2006-04-17,0.19,0.19,1296000000,737000000,19000000,0.1875,718000000
2006-06-30,1261000000,251000000,2006-07-18,0.19,0.2,1294000000,1022000000,26000000,0.19397217928902627,996000000
2006-09-30,1249000000,266000000,2006-10-16,0.21,0.2,1277000000,-415000000,97000000,0.20830070477682067,-512000000
2006-12-31,399000000,467000000,2007-01-17,0.21,0.21,1266000000,291000000,24000000,0.3688783570300158,267000000
2007-03-31,1320000000,273000000,2007-04-17,0.22,0.22,1266000000,-170000000,39000000,0.2156398104265403,-209000000
2007-06-30,1369000000,292000000,2007-07-17,0.23,0.23,1257000000,811000000,44000000,0.23229912490055687,767000000
2007-09-30,1451000000,1534000000,2007-10-15,0.27,0.26,1201000000,527000000,33000000,1.2772689425478767,494000000
2007-12-31,1477000000,308000000,2008-01-16,0.26,0.26,1149000000,578000000,52000000,0.268059181897302,526000000
2008-03-31,1398000000,305000000,2008-04-15,0.26,0.26,1159000000,-322000000,48000000,0.2631578947368421,-370000000
2008-06-30,1359000000,295000000,2008-07-16,0.26,0.26,1154000000,98000000,33000000,0.255632582322357,65000000
2008-09-30,1345000000,304000000,2008-10-15,0.26,0.23,1158000000,-488000000,47000000,0.26252158894645944,-535000000
2008-12-31,1335000000,308000000,2009-01-16,0.28,0.26,1153000000,714000000,60000000,0.26712922810060713,654000000
2009-03-31,1165000000,218000000,2009-04-15,0.21,0.16,1156000000,159000000,32000000,0.18858131487889274,127000000
2009-06-30,1157000000,205000000,2009-07-16,0.18,0.18,1160000000,947000000,37000000,0.17672413793103448,910000000
2009-09-30,1084000000,200000000,2009-10-15,0.17,0.17,1163000000,-406000000,39000000,0.17196904557179707,-445000000
2009-12-31,1068000000,164000000,2010-01-19,0.14,0.15,1190000000,737000000,32000000,0.13781512605042018,705000000
2010-03-31,1051000000,6000000,2010-04-15,0.1,0.11,1188000000,-589000000,29000000,0.005050505050505051,-618000000
2010-06-30,1134000000,205000000,2010-07-16,0.17,0.15,1195000000,865000000,25000000,0.17154811715481172,840000000
