fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2015-03-31,86399000,5965000,2015-05-07,0.2,0.08,41269061,-13044000,5121000,0.1445392711988286,-18165000
2015-06-30,98420000,9261000,2015-08-12,0.31,0.22,44473080,15689000,3511000,0.2082383320426649,12178000
2015-09-30,115054000,14432000,2015-11-04,0.36,0.3,44455964,5946000,4092000,0.3246358576320603,1854000
2015-12-31,124832000,24105000,2016-02-03,0.44,0.36,44007348,13104000,2344000,0.547749434935275,10760000
2016-03-31,125205000,20799000,2016-05-09,0.51,0.4,44577901,15342000,5909000,0.46657647698576027,9433000
2016-06-30,124752000,17273000,2016-08-09,0.44,0.41,44463087,18035000,4145000,0.38847954933943296,13890000
2016-09-30,128484000,15616000,2016-11-09,0.46,0.44,43995227,24369000,3815000,0.3549475946561203,20554000
2016-12-31,111513000,9765000,2017-02-14,0.32,0.33,43674289,24729000,7210000,0.22358692547919898,17519000
2017-03-31,115054000,14175000,2017-05-09,0.36,0.32,43837505,25666000,1872000,0.32335325653227753,23794000
2017-06-30,136099000,22524000,2017-08-02,0.55,0.38,44831590,31625000,5739000,0.5024135882755887,25886000
2017-09-30,166552000,27971000,2017-11-08,0.66,0.55,46131556,33539000,5592000,0.606331162989603,27947000
2017-12-31,189340000,19502000,2018-02-14,0.85,0.65,46876328,45775000,8179000,0.4160308802344757,37596000
2018-03-31,209871000,35686000,2018-05-09,0.87,0.8,47673522,63979000,11325000,0.7485496876022711,52654000
2018-06-30,227118000,34568000,2018-08-02,0.82,0.84,48291280,43891000,10060000,0.715822815216329,33831000
2018-09-30,236578000,45643000,2018-11-01,0.86,0.82,48281240,34335000,8666000,0.945356830106269,25669000
2018-12-31,263670000,12936000,2019-02-20,0.63,0.7,47637478,46874000,8557000,0.2715508994829659,38317000
2019-03-31,271871000,19016000,2019-05-06,0.64,0.6,47540000,56450000,10620000,0.4,45830000
2019-06-30,325010000,33128000,2019-08-06,0.94,0.83,49940034,50784000,11624000,0.6633555756089393,39160000
2019-09-30,410556000,41627000,2019-11-06,1.21,1.16,51081594,68700000,17435000,0.8149119230695894,51265000
2019-12-31,418223000,52778000,2020-01-21,1.65,1.24,50966778,83066000,32883000,1.0355373062821431,50183000
2020-03-31,431218000,42248000,2020-05-06,0.95,1.25,52172720,107745000,27053000,0.809771850116306,80692000
2020-06-30,331851000,36668000,2020-08-03,0.97,0.69,52536437,59310000,26653000,0.6979536887893635,32657000
2020-09-30,338095000,43751000,2020-11-02,1.21,0.82,53144188,28374000,36847000,0.8232508886954863,-8473000
2020-12-31,358107000,17655000,2021-02-16,0.98,0.87,53496384,27226000,36237000,0.3300223058066878,-9011000
2021-03-31,405489000,30076000,2021-05-03,0.98,0.99,55997136,24083000,24545000,0.537098897343607,-462000
2021-06-30,480057000,45092000,2021-08-02,1.28,1.12,55930562,38685000,40722000,0.8062139622341002,-2037000
2021-09-30,526404000,53048000,2021-11-02,1.45,1.36,55929000,61784000,28868000,0.9484882619034848,32916000
2021-12-31,551915000,40954000,2022-02-15,1.1,1.31,56011040,89577000,55116000,0.7311772821929391,34461000
2022-03-31,655080000,33123000,2022-05-02,1.2,1.27,56315193,-162989000,43210000,0.588171650233002,-206199000
2022-06-30,727774000,15084000,2022-08-02,0.95,1.39,58564734,77415000,48674000,0.2575611459278548,28741000
2022-09-30,836723000,24743000,2022-11-07,0.91,1.44,58747538,5557999,33200999,0.42117509673341547,-27643000
2022-12-31,890702000,20829000,2023-02-13,2.86,1.56,58734719,111300000,44256000,0.3546284098166878,67044000
2023-03-31,943889000,138378000,2023-05-03,2.9,1.93,59193831,7923000,38338000,2.3377098197952417,-30415000
2023-06-30,991290000,119510000,2023-08-01,2.62,2.52,59183666,-88711000,45737000,2.019307151402213,-134448000
2023-09-30,725305000,-61176000,2023-11-01,-0.55,0.89,56671504,40585000,46549000,-1.0794843207266918,-5964000
2023-12-31,316044000,-162383000,2024-02-20,-0.92,-1.33,56916831,-139910000,40499000,-2.8529873702912236,-180409000
2024-03-31,204399000,-157311000,2024-05-08,-1.9,-1.57,57140126,-217019000,26347000,-2.7530740831758056,-243366000
2024-06-30,265405000,-130818000,2024-08-07,-1.79,-1.58,56687006,-44772000,32188000,-2.3077246309321753,-76960000
2024-09-30,260903000,-1205321000,2024-11-06,-15.33,-1.63,57030000,-63865000,47370000,-21.134858846221288,-111235000
2024-12-31,170749000,-312907000,2025-02-18,-3.52,-1.6595,57488000,12337000,12258000,-5.442996799332034,79000
2025-03-31,219480000,-98523000,2025-05-06,-1.6951,-1.18,58122000,33823000,10109000,-1.695106844224218,23714000
2025-06-30,289429000,-124744000,2025-08-07,-0.81,-0.85,58122000,-7799000,1256000,-2.1462441072227385,-9055000
2025-09-30,340177000,-50060000,2025-11-05,-0.31,-0.41,58122000,25608000,2809000,-0.8612917655965039,22799000
