fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2014-03-31,36456000,11758000,2014-05-28,0.2535,,49048872,18858000,161000,0.2397200897912596,18697000
2014-06-30,38362000,11585000,2014-07-22,0.26,0.26,49647182,20066000,230000,0.23334657745529241,19836000
2014-09-30,39863000,14002000,2014-10-20,0.27,0.26,51452626,3178000,713000,0.2721338265611555,2465000
2014-12-31,37425000,15032000,2015-01-20,0.29,0.27,51437931,22013000,203000,0.2922357044259809,21810000
2015-03-31,43860000,13055000,2015-04-20,0.28,0.28,52475960,11878000,301000,0.24878058448096996,11577000
2015-06-30,47639000,14469000,2015-07-20,0.27,0.28,52852000,13223000,140000,0.27376447438129115,13083000
2015-09-30,50270000,16233000,2015-10-19,0.31,0.3,53013000,26510000,3914000,0.3062079112670477,22596000
2015-12-31,44997000,19726000,2016-01-25,0.37,0.32,53313514,24328000,1182000,0.36999999662374533,23146000
2016-03-31,53396000,19956000,2016-04-18,0.33,0.33,53134000,27274000,2285000,0.37557872548650584,24989000
2016-06-30,55897000,18853000,2016-07-18,0.36,0.33,53452526,13624000,2982000,0.3527055017007054,10642000
2016-09-30,59482000,20909000,2016-10-17,0.39,0.36,53879328,29743000,2542000,0.3880709128369233,27201000
2016-12-31,55470000,21714000,2017-01-30,0.4,0.37,54285000,27880000,14396000,0.4,13484000
2017-03-31,64063000,22519000,2017-04-17,0.42,0.4,54133722,29214000,6844000,0.4159883925956541,22370000
2017-06-30,68343000,24133000,2017-07-17,0.45,0.42,54100604,17051000,6140000,0.4460763506448098,10911000
2017-09-30,72431000,25259000,2017-10-16,0.47,0.45,54099672,34906000,4087000,0.4668974702841082,30819000
2017-12-31,72191000,21119000,2018-01-22,0.45,0.48,54151282,37293000,4083000,0.3900000003693357,33210000
2018-03-31,78424000,32603000,2018-04-16,0.6,0.57,54183400,38885000,556000,0.6017156546100836,38329000
2018-06-30,83337000,33509000,2018-07-19,0.62,0.59,54196023,38188000,522000,0.6182926005474608,37666000
2018-09-30,89123000,34560000,2018-10-17,0.64,0.62,54191222,38973000,452000,0.6377416622935722,38521000
2018-12-31,88220000,36205000,2019-01-22,0.67,0.68,54037000,52255000,770000,0.6700038862261043,51485000
2019-03-31,98643000,35010000,2019-04-15,0.65,0.64,54077000,41674000,759000,0.6474101743809753,40915000
2019-06-30,103565000,35602000,2019-07-15,0.66,0.65,54089000,19627000,459000,0.6582114662870454,19168000
2019-09-30,107340000,37563000,2019-10-21,0.67,0.66,54096000,41533000,304000,0.6943766637089619,41229000
2019-12-31,98580000,41005000,2020-01-21,0.76,0.68,54150000,61441000,834000,0.7572483841181902,60607000
2020-03-31,103441000,34778000,2020-04-20,0.64,0.63,54167000,52232000,417000,0.6420514335296398,51815000
2020-06-30,102113000,40417000,2020-07-20,0.75,0.7,54195000,52402000,517000,0.7457699049727835,51885000
2020-09-30,104282000,43362000,2020-10-19,0.8,0.71,54233000,12866000,631000,0.7995500894289455,12235000
2020-12-31,104061000,50949000,2021-01-25,0.94,0.81,54273944,73790000,740000,0.9387377486331194,73050000
2021-03-31,108859000,51455000,2021-04-19,0.95,0.95,54381991,66760000,2518000,0.9461772004632931,64242000
2021-06-30,112317000,49996000,2021-07-19,0.92,0.93,54460230,62693000,12281000,0.9180277057221389,50412000
2021-09-30,112262000,52499000,2021-10-18,0.96,0.96,54477740,66033000,5741000,0.9636780086692289,60292000
2021-12-31,103990000,53722000,2022-01-24,1.03,0.98,54493959,70845000,391000,0.9858340444672041,70454000
2022-03-31,121136000,57613000,2022-04-18,1.06,1.05,54522000,69265000,666000,1.0566927111991489,68599000
2022-06-30,136061000,62105000,2022-07-18,1.14,1.13,54532385,56734000,614000,1.13886454810293,56120000
2022-09-30,158238000,64031000,2022-10-17,1.22,1.23,54547000,70686000,655000,1.1738684070618,70031000
2022-12-31,165027000,67724000,2023-01-23,1.24,1.24,54535000,73842000,1715000,1.2418446868983222,72127000
2023-03-31,187643000,57971000,2023-04-17,1.06,1.05,54534482,55149000,1314000,1.063015506409321,53835000
2023-06-30,198238000,53468000,2023-07-20,0.98,0.89,54505726,38344000,633000,0.980961156264573,37711000
2023-09-30,221341000,53340000,2023-10-16,0.98,0.96,54531000,12719000,960000,0.9781592121912307,11759000
2023-12-31,221593000,42074000,2024-01-29,0.91,0.88,54535000,91084000,1003000,0.7715045383698542,90081000
2024-03-31,235618000,50026000,2024-04-22,0.94,0.86,54595000,53473000,1077000,0.9163110174924444,52396000
2024-06-30,236431000,52136000,2024-07-15,0.95,0.91,54595000,48251000,1038000,0.9549592453521385,47213000
2024-09-30,256528000,59907000,2024-10-21,1.1,0.98,54643000,84023000,3584000,1.0963343886682648,80439000
2024-12-31,248636000,65173000,2025-01-27,1.19,1.11,54650000,67168000,1053000,1.1925526075022872,66115000
2025-03-31,249373000,63224000,2025-04-21,1.16,1.18,54503000,47954000,1469000,1.1600095407592244,46485000
2025-06-30,247056000,61424000,2025-07-21,1.21,1.21,54664480,67596000,1601000,1.1236547022856525,65995000
2025-09-30,254141000,65571000,2025-10-20,1.3,1.34,54667955,140897000,3070000,1.19944124487554,137827000
