fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2015-03-31,37348000,-4530000,2015-05-27,-0.0598,,667374000,3966000,3544000,-0.0067877981461669165,422000
2015-06-30,44926000,-3296000,2015-07-30,-0.03,-0.01,530405000,6700000,3488000,-0.00621411939932693,3212000
2015-09-30,52786000,-4657000,2015-11-04,-0.03,-0.01,759018000,133000,6732000,-0.006135559367498531,-6599000
2015-12-31,70173000,-6307000,2016-02-17,-0.01,-0.01,779966000,4957000,7272000,-0.008086249913457766,-2315000
2016-03-31,72722000,-8929000,2016-05-04,-0.01,-0.01,804885000,655000,3045000,-0.011093510253017512,-2390000
2016-06-30,86647000,-8439000,2016-08-03,-0.04,-0.01,813492000,5550000,8268000,-0.01037379593161334,-2718000
2016-09-30,99578000,-9120000,2016-11-02,-0.02,-0.03,849128000,1097000,5977000,-0.0107404301824931,-4880000
2016-12-31,130383000,-8867000,2017-02-15,-0.0995,-0.02,891372000,6715000,8946000,-0.009947586417343153,-2231000
2017-03-31,127379000,-13598000,2017-05-02,-0.04,-0.01,902429000,3999000,3557000,-0.015068221433486734,442000
2017-06-30,151655000,-14030000,2017-08-01,-0.01,-0.01,942905000,-8858000,3757000,-0.014879547780529322,-12615000
2017-09-30,171456000,-9380000,2017-10-31,0.01,-0.02,987780000,-6235000,4826000,-0.009496041628702748,-11061000
2017-12-31,222814000,-2987000,2018-02-15,0.02,0.05,995518000,18995000,12122000,-0.0030004480079717294,6873000
2018-03-31,214340000,-15902000,2018-05-01,0.04,-0.01,1022566000,-1875000,10852000,-0.015551074453873883,-12727000
2018-06-30,244963000,-23953000,2018-07-31,0.02,-0.03,1059781000,-922000,13608000,-0.022601839436638325,-14530000
2018-09-30,270064000,-23184000,2018-10-25,0.04,-0.02,1066472000,2864000,8300000,-0.02173896736154348,-5436000
2018-12-31,343862000,-1514000,2019-02-12,0.03,0.02,1077345000,9257000,8785000,-0.0014053065638212458,472000
2019-03-31,320482000,-24151000,2019-04-30,0.01,-0.04,1109213000,24344000,10992000,-0.021773094978151174,13352000
2019-06-30,361979000,-28678000,2019-08-01,0.01,0.03,1120134000,23058000,21380000,-0.025602294011252226,1678000
2019-09-30,390552000,-72784000,2019-10-29,0.02,0.01,1130870000,-29675000,16469000,-0.0643610671429961,-46144000
2019-12-31,505160000,771000,2020-02-12,0.04,0.02,1160272000,52888000,13556000,0.0006644993587710468,39332000
2020-03-31,470001000,-31429000,2020-05-06,0.02,-0.02,1168065000,-84955000,16959000,-0.026906893023932742,-101914000
2020-06-30,714341000,35998000,2020-07-29,0.11,0.01,1227500000,175190000,8632000,0.029326272912423627,166558000
2020-09-30,767405000,191068000,2020-10-29,0.11,0.05,1249083000,89357000,10048000,0.1529666163097248,79309000
2020-12-31,977744000,123872000,2021-02-17,0.16,0.13,1254549000,245366000,6356000,0.09873827168169597,239010000
2021-03-31,988647000,1258445000,2021-04-28,0.2,0.07,1266744000,135683000,5188000,0.9934485578775191,130495000
2021-06-30,1119445000,879093000,2021-07-28,0.22,0.1,1274751000,66421000,8263000,0.6896193844915596,58158000
2021-09-30,1123740000,1148432000,2021-10-28,0.08,0.12,1276192000,41866000,11362000,0.8998896717735262,30504000
2021-12-31,1380024000,-371311000,2022-02-16,0.14,0.13,1257348000,260458000,25975000,-0.2953128330422445,234483000
2022-03-31,1204000000,-1474000000,2022-05-05,0.02,0.06,1260131000,-25000000,16000000,-1.1697196561309895,-41000000
2022-06-30,1295000000,-1204000000,2022-07-27,-0.03,0.02,1262012000,-75000000,12000000,-0.9540321328164867,-87000000
2022-09-30,1366000000,-159000000,2022-10-27,-0.02,-0.07,1269425000,-134000000,14000000,-0.12525355968253343,-148000000
2022-12-31,1734978000,-623694000,2023-02-15,0.07,-0.01,1273339000,255385000,7624000,-0.48980986210270794,247761000
2023-03-31,1508000000,68000000,2023-05-04,0.01,-0.04,1291682000,100000000,14000000,0.052644536348729794,86000000
2023-06-30,1694000000,-1311000000,2023-08-02,0.14,0.05,1280408000,118000000,21000000,-1.0238923843025036,97000000
2023-09-30,1714000000,718000000,2023-11-02,0.24,0.14,1295830000,278000000,2000000,0.5540850265852774,276000000
2023-12-31,2144000000,657000000,2024-02-13,0.34,0.31,1297296000,448000000,2000000,0.5064380064380064,446000000
2024-03-31,1861000000,-273000000,2024-05-08,0.2,0.17,1287377000,238000000,6000000,-0.21205909380080581,232000000
2024-06-30,2045000000,171000000,2024-08-07,0.26,0.2,1299913000,340000000,7000000,0.13154726508620193,333000000
2024-09-30,2162000000,828000000,2024-11-12,0.64,0.18,1301601000,423000000,2000000,0.6361396464815254,421000000
2024-12-31,2812000000,1293000000,2025-02-11,0.44,0.43,1294580140,615000000,4000000,0.9987794189396417,611000000
2025-03-31,2360000000,-682000000,2025-05-08,0.25,0.26,1295377000,367000000,4000000,-0.5264876557172159,363000000
2025-06-30,2680000000,906000000,2025-08-06,0.35,0.2885,1308993838,436076154,6134801,0.6921346561755167,429941353
2025-09-30,2844000000,264000000,2025-11-12,0.34,0.34,1312872709,513000000,6000000,0.20108575506995324,507000000
