fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2010-03-31,3764446000000,375587000000,2010-05-14,0.4921,,406816282,943866000000,81026000000,923.2349259806666,862840000000
2010-06-30,3823587000000,457655000000,2010-08-21,0.5859,,441377614,519250000000,339725000000,1036.8785943910605,179525000000
2010-09-30,3987965000000,489023000000,2010-11-14,0.6204,,404812076,542878000000,540506000000,1208.0247329380559,2372000000
2010-12-31,6147808000000,330004000000,2011-02-21,0.1021,,400526434,2015027000000,1310070000000,823.9256438190544,704957000000
2011-03-31,3908861000000,542534000000,2011-04-10,0.736,,400526434,1506579000000,302896000000,1354.552294044093,1203683000000
2011-06-30,4037588000000,467794000000,2011-08-17,0.6565,,414304423,1635801000000,911805000000,1129.1069417330357,723996000000
2011-09-30,4045352000000,386166000000,2011-11-17,0.5462,,397269415,1264523000000,616757000000,972.0506674293061,647766000000
2011-12-31,3973663000000,216395000000,2012-02-17,0.2943,,393589836,1899492000000,1813820000000,549.7982422493247,85672000000
2012-03-31,3969711000000,306424000000,2012-05-02,0.7013,,393589836,1221168000000,563683000000,778.5363644400614,657485000000
2012-06-30,4007863000000,143396000000,2012-08-02,0.3031,,380971472,781231000000,699950000000,376.3956373090319,81281000000
2012-09-30,4084360000000,178872000000,2012-11-06,0.4144,,380971472,1081946000000,965648000000,469.51547070170125,116298000000
2012-12-31,4197388000000,523013000000,2013-02-05,1.1865,,380971472,915319000000,1311317000000,1372.8403264798787,-395998000000
2013-03-31,4065654000000,354154000000,2013-05-02,0.8497,,380971472,674148000000,539363000000,929.6076636415443,134785000000
2013-06-30,4116965000000,466645000000,2013-07-30,1.0849,,381941400,700429000000,592700000000,1221.7711931725653,107729000000
2013-09-30,4124594000000,504026000000,2013-10-29,0.3932,,385524725,807301000000,728787000000,1307.376589140943,78514000000
2013-12-31,4294841000000,314140000000,2014-01-28,0.248,,387756952,1376692000000,1261439000000,810.1466611487084,115253000000
2014-03-31,4201920000000,269814000000,2014-04-29,0.2147,,387756633,389446000000,646888000000,695.8333579299467,-257442000000
2014-06-30,4305368000000,498536000000,2014-08-01,0.4075,,395334705,986582000000,722782000000,1261.0479011702248,263800000000
2014-09-30,4367484000000,531548000000,2014-10-28,0.8068,,387772713,923739000000,809579000000,1370.7720584248536,114160000000
2014-12-31,4289026000000,501280000000,2015-01-29,0.7071,,387756633,1377618000000,959444000000,1292.769632647393,418174000000
2015-03-31,4240286000000,444495000000,2015-05-05,0.6329,,387211257,465612000000,598027000000,1147.9392501236089,-132415000000
2015-06-30,4255739000000,395839000000,2015-07-29,0.5498,,398671259,948439000000,545104000000,992.8957532401402,403335000000
2015-09-30,4261360000000,382251000000,2015-11-02,0.4959,,397013918,1229892000000,642553000000,962.8151121895933,587339000000
