fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,0,17981.0,2005-11-09,0.0003,,51624876,-555125.7,5170120.52,0.00034830107872801475,-5725246.22
2006-03-31,0,-927491.85,2006-05-16,-0.0175,,53601000,-1049688.63,9906939.44,-0.01730362959646275,-10956628.07
2006-06-30,0,14780550.0,2006-08-14,-0.04,-0.02,58695619,-1075691.02,9112356.02,0.2518169201009704,-10188047.04
2006-09-30,0,2413360.0,2006-11-08,-0.01,-0.03,62485213,1032310.0,8480598.86,0.03862289786865254,-7448288.859999999
2006-12-31,0,-2140582.58,2007-03-05,-0.02,-0.03,61465594,-2190121.49,9379783.96,-0.03482570395398766,-11569905.450000001
2007-03-31,0,-1356454.58,2007-05-14,-0.03,-0.06,61815000,1410433.0,8344646.32,-0.021943777076761307,-6934213.32
2007-06-30,0,-4671085.02,2007-08-10,-0.08,-0.06,62102000,2591784.0,35178603.09,-0.0752163379601301,-32586819.090000004
2007-09-30,0,-12992282.43,2007-11-06,-0.2,-0.06,62124137,-9874769.31,17502441.56,-0.2091342118764563,-27377210.869999997
2007-12-31,0,-14882284.43,2008-03-10,-0.23,-0.12,62124137,1297434.0,28143952.57,-0.23955720189722715,-26846518.57
2008-03-31,0,2328000.0,2008-05-15,0.03,0.29,63576000,-8052000.0,18294342.76,0.03661759154397886,-26346342.76
2008-06-30,0,-5913000.0,2008-08-07,-0.09,-0.04,62693000,-76000.0,47675701.46,-0.09431674987638174,-47751701.46
2008-09-30,0,11951000.0,2008-11-05,0.17,-0.07,63070000,-10908000.0,48376713.77,0.1894878706199461,-59284713.77
2008-12-31,-17903,-15148984.92,2009-03-10,-0.23,-0.14,62291533,18219957.0,36159404.71,-0.24319492859487019,-17939447.71
2009-03-31,0,-2598000.0,2009-05-14,-0.04,-0.05,64715000,-4006000.0,49568000.0,-0.04014525225990883,-53574000.0
2009-06-30,0,-1374000.0,2009-08-06,-0.02,-0.05,68641000,-9390000.0,43047000.0,-0.020017190891741088,-52437000.0
2009-09-30,0,-95000.0,2009-11-05,-0.058,-0.1,70143000,-5677000.0,45694000.0,-0.0013543760603338894,-51371000.0
2009-12-31,5442000,-9126000.0,2010-03-05,-0.13,-0.11,70143000,-20870000.0,13885000.0,-0.13010564133270605,-34755000.0
2010-03-31,11531000,-3376000.0,2010-05-10,-0.1,-0.1,75248000,-16198000.0,21241000.0,-0.04486497980012758,-37439000.0
2010-06-30,14091000,-9385000.0,2010-08-05,-0.19,-0.12,78733000,-9560000.0,31643000.0,-0.11920033531047972,-41203000.0
2010-09-30,41557000,-10407000.0,2010-11-04,-0.1,-0.05,78767000,6970000.0,31463000.0,-0.1321238589764749,-24493000.0
2010-12-31,45077000,376575000.0,2011-03-01,0.13,0.12,78767000,7678000.0,31435000.0,4.780872700496401,-23757000.0
2011-03-31,60053000,9943000.0,2011-05-10,0.12,0.09,80518000,21759000.0,14462000.0,0.12348791574554759,7297000.0
2011-06-30,47271000,45765000.0,2011-08-10,0.57,0.17,80809000,6980000.0,14185000.0,0.5663354329344503,-7205000.0
2011-09-30,26152000,21836000.0,2011-11-10,0.27,0.11,80897000,-15834000.0,16286000.0,0.2699234829474517,-32120000.0
2011-12-31,14369000,2583000.0,2012-03-12,-0.09,-0.12,80549000,-7224000.0,20501000.0,0.03206743721213175,-27725000.0
2012-03-31,38406000,-1039000.0,2012-05-08,-0.05,0.04,80737000,-12379000.0,14326000.0,-0.01286894484560982,-26705000.0
2012-06-30,42412000,35017000.0,2012-08-08,-0.02,0.02,80765000,21168000.0,16991000.0,0.4335665201510555,4177000.0
2012-09-30,73524000,-1597000.0,2012-11-07,-0.03,0.01,80748000,1247000.0,13694000.0,-0.019777579630455244,-12447000.0
2012-12-31,86778000,23849000.0,2013-02-28,0.3,0.03,80773000,13305000.0,16987000.0,0.2952595545541208,-3682000.0
2013-03-31,49062000,-4559000.0,2013-05-08,-0.06,-0.02,80752000,8947000.0,14722000.0,-0.05645680602338023,-5775000.0
2013-06-30,32654000,-235945000.0,2013-08-07,-0.42,-0.08,80755000,2287000.0,13461000.0,-2.9217385920376446,-11174000.0
2013-09-30,43944000,-14306000.0,2013-11-05,-0.16,-0.13,80754000,-3935000.0,10521000.0,-0.17715531119201525,-14456000.0
2013-12-31,49026000,24794000.0,2014-02-20,-0.21,-0.04,80755000,14516000.0,9503000.0,0.30702742864218935,5013000.0
2014-03-31,33736000,-12439000.0,2014-05-08,-0.26,-0.17,80754000,-1495000.0,1952000.0,-0.15403571340119374,-3447000.0
2014-06-30,64287000,-10157000.0,2014-08-06,-0.02,-0.2,80754000,-5041000.0,279983000.0,-0.12577705129157687,-285024000.0
2014-09-30,79269000,-17576000.0,2014-11-05,-0.19,0.02,80754000,13186000.0,7891000.0,-0.21764866136661962,5295000.0
2014-12-31,122830000,-87608000.0,2015-02-19,-0.08,0.2,80754000,63777000.0,4346000.0,-1.0848750526289719,59431000.0
2015-03-31,111721000,9096000.0,2015-05-12,0.08,0.05,94141000,30807000.0,6148000.0,0.09662102590794659,24659000.0
2015-06-30,95818000,-7327000.0,2015-08-06,-0.02,0.02,80754000,21897000.0,8540000.0,-0.09073234762364712,13357000.0
2015-09-30,77191000,-59416000.0,2015-11-05,-0.13,-0.08,80754000,998000.0,13023000.0,-0.7357654110013127,-12025000.0
2015-12-31,90592000,-66722000.0,2016-02-25,-0.09,-0.02,80818000,20549000.0,9569000.0,-0.8255834096364671,10980000.0
2016-03-31,101513000,2300000.0,2016-05-11,0.11,-0.02,81075000,12724000.0,5073000.0,0.028368794326241134,7651000.0
2016-06-30,118775000,12482000.0,2016-08-10,0.25,0.09,94870000,30162000.0,21327000.0,0.13156951618003584,8835000.0
2016-09-30,143381000,38042000.0,2016-11-08,0.31,0.27,134336000,53066000.0,12068000.0,0.2831854454502144,40998000.0
2016-12-31,127317000,12132000.0,2017-02-23,0.26,0.18,119163000,74130000.0,43659000.0,0.10181012562624304,30471000.0
2017-03-31,117905000,15047000.0,2017-05-03,0.17,0.12,120789000,30643000.0,15488000.0,0.12457260180976745,15155000.0
2017-06-30,116982000,37319000.0,2017-08-10,0.11,0.09,134044000,38614000.0,11614000.0,0.27840858225657245,27000000.0
2017-09-30,106005000,1067000.0,2017-11-07,0.04,0.04,120543000,30292000.0,14920000.0,0.008851613117310836,15372000.0
2017-12-31,107881000,15883000.0,2018-02-22,0.02,0.07,119591000,45175000.0,9737000.0,0.1328109974830882,35438000.0
2018-03-31,97902000,-1626000.0,2018-05-10,0.05,0.01,119882000,11007000.0,11677000.0,-0.0135633372816603,-670000.0
2018-06-30,104028000,5117000.0,2018-08-09,0.1,0.02,120995000,17132000.0,12230000.0,0.04229100376048597,4902000.0
2018-09-30,115033000,6374000.0,2018-11-08,0.09,0.02,120975000,35374000.0,39524000.0,0.05268857201901219,-4150000.0
2018-12-31,103712000,-3486000.0,2019-02-21,0.04,0.01,120356000,-3744000.0,11805000.0,-0.02896407324936023,-15549000.0
2019-03-31,126250000,6464000.0,2019-05-09,0.14,0.1,121989000,-303000.0,24899883.0,0.05298838419857528,-25202883.0
2019-06-30,155149000,10631000.0,2019-08-08,0.15,0.12,122011000,33367000.0,48263000.0,0.08713148814451156,-14896000.0
2019-09-30,147848000,20741000.0,2019-11-05,0.23,0.19,122841000,54780000.0,27266000.0,0.1688442783761122,27514000.0
