fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,10031696111,1416573843,2005-11-11,0.3497,,4877900001,,0,0.29040649515356887,
2005-12-31,10480231072,1192959258,2006-03-01,0.2904,,4877901000,13190970000.0,5237977000,0.24456405695810554,7952993000.0
2006-03-31,12030295820,1169864180,2006-05-12,0.3185,,4754900001,,0,0.24603339286924364,
2010-03-31,13932000000,1656000000,2010-05-12,0.4935,,4543000000,2953000000.0,1969000000,0.3645168390931103,984000000.0
2010-06-30,15304000000,2120000000,2010-07-29,0.5827,,4521000000,4155000000.0,3059000000,0.46892280468922803,1096000000.0
2010-09-30,15227000000,5059000000,2010-12-31,0.3959,,4514000000,4526000000.0,2089000000,1.1207354895879487,2437000000.0
2010-12-31,16457000000,1332000000,2011-03-31,0.5091,,4512000000,2559000000.0,1827000000,0.29521276595744683,732000000.0
2011-03-31,15604000000,1624000000,2011-06-30,0.4935,,4524000000,3164000000.0,2433000000,0.358974358974359,731000000.0
2011-06-30,15634000000,1538000000,2011-09-30,-0.1259,,4598000000,2439000000.0,2127000000,0.33449325793823403,312000000.0
2011-09-30,15786000000,-429000000,2011-12-31,0.7729,,4581000000,2598000000.0,2141000000,-0.09364767518009168,457000000.0
2011-12-31,16165000000,2670000000,2012-03-31,0.2194,,4488000000,-46046000000.0,2384000000,0.5949197860962567,-48430000000.0
2012-03-31,15923000000,748000000,2012-06-30,0.3736,,4545000000,2468000000.0,2739000000,0.1645764576457646,-271000000.0
2012-06-30,15678000000,1327000000,2012-09-30,0.3968,,4503000000,2562000000.0,2564000000,0.29469242727070843,-2000000.0
2012-09-30,15724000000,1380000000,2012-12-31,0.1352,,4467000000,,0,0.3089321692411014,
2012-12-31,15256000000,473000000,2013-03-31,0.2577,,4467000000,20059862000.0,12501647000,0.10588762032684128,7558215000.0
2013-03-31,14141000000,902000000,2013-06-30,0.3303,,4485000000,,0,0.20111482720178372,
2013-06-30,14421000000,1154000000,2013-09-30,0.3262,,4541000000,,0,0.25412904646553625,
2013-09-30,14063000000,1089000000,2013-12-31,0.4316,,4518000000,,0,0.2410358565737052,
2013-12-31,14436000000,1448000000,2014-03-31,0.1778,,4534000000,19764598000.0,13329805000,0.31936479929422146,6434793000.0
2014-03-31,12232000000,688000000,2014-06-30,0.3131,,4612000000,3233462000.0,2997875000,0.1491760624457936,235587000.0
2014-06-30,12725000000,1110000000,2014-09-30,0.2061,,4580000000,7641758000.0,5825095000,0.2423580786026201,1816663000.0
2014-09-30,13021000000,900000000,2014-11-12,-0.0003,,4569000000,,0,0.1969796454366382,
2014-12-31,12399000000,152000000,2015-02-25,0.1126,,4665000000,14754749000.0,11138971000,0.032583065380493034,3615778000.0
2015-03-31,11543000000,1802000000,2015-05-14,0.3677,,4753000000,,0,0.3791289711760993,
2015-06-30,11876000000,1525000000,2015-07-30,0.1584,,4973000000,6423589000.0,6231740000,0.30665594208727126,191849000.0
2015-09-30,11919000000,710000000,2015-11-06,-0.5452,,5003000000,,0,0.1419148510893464,
2015-12-31,11881000000,-1832000000,2016-02-26,0.123,,4974000000,776000000.0,2279000000,-0.36831523924406917,-1503000000.0
2016-03-31,10784000000,776000000,2016-04-29,0.1524,,5073000000,2036000000.0,2279000000,0.1529666863788685,-243000000.0
2016-06-30,14451000000,465000000,2016-07-28,0.2186,,4931000000,2637000000.0,2400000000,0.0943013587507605,237000000.0
2016-09-30,13080000000,983000000,2016-10-27,0.2039,,5052000000,3908000000.0,2550000000,0.19457640538400633,1358000000.0
2016-12-31,13721000000,144000000,2017-02-23,0.1391,,5053000000,4069000000.0,1958000000,0.0284979220265189,2111000000.0
2017-03-31,13132000000,779000000,2017-05-10,0.15,,5062000000,2451000000.0,2285000000,0.15389174239431055,166000000.0
2017-06-30,12960000000,821000000,2017-07-27,0.2333,,5123000000,2358000000.0,2120000000,0.16025766152644935,238000000.0
2017-09-30,12754000000,839000000,2017-10-26,0.2224,,5125000000,2322000000.0,2389000000,0.16370731707317074,-67000000.0
2017-12-31,13162000000,693000000,2018-02-22,0.2218,,5125000000,2265000000.0,2198000000,0.13521951219512196,67000000.0
2018-03-31,12190000000,837000000,2018-04-26,0.15,0.17,5127000000,2227000000.0,2114000000,0.16325336454066705,113000000.0
2018-06-30,12144000000,902000000,2018-07-26,0.1866,0.2,5127000000,3479000000.0,2468000000,0.17593134386580847,1011000000.0
2018-09-30,11699000000,1139000000,2018-10-31,0.2379,0.19,5127000000,2112000000.0,1865000000,0.22215720694363175,247000000.0
2018-12-31,12917000000,610000000,2019-02-21,0.261,0.14,5127000000,2468000000.0,2138000000,0.11897795982055782,330000000.0
2019-03-31,11979000000,926000000,2019-05-10,0.1799,0.2,5127000000,2614000000.0,2028000000,0.1806124439243222,586000000.0
2019-06-30,12142000000,862000000,2019-07-25,0.212,0.21,5122000000,3632000000.0,2173000000,0.16829363529871144,1459000000.0
2019-09-30,11902000000,-443000000,2019-11-05,0.1547,-0.08,5249000000,2580000000.0,2179000000,-0.08439702800533434,401000000.0
2019-12-31,12399000000,-202000000,2020-02-20,0.1945,0.13,5114000000,3964000000.0,1279000000,-0.039499413375048885,2685000000.0
2020-03-31,11366000000,406000000,2020-05-07,0.0663,0.26,5132000000,2259000000.0,1749000000,0.07911145752143414,510000000.0
2020-06-30,10340000000,425000000,2020-07-30,0.1415,0.12,5164000000,3311280020.0,1904350270,0.08230054221533695,1406929750.0
2020-09-30,10461000000,-160000000,2020-10-29,0.1515,0.1346,5679000000,4160439867.0,2060356417,-0.02817397429124846,2100083450.0
2020-12-31,10909000000,911000000,2021-02-25,0.22,0.2329,5435000000,5148452967.0,2728849127,0.16761729530818767,2419603840.0
2021-03-31,10340000000,886000000,2021-06-22,0.1811,0.1566,5763000000,2556000000.0,2184000000,0.15373937185493666,372000000.0
2021-06-30,9965000000,7743000000,2021-07-29,0.107,0.1418,5581000000,2556000000.0,1366000000,1.387385773158932,1190000000.0
2021-09-30,9298000000,706000000,2021-11-04,0.1385,0.0684,6418181818,2432000000.0,1683000000,0.11000000000311615,749000000.0
2021-12-31,9674000000,-1198000000,2022-02-24,-0.25,-0.14,5668000000,2724000000.0,1584000000,-0.2113620324629499,1140000000.0
2022-03-31,9410000000,706000000,2022-05-12,0.1248,0.1178,5634000000,2003000000.0,1104000000,0.1253106141285055,899000000.0
2022-06-30,10040000000,320000000,2022-07-28,0.0509,0.05,5634000000,2943697392.0,2047461072,0.05679801206957757,896236320.0
2022-09-30,10343000000,460000000,2022-11-04,0.0198,0.0887,6571428571,2859000000.0,1387000000,0.07000000000456522,1472000000.0
2022-12-31,10200000000,525000000,2023-02-23,0.1272,0.1064,5699000000,2651000000.0,1707000000,0.09212142481137042,944000000.0
2023-03-31,10045000000,298000000,2023-05-11,0.0983,0.1,5682000000,298000000.0,1402000000,0.05244632171770503,-1104000000.0
2023-06-30,10133000000,462000000,2023-07-27,0.06,0.1,5675000000,2978000000.0,1640000000,0.08140969162995594,1338000000.0
2023-09-30,10321000000,502000000,2023-11-07,0.0964,0.1,5665000000,2959000000.0,1468000000,0.08861429832303619,1491000000.0
2023-12-31,10153000000,-2154000000,2024-02-22,-0.4216,-0.42,5651000000,3548350170.0,1377255800,-0.3811714740753849,2171094370.0
2024-03-31,10140000000,532000000,2024-05-09,0.1025,0.0988,5633000000,2233000000.0,1408000000,0.09444345819279247,825000000.0
2024-06-30,10255000000,447000000,2024-07-31,0.0854,0.1,5633500000,2616534733.0,1434761623,0.07934676488861277,1181773110.0
2024-09-30,10023000000,10000000,2024-11-06,0.002,0.0982,5634000000,2746240859.0,1042170599,0.001774937877174299,1704070260.0
2024-12-31,10897000000,-1038000000,2025-02-27,-0.1978,0.1061,5634000000,3874000000.0,1716000000,-0.18423855165069222,2158000000.0
2025-03-31,9221000000,-1304000000,2025-05-14,0.06,,5637000000,1837000000.0,1408000000,-0.23132872095086038,429000000.0
2025-06-30,8792000000,-51000000,2025-07-30,0.02,0.1004,5637918350,2899360822.0,1461262432,-0.009045891911506664,1438098390.0
2025-09-30,9360000000,276000000,2025-11-04,0.0572,0.1135,5637000000,2443828483.0,1579651773,0.04896221394358701,864176710.0
