fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,171872000,4900000,2005-11-03,0.25,0.3,31075000,-12917000,3331000,0.1576830249396621,-16248000
2005-12-31,184476000,-5648000,2006-02-15,0.13,0.11,31190000,20889000,3177000,-0.1810836806668804,17712000
2006-03-31,172724000,7399000,2006-05-11,0.26,0.21,31190000,30858000,1787000,0.23722346906059635,29071000
2006-06-30,232118000,6594000,2006-08-10,0.25,0.26,31231000,9823000,2600000,0.21113637091351542,7223000
2006-09-30,251684000,8258000,2006-11-09,0.24,0.19,31277000,-16497000,2959000,0.26402787991175625,-19456000
2006-12-31,282870000,22605000,2007-02-14,0.3,0.32,31313000,35442000,4028000,0.7219046402452656,31414000
2007-03-31,258984000,7414000,2007-05-09,0.24,0.31,31313000,50716000,2518000,0.2367706703286175,48198000
2007-06-30,256031000,9362000,2007-08-02,0.29,0.28,31312000,11848000,3786000,0.2989908022483393,8062000
2007-09-30,271951000,10568000,2007-11-08,0.34,0.32,31290000,-22532000,8040000,0.33774368807925853,-30572000
2007-12-31,370936000,14278000,2008-02-14,0.45,0.43,31308000,56370000,5470000,0.45604957199437846,50900000
2008-03-31,360623000,2061000,2008-05-08,0.31,0.25,31308000,32618000,7597000,0.06582981985435032,25021000
2008-06-30,367369000,8292000,2008-08-04,0.31,0.3,31341000,23297000,22086000,0.2645735617880731,1211000
2008-09-30,374576000,11080000,2008-11-03,0.41,0.4,31514000,36777000,11116000,0.35158976962619787,25661000
2008-12-31,398082000,6791000,2009-02-12,0.55,0.51,32343000,82944000,14672000,0.20996815385091055,68272000
2009-03-31,355396000,12732000,2009-05-07,0.41,0.36,32343000,8826000,13943000,0.3936555050551897,-5117000
2009-06-30,372605000,18425000,2009-08-06,0.5,0.36,31752000,6203000,8610000,0.58027840765936,-2407000
2009-09-30,378865000,28064000,2009-11-03,0.54,0.5,33129000,13898000,8324000,0.8471128014730297,5574000
2009-12-31,404787000,22093000,2010-02-11,0.78,0.66,34614000,75917000,6110000,0.6382677529323395,69807000
2010-03-31,397124000,16319000,2010-05-06,0.59,0.51,34614000,54112000,10942000,0.4714566360432195,43170000
2010-06-30,446195000,21652000,2010-08-05,0.7,0.62,35994000,62650000,12297000,0.6015447018947603,50353000
2010-09-30,464242000,24867000,2010-11-05,0.69,0.64,36373000,33890000,24026000,0.683666455887609,9864000
2010-12-31,509463000,28081000,2011-02-10,0.8,0.78,36785000,93999000,14388000,0.763381813239092,79611000
2011-03-31,493513000,19808000,2011-05-05,0.59,0.67,36785000,32748000,14728000,0.5384803588419192,18020000
2011-06-30,492620000,14345000,2011-08-04,0.43,0.43,36950000,38288000,21294000,0.3882273342354533,16994000
2011-09-30,528050000,30390000,2011-11-04,0.85,0.83,36911000,-20157000,24410000,0.8233317981089648,-44567000
2011-12-31,535802000,29864000,2012-02-10,0.85,0.87,37094000,105192000,17364000,0.8050897719307705,87828000
2012-03-31,523811000,22074000,2012-05-08,0.63,0.61,37094000,52234000,18073000,0.5950827627109505,34161000
2012-06-30,527421000,19511000,2012-08-08,0.6,0.58,37132000,42384000,16248000,0.525449746849079,26136000
2012-09-30,538112000,21554000,2012-11-06,0.7,0.78,37074000,9952000,17030000,0.5813777849705993,-7078000
2012-12-31,592781000,25224000,2013-02-21,0.86,0.86,37137000,99989000,28169000,0.6792147992568058,71820000
2013-03-31,540110000,22974000,2013-05-09,0.74,0.7,37234000,56986000,14848000,0.6170167051619487,42138000
2013-06-30,526346000,18565000,2013-08-08,0.65,0.63,37373000,13056000,24048000,0.49674898991250366,-10992000
