fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2017-12-31,6088322,-2142154,2018-03-31,-0.0677,0.0,107737956,1713000.0,90513,-0.019883002049899665,1622487.0
2018-03-31,7996540,-2001993,2018-06-30,-1.1453,0.0,107737956,-14895213.0,420850,-0.018582058490138796,-15316063.0
2018-06-30,6864053,-36017419,2018-09-30,-0.0873,0.0,107737956,-14895213.0,420850,-0.3343057575734962,-15316063.0
2018-09-30,9189288,-3223878,2018-12-31,-0.0531,0.0,107737956,-14895210.0,420850,-0.0299233261859915,-15316060.0
2018-12-31,9514640,-1964442,2019-03-20,-0.02,0.0,133033207,-14895213.0,420850,-0.014766553737218408,-15316063.0
2019-03-31,9795229,-2874273,2019-05-17,-0.06,,134423840,0.0,0,-0.021382167032276418,0.0
2019-06-30,13568929,-1878451,2019-08-23,-0.014,,135814472,,0,-0.013831007641070828,
2019-09-30,15328823,-1279739,2019-11-25,-0.009,,140181599,,0,-0.009129151109198005,
2019-12-31,19969919,-556968,2020-03-25,-0.004,,140981004,,0,-0.003950659905926049,
2020-03-31,22863461,-153078,2020-05-28,0.03,,142914154,,0,-0.001071118540155232,
2020-06-30,30096593,1090211,2020-08-18,0.02,,142783496,,0,0.007635413269331912,
2020-09-30,38088546,4773882,2020-11-25,0.04,,144070136,,0,0.033135819348431794,
2020-12-31,47236080,8494639,2021-03-26,0.07,0.04,144502750,14895210.0,420850,0.05878531031416357,14474360.0
2021-03-31,81277374,21056328,2021-05-25,0.143,,147364386,14895210.0,420849,0.14288613803880673,14474361.0
2021-06-30,60234380,-21506914,2021-09-10,-0.15,0.09,144357366,,0,-0.14898383501954449,
2021-09-30,60781750,20520403,2021-11-30,0.13,0.1,161494265,,0,0.1270658310993273,
2022-03-31,52628703,-5878583,2022-06-10,-0.013,-0.01,151950773,535295910210.0,977721150,-0.038687417536204305,534318189060.0
2022-06-30,53476112,-887050,2022-09-07,0.022,0.02,152919589,4355016.0,0,-0.0058007610784253415,4355016.0
2022-09-30,55406375,3336472,2022-11-23,0.041,0.04,161662699,4952042.0,0,0.020638477649071046,4952042.0
2022-12-31,66325676,7963433,2023-03-29,0.029,0.03,160315846,4865572.0,0,0.04967339909742921,4865572.0
2023-03-31,63854357,1242720,2023-05-30,0.05,0.03,155382549,14895210.0,420849,0.007997809329283175,14474361.0
2023-06-30,66054748,13185826,2023-08-29,0.08,0.04,161147584,-63847000.0,1774000,0.08182453421082626,-65621000.0
2023-09-30,70146211,13249790,2023-11-27,0.08,0.04,162616552,4470168.0,0,0.081478729176351,4470168.0
2023-12-31,69980960,-1835524,2024-03-20,-0.01,0.06,155734583,,0,-0.011786232477342557,
2024-03-31,78948492,12330147,2024-06-05,0.08,0.1,163468197,57280235.0,989851,0.07542841498398616,56290384.0
2024-06-30,87437008,2593222,2024-08-30,0.02,0.05,158583497,,0,0.016352407716169862,
2024-09-30,101054000,17754000,2024-11-12,0.12,0.13,164483000,155123549.0,1359818,0.10793820637999063,153763731.0
2024-12-31,107370508,28050257,2025-03-18,0.17,0.11,179173811,,0,0.15655333133478977,
2025-03-31,122610000,30419000,2025-05-30,0.2,,168940000,672855000.0,193000,0.18005800876050668,672662000.0
2025-06-30,138720037,41430606,2025-08-27,0.23,0.1,185415000,,0,0.22344797346493003,
2025-09-30,175160244,53817668,2025-12-04,0.29,0.21,187968942,,0,0.2863114907568081,
