fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2018-02-28,8036979,10132527.0,2018-03-19,-0.09,0.0,14037723,-2224721.0,16580296.0,0.7218070195572316,-18805017.0
2018-05-31,9144985,-4122247.0,2018-08-28,-0.17,-0.08,19307000,-1524219.0,19995952.0,-0.2135104884238877,-21520171.0
2018-08-31,10234456,16304908.0,2018-11-13,-0.2,-0.12,19307000,-30014136.0,12359980.0,0.8445075879214793,-42374116.0
2019-02-28,16319214,41252937.0,2019-05-14,-0.35,-0.27,20894100,-26354980.0,16035037.0,1.9743820982956912,-42390017.0
2019-05-31,92685434,12343333.0,2019-08-13,-0.36,-0.25,21182274,-111546361.0,22513163.0,0.5827199194949513,-134059524.0
2019-08-31,94359189,12301441.0,2019-11-12,-0.34,-0.3,21182274,-77720366.0,32633137.0,0.5807422281479316,-110353503.0
2020-02-29,123900000,-273519000.0,2020-05-11,-1.05,-0.45,26540192,-121074606.0,31068556.0,-10.305841042898258,-152143162.0
2020-05-31,99784663,-71622492.0,2020-08-10,-0.65,-0.27,24013263,-47480797.0,11936691.0,-2.9826222283910355,-59417488.0
2020-08-31,117490000,-34343000.0,2020-11-09,-0.02,-0.21,24199286,-22232699.0,17039964.0,-1.4191741029053502,-39272663.0
2020-11-30,120573208,-283305211.77,2021-02-17,-0.45,-0.15,265401924,-61882.26,4500883.82,-1.0674572644394242,-4562766.08
2021-02-28,188913110,-327049034.0,2021-04-12,-0.06,-0.315,44644064,-34984435.0,7733672.0,-7.325700321547788,-42718107.0
2021-05-31,183809457,17544221.0,2021-07-28,0.27,-0.11,44644064,7396057.0,7070161.0,0.39297992673785254,325896.0
2021-08-31,211108577,-52328914.0,2021-10-07,-0.08,-0.07,44939782,-117132888.0,20499856.0,-1.164422960485211,-137632744.0
2021-11-30,198551879,-257223.0,2022-01-10,0.03,-0.09,46025428,-21271135.0,9510937.0,-0.005588715003367269,-30782072.0
2022-02-28,193079243,54909051.0,2022-04-06,0.09,-0.08,48854679,-56797373.0,5486314.0,1.1239261443105582,-62283687.0
2022-05-31,193278939,-602736575.0,2022-07-28,-0.9,-0.08,50866667,-26871213.0,7213609.0,-11.849342812258566,-34084822.0
2022-08-31,201169982,-96483755.0,2022-10-07,-0.13,-0.07,57530137,-60752386.0,3939075.0,-1.677099343601424,-64691461.0
2022-11-30,194476939,-93723647.0,2023-01-09,-0.11,-0.06,56031818,39925599.0,5894037.0,-1.672686169133402,34031562.0
2023-02-28,198077716,-1593174005.0,2023-04-10,-1.9,-0.06,61553467,-24972843.0,1184735.0,-25.882766359854273,-26157578.0
2023-05-31,248096324,-186842711.0,2023-07-26,-0.15,-0.05,79879333,43598000.0,12406000.0,-2.3390619824028827,31192000.0
2023-08-31,239673291,-96878943.0,2023-10-04,-0.1,-0.05,69118938,-21457619.0,5623785.0,-1.401626613533906,-27081404.0
2023-11-30,262375622,-66359282.0,2024-01-09,-0.07,-0.06,73076913,-40422860.0,7770512.0,-0.9080745104818535,-48193372.0
2024-02-29,255645182,-125828629.0,2024-04-09,-0.12,-0.05,75443933,-21822136.0,13165145.0,-1.6678429132267003,-34987281.0
2024-05-31,313230316,-43257509.0,2024-07-29,-0.04,-0.02,79367500,42409128.0,12829696.0,-0.5450279900463035,29579432.0
2024-08-31,269839351,-52829668.0,2024-10-10,-0.04,-0.04,87544500,-47625612.0,9086189.0,-0.6034607313994597,-56711801.0
2024-11-30,295055765,-119367855.0,2025-01-07,-0.0026,-0.04,86497500,-56715568.0,7564094.0,-1.3800150871412469,-64279662.0
2025-02-28,268340631,-1140261358.0,2025-04-07,-0.8691,-0.0333,90834300,-5085865.0,19726209.0,-12.553202457661918,-24812074.0
2025-05-31,308104681,-1746516571.0,2025-07-28,0.02,-0.02,97796000,-19862859.0,9407941.0,-17.858773068428157,-29270800.0
2025-08-31,287778953,-442312.0,2025-10-08,-0.0003,-0.0408,106027189,-1341000.0,9523000.0,-0.004171684679860748,-10864000.0
