fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,679411000,57734000,2005-10-26,0.4,0.39,165635000,55885000,10684000,0.34856159628097927,45201000
2005-12-31,740787000,56405000,2006-02-02,0.49,0.47,166982000,126049000,16420000,0.3377908996179229,109629000
2006-03-31,684287000,46900000,2006-04-26,0.39,0.36,167000000,31878000,13258000,0.2808383233532934,18620000
2006-06-30,713468000,47880000,2006-07-26,0.42,0.4,165523000,66340000,8542000,0.28926493599076863,57798000
2006-09-30,724962000,48800000,2006-10-25,0.44,0.43,162200000,102023000,10014000,0.3008631319358816,92009000
2006-12-31,1668900000,25316000,2007-02-08,0.57,0.53,441100000,205413000,44983000,0.057392881432781685,160430000
2007-03-31,2338200000,138900000,2007-04-26,0.59,0.53,441100000,218600000,40500000,0.31489458172749946,178100000
2007-06-30,2385900000,163900000,2007-07-26,0.65,0.6,446500000,335500000,31300000,0.3670772676371781,304200000
2007-09-30,2401200000,218500000,2007-10-25,0.65,0.63,446600000,394100000,46400000,0.4892521271831617,347700000
2007-12-31,2621100000,239800000,2008-02-06,0.76,0.69,436200000,535300000,57300000,0.5497478220999541,478000000
2008-03-31,2554000000,233000000,2008-04-24,0.74,0.72,436200000,243000000,54100000,0.5341586428243925,188900000
2008-06-30,2709600000,249500000,2008-07-24,0.79,0.77,437200000,346500000,55200000,0.5706770356816102,291300000
2008-09-30,2588100000,218100000,2008-10-23,0.76,0.76,438300000,370400000,50500000,0.4976043805612594,319900000
2008-12-31,2646300000,290200000,2009-02-04,0.88,0.83,425300000,460300000,104600000,0.6823418763225958,355700000
2009-03-31,2255100000,148900000,2009-04-23,0.62,0.7,425300000,358700000,51200000,0.3501058076651775,307500000
2009-06-30,2484100000,206900000,2009-07-23,0.74,0.66,423700000,375300000,31800000,0.48831720556997876,343500000
2009-09-30,2531100000,221200000,2009-10-22,0.78,0.75,420200000,386600000,42800000,0.5264159923845788,343800000
2009-12-31,2839400000,273300000,2010-02-03,0.91,0.88,418200000,538600000,81700000,0.6535150645624104,456900000
2010-03-31,2675100000,232300000,2010-04-28,0.84,0.75,418200000,343100000,50600000,0.5554758488761358,292500000
2010-06-30,2649000000,237300000,2010-07-27,0.84,0.84,415900000,283700000,58400000,0.5705698485212791,225300000
2010-09-30,2683500000,268500000,2010-10-27,0.9,0.83,404500000,432800000,64600000,0.6637824474660075,368200000
2010-12-31,2781100000,297500000,2011-02-02,1.0,0.95,394600000,438200000,91900000,0.7539280283831729,346300000
2011-03-31,2721400000,252200000,2011-04-27,0.92,0.88,394600000,338600000,63700000,0.6391282311201216,274900000
2011-06-30,2897400000,523400000,2011-07-27,0.99,0.98,384852941,354700000,59200000,1.3600000006236148,295500000
2011-09-30,2973500000,265400000,2011-10-26,1.07,1.07,382700000,360700000,62600000,0.6934935981186308,298100000
2011-12-31,3133600000,288900000,2012-02-01,1.18,1.15,375900000,637000000,81000000,0.7685554668794893,556000000
2012-03-31,3100300000,277300000,2012-04-25,1.17,1.11,370100000,392000000,69400000,0.7492569575790327,322600000
2012-06-30,3108100000,233800000,2012-07-25,1.22,1.16,369200000,507500000,65300000,0.633261105092091,442200000
2012-09-30,3085700000,290400000,2012-10-24,1.19,1.16,365400000,479900000,76000000,0.7947454844006568,403900000
2012-12-31,3259300000,376400000,2013-01-31,1.36,1.28,361700000,660100000,104400000,1.0406414155377384,555700000
2013-03-31,3191500000,336200000,2013-04-24,1.37,1.29,361700000,298300000,66000000,0.9294995852916782,232300000
2013-06-30,3240100000,277400000,2013-07-24,1.32,1.3,363500000,478400000,65600000,0.7631361760660248,412800000
2013-09-30,3191800000,317600000,2013-10-23,1.3,1.28,367300000,505500000,56300000,0.8646882657228424,449200000
2013-12-31,3466900000,342100000,2014-01-30,1.43,1.37,370900000,728500000,94500000,0.9223510380156377,634000000
2014-03-31,3903500000,543100000,2014-04-23,1.53,1.4,398400000,101200000,104700000,1.3632028112449799,-3500000
2014-06-30,4321900000,278500000,2014-07-23,1.72,1.62,403100000,888700000,75500000,0.6908955594145373,813200000
2014-09-30,4171400000,471600000,2014-10-22,1.71,1.69,403700000,676000000,90700000,1.168194203616547,585300000
2014-12-31,4492800000,601200000,2015-01-29,1.99,1.94,401400000,953700000,156700000,1.4977578475336324,797000000
2015-03-31,3918800000,385100000,2015-04-22,1.63,1.61,401400000,80000000,97200000,0.9593921275535625,-17200000
2015-06-30,4270900000,511600000,2015-07-22,1.84,1.78,401500000,764900000,95300000,1.2742216687422168,669600000
2015-09-30,4123200000,476100000,2015-10-21,1.8,1.79,402000000,743900000,101000000,1.1843283582089552,642900000
2015-12-31,4652500000,602600000,2016-01-28,2.12,2.11,402400000,1228100000,129400000,1.4975149105367793,1098700000
2016-03-31,4294800000,402200000,2016-04-28,1.8,1.74,398700000,289100000,115100000,1.0087785302232255,174000000
2016-06-30,4535200000,516600000,2016-07-28,2.03,2.01,396700000,889500000,114800000,1.3022435089488278,774700000
2016-09-30,4490900000,473500000,2016-10-27,2.03,1.97,397400000,771800000,81000000,1.1914947156517364,690800000
2016-12-31,4953200000,629500000,2017-01-31,2.41,2.38,397000000,1205900000,133500000,1.5856423173803527,1072400000
2017-03-31,4765000000,551000000,2017-04-26,2.08,2.02,394100000,361500000,93400000,1.3981223039837605,268100000
2017-06-30,4990000000,612000000,2017-07-26,2.3,2.27,393300000,848400000,88000000,1.5560640732265447,760400000
2017-09-30,5116200000,534000000,2017-10-25,2.31,2.25,399600000,928600000,111400000,1.3363363363363363,817200000
2017-12-31,6047000000,528100000,2018-01-31,2.79,2.66,405000000,1866500000,215200000,1.3039506172839506,1651300000
2018-03-31,5853000000,579000000,2018-04-25,2.5,2.4,406000000,78000000,118000000,1.4261083743842364,-40000000
2018-06-30,6078000000,752000000,2018-07-25,2.75,2.62,402796251,1444000000,183000000,1.866948855986249,1261000000
2018-09-30,5920000000,709000000,2018-10-24,2.62,2.55,402576382,1220000000,173000000,1.7611564704260272,1047000000
2018-12-31,6507000000,898000000,2019-01-30,3.25,3.18,405000000,1801000000,284000000,2.217283950617284,1517000000
2019-03-31,6125000000,815000000,2019-04-24,2.81,2.73,403000000,649000000,201000000,2.022332506203474,448000000
2019-06-30,6316000000,1119000000,2019-07-24,3.04,3.0,400475744,1294000000,220000000,2.7941767179787047,1074000000
2019-09-30,6272000000,760000000,2019-10-23,2.94,2.87,404000000,1117000000,216000000,1.881188118811881,901000000
2019-12-31,6829000000,1002000000,2020-01-30,3.55,3.54,402000000,1913000000,289000000,2.4925373134328357,1624000000
2020-03-31,6230000000,788000000,2020-04-22,2.94,2.79,400000000,356000000,253000000,1.97,103000000
2020-06-30,6917000000,1156000000,2020-07-22,3.89,3.42,398000000,1886000000,269000000,2.9045226130653266,1617000000
2020-09-30,8521000000,1933000000,2020-10-21,5.63,4.31,399000000,2708000000,366000000,4.844611528822055,2342000000
2020-12-31,10550000000,2498000000,2021-02-01,7.09,6.56,400000000,3339000000,586000000,6.245,2753000000
2021-03-31,9906000000,2337000000,2021-04-29,7.21,6.65,397000000,1978000000,628000000,5.886649874055416,1350000000
2021-06-30,9273000000,1828000000,2021-07-28,5.6,5.44,396000000,2227000000,540000000,4.616161616161616,1687000000
2021-09-30,9330000000,1902000000,2021-10-27,5.76,4.67,397000000,2650000000,524000000,4.790931989924434,2126000000
2021-12-31,10702000000,1658000000,2022-02-02,6.54,5.27,398000000,2688000000,831000000,4.165829145728643,1857000000
2022-03-31,11818000000,2215000000,2022-04-28,7.25,6.18,395000000,2202000000,640000000,5.6075949367088604,1562000000
2022-06-30,10970000000,1664000000,2022-07-28,5.51,4.99,394000000,1528000000,506000000,4.223350253807107,1022000000
2022-09-30,10677000000,1495000000,2022-10-26,5.08,4.81,395000000,1937000000,547000000,3.7848101265822787,1390000000
2022-12-31,11450000000,1576000000,2023-02-01,5.4,5.2,393000000,3487000000,550000000,4.010178117048346,2937000000
2023-03-31,10710000000,1289000000,2023-04-26,5.03,5.03,388000000,729000000,458000000,3.3221649484536084,271000000
2023-06-30,10687000000,1361000000,2023-07-26,5.15,5.43,388000000,1540000000,284000000,3.5077319587628866,1256000000
2023-09-30,10574000000,1715000000,2023-10-25,5.69,5.61,388000000,2414000000,332000000,4.420103092783505,2082000000
2023-12-31,10886000000,1630000000,2024-01-31,5.67,5.64,388000000,3723000000,405000000,4.201030927835052,3318000000
2024-03-31,10345000000,1328000000,2024-04-24,5.11,4.71,384000000,1251000000,347000000,3.4583333333333335,904000000
2024-06-30,10541000000,1548000000,2024-07-24,5.37,5.12,383000000,1960000000,301000000,4.04177545691906,1659000000
2024-09-30,10598000000,1630000000,2024-10-23,5.28,5.25,384000000,2166000000,272000000,4.244791666666667,1894000000
2024-12-31,11395000000,1830000000,2025-01-30,6.1,5.94,383000000,3290000000,480000000,4.778067885117493,2810000000
2025-03-31,10364000000,1507000000,2025-04-23,5.15,5.1,379000000,723000000,362000000,3.9762532981530345,361000000
2025-06-30,10855000000,1617000000,2025-07-23,5.36,5.23,378000000,1399000000,294000000,4.277777777777778,1105000000
2025-09-30,11122000000,1616000000,2025-10-22,5.79,5.5,378000000,2239000000,404000000,4.275132275132275,1835000000
