fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2020-06-30,5064000,-8392000,2020-07-30,0.0,0.0,87474258,-10995000,490000,-0.09593679548559303,-11485000
2020-09-30,-11261000,-26802000,2020-11-13,-0.0025,,87474258,111259000,132000,-0.3063987121788447,111127000
2020-12-31,9141000,-8864000,2021-03-31,-0.0033,,87474258,-18062000,456000,-0.10133266863492572,-18518000
2021-03-31,6386000,-12106000,2021-05-14,-0.01,,87474258,-13613000,165000,-0.1383950007326727,-13778000
2021-06-30,18153000,-4493000,2021-08-06,-0.16,-0.145,87474258,-7518000,202000,-0.05136368233040628,-7720000
2021-09-30,6787000,-19590000,2021-11-09,-0.28,-0.28,70160663,-21494000,774000,-0.2792162896180157,-22268000
2021-12-31,5716000,-22046000,2022-03-28,-0.25,-0.27,87567676,-16902000,696000,-0.25175956479648953,-17598000
2022-03-31,5758000,-25208000,2022-05-11,-0.29,-0.28,87670653,-29665000,1561000,-0.28753065179062826,-31226000
2022-06-30,5771000,-24858000,2022-08-10,-0.28,-0.32,87839804,-31538000,1811000,-0.28299243472811025,-33349000
2022-09-30,6920000,-29050000,2022-11-10,-0.33,-0.32,87892195,-19611000,3279000,-0.3305185403550338,-22890000
2022-12-31,6411000,-29060000,2023-03-27,-0.33,-0.35,87971485,-28266000,1041000,-0.33033431230585686,-29307000
2023-03-31,5766000,-28008000,2023-05-09,-0.32,-0.35,88193917,-34907000,620000,-0.3175729228581604,-35527000
2023-06-30,14598000,-20710000,2023-08-07,-0.23,-0.34,88354590,-24473000,664000,-0.23439642467923852,-25137000
2023-09-30,10732000,-22263000,2023-11-08,-0.23,-0.34,97033273,-31135000,16000,-0.22943676237737545,-31151000
2023-12-31,5431000,-30763000,2024-03-18,-0.32,-0.28,95802861,-27467000,226000,-0.32110732058408986,-27693000
2024-03-31,6471000,-37914000,2024-05-08,-0.35,-0.31,108171463,-37857000,195000,-0.3504990960508688,-38052000
2024-06-30,19875000,-25551000,2024-08-07,-0.24,-0.34,108314279,-23607000,320000,-0.2358968756095399,-23927000
2024-09-30,11607000,-29167000,2024-11-06,-0.27,-0.37,108507000,-33390000,115000,-0.2688029343728976,-33505000
2024-12-31,4117000,-37670000,2025-03-17,-0.34,-0.3428,108683920,-36647000,124000,-0.34660141076987283,-36771000
2025-03-31,5392000,-39876000,2025-05-06,-0.36,-0.3459,110301256,-41697000,51000,-0.3615190021045635,-41748000
2025-06-30,3181000,-38853000,2025-08-05,-0.35,-0.35,110540836,-36519000,624000,-0.351480967630822,-37143000
2025-09-30,53811000,15884000,2025-11-04,-0.14,-0.07,110966345,-30952000,151000,0.14314249964707768,-31103000
