fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2016-03-31,49866000,2234000,2016-06-15,0.27,0.2,17340148,977000,454000,0.12883396381622578,523000
2016-06-30,51581000,799000,2016-08-11,0.16,0.44,16877291,-10089000,405000,0.04734172089584756,-10494000
2016-09-30,50959000,6793000,2016-11-10,0.34,0.36,19729219,8636000,386000,0.34431165268123387,8250000
2016-12-31,53822000,17087000,2017-03-13,0.22,0.34,19741667,9604000,1962000,0.8655297447778852,7642000
2017-03-31,66788000,1877000,2017-05-11,-0.01,0.33,19633353,-2340000,368000,0.09560262070365667,-2708000
2017-06-30,72086000,7439000,2017-08-10,0.38,0.36,19585069,8706000,199000,0.3798301655204789,8507000
2017-09-30,73340000,7374000,2017-11-09,0.38,0.38,19589424,14025000,485000,0.37642760705980943,13540000
2017-12-31,73563000,3519000,2018-03-08,0.23,0.23,19722513,9299000,969000,0.17842553836825967,8330000
2018-03-31,73942000,3032000,2018-05-09,0.15,0.3,19762194,8420000,363000,0.1534242604844381,8057000
2018-06-30,81101000,9319000,2018-08-08,0.5,0.52,19788865,-2455000,640000,0.47092139948400275,-3095000
2018-09-30,83349000,7954000,2018-11-07,0.47,0.52,19882994,-4991000,525000,0.4000403560952641,-5516000
2018-12-31,94291000,4984000,2019-03-05,0.49,0.49,20040428,12116000,739000,0.2486972833115141,11377000
2019-03-31,91628000,6560000,2019-05-01,0.43,0.36,20045964,14025000,886000,0.32724791883293813,13139000
2019-06-30,93339000,13205000,2019-07-24,0.53,0.47,20131980,7673000,1078000,0.6559215735362344,6595000
2019-09-30,96800000,6274000,2019-11-01,0.56,0.46,20067413,-1685000,2096000,0.31264617915622706,-3781000
2019-12-31,80222000,-12265000,2020-02-26,0.41,0.46,19666336,17782000,755000,-0.6236545536494444,17027000
2020-03-31,90689000,4499000,2020-04-28,0.51,0.31,20106800,14727000,877000,0.2237551475122844,13850000
2020-06-30,104963000,10295000,2020-07-28,0.71,0.45,23037153,2807000,1079000,0.44688681800220714,1728000
2020-09-30,104174000,9020000,2020-10-27,0.75,0.58,19636989,15665000,1464000,0.4593372232372285,14201000
2020-12-31,105285000,14378000,2021-02-10,0.84,0.76,19541073,10479000,2715000,0.7357835467888585,7764000
2021-03-31,107641000,11783000,2021-04-27,0.8,0.64,22665067,24241000,842000,0.5198749247024066,23399000
2021-06-30,122643000,15355000,2021-07-27,0.84,0.65,22489662,13174000,1328000,0.6827581490553304,11846000
2021-09-30,109904000,13468000,2021-10-26,0.72,0.7,22364807,12150000,2221000,0.6021961200022875,9929000
2021-12-31,105283000,11454000,2022-02-22,0.66,0.42,22153988,18652000,1765000,0.5170175229850265,16887000
2022-03-31,100894000,10998000,2022-04-27,0.71,0.52,21749510,13040000,2787000,0.5056665644421414,10253000
2022-06-30,102925000,5424000,2022-07-27,0.7,0.72,21443279,-5891000,2907000,0.252946389402479,-8798000
2022-09-30,107802000,11536000,2022-10-26,0.72,0.6,21102006,9240000,968000,0.5466778845575155,8272000
2022-12-31,103392000,-16317000,2023-02-24,0.69,0.58,17530278,13884000,1023000,-0.930789574472236,12861000
2023-03-31,99756000,7597000,2023-05-03,0.62,0.48,20669152,15384000,2435000,0.3675525730325076,12949000
2023-06-30,104395000,9925000,2023-08-02,0.79,0.59,20409943,12149000,558000,0.4862825927539337,11591000
2023-09-30,100722000,10831000,2023-11-08,0.76,0.61,20098450,12472000,1213000,0.5388972781483149,11259000
2023-12-31,97120000,10109000,2024-02-28,0.79,0.68,20153157,24439000,1501000,0.5016087553925174,22938000
2024-03-31,83064000,12010000,2024-05-02,0.8,0.67,20170314,22639000,366000,0.5954295009983483,22273000
2024-06-30,93225000,13007000,2024-08-01,0.89,0.75,20156854,13438000,2492000,0.6452891904659328,10946000
2024-09-30,90704000,12376000,2024-11-07,0.87,0.72,18448720,13244000,658000,0.6708324479963922,12586000
2024-12-31,93667000,2416000,2025-02-26,0.98,0.91,18251876,17741000,1107000,0.13236995473780339,16634000
2025-03-31,106436000,14395000,2025-04-30,0.91,0.78,18249000,17409000,2185000,0.7888103457723711,15224000
2025-06-30,116634000,14480000,2025-08-11,0.79,0.73,18322000,11821000,3991000,0.7903067350725903,7830000
2025-09-30,118979000,21080000,2025-11-05,1.27,0.78,18708665,3285000,4006000,1.1267506259799938,-721000
