fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2012-12-31,56029000,6446000,2013-03-28,0.3,0.18,28274188,-34869000,186000,0.2279817903170199,-35055000
2013-03-31,27888000,270000,2013-05-14,0.01,-0.02,28274188,-47416000,129000,0.009549345855661709,-47545000
2013-06-30,51087000,2075000,2013-08-13,0.07,0.05,31614646,-55178000,161000,0.06563413678584286,-55339000
2013-09-30,58539000,4686000,2013-11-13,0.15,0.09,31206124,-45047000,82000,0.15016283342333703,-45129000
2013-12-31,120441000,8343000,2014-02-27,0.26,0.25,31637829,-72568000,134000,0.2637033027771912,-72702000
2014-03-31,72812000,4298000,2014-05-06,0.14,0.09,129700000,-41630000,103000,0.033138010794140325,-41733000
2014-06-30,87336000,6124000,2014-08-07,0.19,0.15,129700000,-51529000,145000,0.047216653816499615,-51674000
2014-09-30,477920000,10965000,2014-11-06,0.22,0.09,160468887,-47270000,5820000,0.06833100300620892,-53090000
2014-12-31,635001000,41426000,2015-03-03,0.26,0.26,162208756,27059000,1782000,0.25538695334054595,25277000
2015-03-31,377258000,15297000,2015-05-08,0.09,0.09,162807376,-108314000,378000,0.09395765951046346,-108692000
2015-06-30,495517000,54930000,2015-08-10,0.34,0.25,162308099,-68781000,235000,0.3384304316200512,-69016000
2015-09-30,648141000,50162000,2015-11-06,0.31,0.23,162366744,37084000,446000,0.30894257508791334,36638000
2015-12-31,880243000,85072000,2016-02-26,0.52,0.46,162379826,171016000,250000,0.5239074464829147,170766000
2016-03-31,424138000,28550000,2016-04-27,0.18,0.15,162192610,-139676000,411000,0.17602528253290947,-140087000
2016-06-30,625222000,73926000,2016-07-27,0.46,0.28,162259283,-46520000,712000,0.4556041332932551,-47232000
2016-09-30,582029000,34834000,2016-10-27,0.22,0.23,161267509,-75111000,933000,0.21600135213845215,-76044000
2016-12-31,773753000,57861000,2017-02-22,0.36,0.37,159789940,102997000,1929000,0.3621066507691285,101068000
2017-03-31,393391000,8193000,2017-04-26,0.05,0.08,159390586,-112291000,1173000,0.051402031987008316,-113464000
2017-06-30,570626000,32714000,2017-07-26,0.21,0.2,156140543,-108409000,620000,0.20951637141418164,-109029000
2017-09-30,717735000,72264000,2017-10-25,0.48,0.45,152129825,10044000,419000,0.4750153364075716,9625000
2017-12-31,1128520000,74020000,2018-02-20,0.7,0.63,152568093,312330000,393000,0.4851604194856129,311937000
2018-03-31,583676000,42880000,2018-04-25,0.28,0.24,152775851,49886000,2170000,0.2806726306502459,47716000
2018-06-30,771303000,63680000,2018-07-27,0.42,0.35,153355965,-49935000,13512000,0.41524305885330254,-63447000
2018-09-30,775071000,63969000,2018-10-24,0.43,0.4,148318032,-72041000,8865000,0.4312961757745006,-80906000
2018-12-31,1132697000,99382000,2019-02-26,0.7,0.65,142673662,382752000,7104000,0.6965686490895565,375648000
2019-03-31,494632000,71000,2019-04-25,0.0278,0.02,142390163,-114925000,7224000,0.0004986299510030057,-122149000
2019-06-30,698714000,26262000,2019-07-25,0.18,0.15,142471191,10986000,5918000,0.18433200295209157,5068000
2019-09-30,748395000,62861000,2019-10-31,0.44,0.36,141533546,9630000,9250000,0.4441420551987018,380000
2019-12-31,1141274000,117993000,2020-02-18,0.85,0.71,139219179,410289000,7890000,0.8475340886761011,402399000
2020-03-31,597050000,31883000,2020-04-23,0.24,0.16,135038481,-88974000,8239000,0.23610307050180757,-97213000
2020-06-30,770106000,56528000,2020-07-24,0.51,0.31,130506567,255202000,3763000,0.43314295440780387,251439000
2020-09-30,832464000,78682000,2020-10-22,0.61,0.43,129515114,171906000,4780000,0.6075121085868017,167126000
2020-12-31,1060827000,115114000,2021-02-18,0.92,0.67,124815177,249855000,6015000,0.922275662037478,243840000
2021-03-31,720966000,70802000,2021-04-22,0.59,0.46,120086573,30204000,5684000,0.5895913109286581,24520000
2021-06-30,1018064000,117869000,2021-07-22,1.0,0.83,117770084,67100000,3262000,1.000839907696763,63838000
