fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2010-12-31,1527200000,-7800000,2011-02-24,-0.68,0.26,41300000,104500000,55100000,-0.18886198547215496,49400000
2011-03-31,1618100000,6800000,2011-05-05,0.16,0.21,41300000,70100000,57000000,0.16464891041162227,13100000
2011-06-30,1727700000,10500000,2011-08-08,0.25,0.2,41400000,151400000,81200000,0.2536231884057971,70200000
2011-09-30,1713600000,4900000,2011-11-07,0.12,0.27,41500000,-56900000,76100000,0.1180722891566265,-133000000
2011-12-31,1934000000,8500000,2012-02-23,0.2,0.22,41800000,214700000,117600000,0.20334928229665072,97100000
2012-03-31,1645800000,9600000,2012-05-03,0.23,0.26,41800000,138800000,103000000,0.22966507177033493,35800000
2012-06-30,1319100000,8600000,2012-08-06,0.21,0.24,41900000,65200000,135700000,0.2052505966587112,-70500000
2012-09-30,1393500000,8700000,2012-11-01,0.21,0.17,41900000,86200000,126400000,0.20763723150357996,-40200000
2012-12-31,1527300000,11200000,2013-02-14,0.48,0.21,41900000,138000000,217600000,0.26730310262529833,-79600000
2013-03-31,1397800000,13400000,2013-05-03,0.32,0.23,42000000,174000000,202900000,0.319047619047619,-28900000
2013-06-30,1441600000,15000000,2013-08-01,0.49,0.27,42100000,-11300000,241600000,0.35629453681710216,-252900000
2013-09-30,1556800000,16300000,2013-11-04,0.39,0.44,42100000,95400000,263700000,0.38717339667458434,-168300000
2013-12-31,2159800000,20400000,2014-02-13,0.48,0.52,42100000,124600000,305400000,0.4845605700712589,-180800000
2014-03-31,2352900000,19600000,2014-05-01,0.47,0.62,42100000,318700000,197700000,0.4655581947743468,121000000
2014-06-30,2061900000,26400000,2014-08-01,0.63,0.6,42100000,105800000,221900000,0.6270783847980997,-116100000
2014-09-30,2288300000,30700000,2014-11-04,0.73,0.65,42100000,94600000,152100000,0.7292161520190024,-57500000
2014-12-31,2032900000,25600000,2015-02-13,0.61,0.63,42100000,242700000,190500000,0.6080760095011877,52200000
2015-03-31,1679700000,3200000,2015-05-05,0.58,0.65,45900000,292600000,187600000,0.06971677559912855,105000000
2015-06-30,1699400000,15200000,2015-08-04,0.29,0.63,56100000,191600000,248600000,0.2709447415329768,-57000000
2015-09-30,1632100000,12700000,2015-11-03,0.23,0.57,56100000,211300000,189100000,0.22638146167557932,22200000
2015-12-31,1647400000,26900000,2016-02-25,0.48,0.49,56000000,339200000,191900000,0.48035714285714287,147300000
2016-03-31,1442400000,-2700000,2016-04-29,-0.02,-0.1,160580627,241300000,190100000,-0.01681398342030387,51200000
2016-06-30,1583600000,-23200000,2016-08-03,-0.14,-0.08,161600000,216200000,117600000,-0.14356435643564355,98600000
2016-09-30,1644500000,-10700000,2016-11-02,-0.23,-0.06,173193354,103200000,117300000,-0.06178066162977593,-14100000
2016-12-31,2012600000,-150800000,2017-02-15,-1.18,0.06,184720525,276700000,137100000,-0.8163684030239736,139600000
2017-03-31,2119500000,-119300000,2017-05-04,-0.77,0.01,191800000,318700000,144200000,-0.6220020855057351,174500000
2017-06-30,1862300000,57600000,2017-08-03,0.14,-0.14,205000000,145800000,383400000,0.2809756097560976,-237600000
2017-09-30,2135400000,-167600000,2017-11-02,-0.16,-0.11,215600000,67400000,339000000,-0.7773654916512059,-271600000
2017-12-31,2747400000,283100000,2018-02-15,-0.08,0.01,218700000,407600000,430900000,1.2944673068129857,-23300000
2018-03-31,2493100000,22900000,2018-05-03,-0.03,-0.01,218700000,354400000,595900000,0.10470964791952446,-241500000
2018-06-30,2454400000,109100000,2018-08-09,-0.02,-0.03,222800000,189300000,566600000,0.48967684021543983,-377300000
2018-09-30,3011400000,-23700000,2018-11-08,-0.24,0.06,226500000,370900000,871100000,-0.10463576158940398,-500200000
2018-12-31,2596300000,-106400000,2019-02-20,0.32,0.01,232200000,229400000,1081200000,-0.4582256675279931,-851800000
2019-03-31,2287600000,-38900000,2019-05-07,-0.3,-0.1,232200000,307600000,943300000,-0.16752799310938846,-635700000
2019-06-30,1953100000,-10200000,2019-08-08,-0.18,-0.29,232400000,244700000,807700000,-0.04388984509466437,-563000000
2019-09-30,1964300000,-47300000,2019-11-07,-0.62,-0.21,232700000,366700000,683100000,-0.20326600773528147,-316400000
2019-12-31,2472700000,-112800000,2020-02-20,-0.62,-0.07,233000000,470800000,443700000,-0.48412017167381977,27100000
2020-03-31,1889000000,-1737800000,2020-05-07,2.89,-0.07,233000000,452600000,341700000,-7.4583690987124465,110900000
2020-06-30,1455200000,81000000,2020-08-06,0.21,-0.24,233800000,286300000,274200000,0.34644995722840033,12100000
2020-09-30,2005900000,69300000,2020-11-05,0.16,0.1,233800000,356800000,187200000,0.2964071856287425,169600000
2020-12-31,2922300000,33600000,2021-02-18,-0.04,0.25,274700000,648800000,148500000,0.1223152530032763,500300000
2021-03-31,3767400000,146400000,2021-05-06,0.53,0.17,274700000,679800000,96200000,0.5329450309428467,583600000
2021-06-30,3526100000,56200000,2021-08-05,0.15,0.27,231300000,623800000,102700000,0.24297449200172935,521100000
2021-09-30,4543400000,182200000,2021-11-04,0.66,0.53,276400000,495200000,122700000,0.6591895803183792,372500000
2021-12-31,5441600000,-313600000,2022-02-24,0.51,0.66,276400000,504100000,183500000,-1.134587554269175,320600000
2022-03-31,4959100000,88000000,2022-05-05,0.06,0.86,232400000,748200000,204400000,0.37865748709122204,543800000
2022-06-30,6232500000,596400000,2022-08-04,1.61,1.22,231700000,635500000,215100000,2.5740181268882174,420400000
2022-09-30,5360100000,193100000,2022-11-03,0.84,1.2,230300000,459600000,395900000,0.8384715588363004,63700000
2022-12-31,4554800000,318000000,2023-02-22,1.38,1.38,230200000,537500000,518900000,1.3814074717636837,18600000
2023-03-31,4297300000,6300000,2023-05-04,0.03,1.4,229300000,1169800000,475700000,0.027474923680767552,694100000
2023-06-30,3208700000,325700000,2023-08-03,1.44,1.24,226800000,676800000,598000000,1.4360670194003526,78800000
2023-09-30,3881400000,217800000,2023-11-02,0.97,1.2,225100000,407300000,591700000,0.9675699689027099,-184400000
2023-12-31,4231800000,277700000,2024-02-15,1.26,1.46,222611259,957700000,720000000,1.2474661041290818,237700000
2024-03-31,4562400000,275200000,2024-05-02,1.22,1.3,223700000,876400000,669800000,1.2302190433616451,206600000
2024-06-30,3618600000,296200000,2024-08-01,1.33,1.27,221900000,904500000,740300000,1.334835511491663,164200000
2024-09-30,3885900000,384500000,2024-11-05,1.74,1.55,220000000,540900000,828800000,1.7477272727272728,-287900000
2024-12-31,4405300000,351000000,2025-02-13,1.8173,1.8293,221300000,1327900000,726900000,1.5860822413014009,601000000
2025-03-31,4852800000,198800000,2025-04-30,1.8882,2.0525,218700000,954400000,792200000,0.909007773205304,162200000
2025-06-30,4026200000,625100000,2025-08-07,1.9,1.88,217300000,858300000,906100000,2.8766682006442705,-47800000
2025-09-30,4201700000,475500000,2025-11-05,2.13,2.11,216000000,599200000,671800000,2.201388888888889,-72600000
