fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,6495000000,98000000,2005-11-14,0.25,0.3,358000000,78000000,176000000,0.2737430167597765,-98000000
2005-12-31,6454000000,39000000,2006-01-30,0.11,0.16,358000000,183000000,189000000,0.10893854748603352,-6000000
2006-03-31,6251000000,-127000000,2006-05-01,-0.26,-0.26,346000000,-10000000,168000000,-0.3670520231213873,-178000000
2006-06-30,6383000000,-52000000,2006-07-31,-0.15,-0.03,345000000,-57000000,113000000,-0.15072463768115943,-170000000
2006-09-30,6471000000,-56000000,2006-11-13,-0.07,-0.04,353000000,171000000,61000000,-0.15864022662889518,110000000
2006-12-31,6558000000,57000000,2007-01-29,0.16,0.06,353000000,325000000,43000000,0.16147308781869688,282000000
2007-03-31,6501000000,68000000,2007-04-30,0.19,0.11,354000000,18000000,51000000,0.192090395480226,-33000000
2007-06-30,6618000000,111000000,2007-07-30,0.3,0.25,356000000,-38000000,70000000,0.31179775280898875,-108000000
2007-09-30,6883000000,32000000,2007-11-12,0.09,0.1,355000000,373000000,121000000,0.09014084507042254,252000000
2007-12-31,6766000000,34000000,2008-01-28,0.07,0.04,355000000,186000000,100000000,0.09577464788732394,86000000
2008-03-31,6612000000,-5000000,2008-04-28,0.06,0.01,350000000,-42000000,110000000,-0.014285714285714285,-152000000
2008-06-30,6849000000,9000000,2008-07-28,0.01,0.12,350000000,-109000000,120000000,0.025714285714285714,-229000000
2008-09-30,7201000000,48000000,2008-11-10,0.14,0.18,373000000,253000000,95000000,0.128686327077748,158000000
2008-12-31,6521000000,-102000000,2009-01-26,-0.29,-0.23,373000000,143000000,84000000,-0.2734584450402145,59000000
2009-03-31,6307000000,-119000000,2009-05-04,-0.05,-0.06,373000000,264000000,76000000,-0.3190348525469169,188000000
2009-06-30,6662000000,131000000,2009-08-03,0.33,0.22,378000000,277000000,88000000,0.34656084656084657,189000000
2009-09-30,7214000000,-455000000,2009-11-23,0.28,0.26,377000000,341000000,120000000,-1.206896551724138,221000000
2009-12-31,6635000000,160000000,2010-02-05,0.42,0.18,377000000,548000000,113000000,0.4244031830238727,435000000
2010-03-31,6916000000,159000000,2010-05-10,0.46,0.36,378000000,-49000000,151000000,0.42063492063492064,-200000000
2010-06-30,7438000000,248000000,2010-08-09,0.67,0.58,382000000,609000000,140000000,0.6492146596858639,469000000
2010-09-30,7441000000,213000000,2010-11-22,0.64,0.56,379000000,324000000,146000000,0.5620052770448549,178000000
2010-12-31,7615000000,298000000,2011-02-04,0.75,0.62,379000000,371000000,158000000,0.7862796833773087,213000000
2011-03-31,8000000000,159000000,2011-05-09,0.42,0.43,383000000,-117000000,161000000,0.4151436031331593,-278000000
2011-06-30,8247000000,196000000,2011-08-08,0.46,0.4,383000000,432000000,150000000,0.5117493472584856,282000000
2011-09-30,8404000000,97000000,2011-11-21,0.26,0.32,376000000,360000000,174000000,0.2579787234042553,186000000
2011-12-31,8329000000,156000000,2012-02-03,0.42,0.33,371428571,338000000,182000000,0.4200000004846154,156000000
2012-03-31,8268000000,166000000,2012-05-07,0.44,0.39,377272727,116000000,162000000,0.4400000003180723,-46000000
2012-06-30,8261000000,76000000,2012-08-06,0.5,0.54,361000000,265000000,186000000,0.21052631578947367,79000000
2012-09-30,8373000000,185000000,2012-11-19,0.55,0.44,360416667,468000000,160000000,0.5132947972131378,308000000
2012-12-31,8366000000,173000000,2013-02-01,0.48,0.42,362000000,190000000,157000000,0.47790055248618785,33000000
2013-03-31,8383000000,95000000,2013-05-06,0.36,0.45,366000000,40000000,133000000,0.25956284153005466,-93000000
2013-06-30,8731000000,249000000,2013-08-05,0.69,0.6,369000000,542000000,135000000,0.6747967479674797,407000000
2013-09-30,8894000000,261000000,2013-11-18,0.7,0.69,354000000,542000000,133000000,0.7372881355932204,409000000
2013-12-31,8761000000,254000000,2014-01-31,0.72,0.63,354000000,361000000,140000000,0.7175141242937854,221000000
2014-03-31,9032000000,213000000,2014-05-05,0.6,0.63,356000000,-96000000,153000000,0.598314606741573,-249000000
2014-06-30,9682000000,260000000,2014-07-28,0.75,0.78,356000000,278000000,144000000,0.7303370786516854,134000000
2014-09-30,10105000000,137000000,2014-11-17,0.87,0.76,416000000,635000000,195000000,0.3293269230769231,440000000
2014-12-31,10817000000,309000000,2015-01-30,0.77,0.73,416000000,812000000,231000000,0.7427884615384616,581000000
2015-03-31,9979000000,310000000,2015-05-04,0.75,0.72,415000000,-4000000,204000000,0.7469879518072289,-208000000
2015-06-30,10071000000,343000000,2015-08-03,0.8,0.92,414000000,864000000,201000000,0.8285024154589372,663000000
2015-09-30,10506000000,258000000,2015-11-23,0.83,0.88,400000000,898000000,218000000,0.645,680000000
2015-12-31,9152000000,461000000,2016-02-05,1.15,0.89,400000000,1095000000,188000000,1.1525,907000000
2016-03-31,9170000000,432000000,2016-05-09,1.07,0.95,393000000,10000000,167000000,1.099236641221374,-157000000
2016-06-30,9403000000,484000000,2016-08-08,1.21,1.06,388000000,768000000,160000000,1.2474226804123711,608000000
2016-09-30,9156000000,391000000,2016-11-21,0.96,1.17,373000000,843000000,180000000,1.0482573726541555,663000000
2016-12-31,9182000000,593000000,2017-02-06,1.59,1.26,373000000,1134000000,200000000,1.5898123324396782,934000000
2017-03-31,9083000000,340000000,2017-05-08,1.01,1.02,370000000,-152000000,267000000,0.918918918918919,-419000000
2017-06-30,9850000000,447000000,2017-08-07,1.28,1.18,370000000,467000000,315000000,1.2081081081081082,152000000
2017-09-30,10145000000,394000000,2017-11-13,1.43,1.38,369000000,1150000000,287000000,1.067750677506775,863000000
2017-12-31,10229000000,1631000000,2018-02-08,1.81,1.5,371000000,1126000000,296000000,4.39622641509434,830000000
2018-03-31,9773000000,315000000,2018-05-07,1.27,1.3,370000000,13000000,263000000,0.8513513513513513,-250000000
2018-06-30,10051000000,541000000,2018-08-06,1.5,1.4,369000000,785000000,328000000,1.4661246612466126,457000000
2018-09-30,9999000000,537000000,2018-11-13,1.58,1.35,367000000,1039000000,313000000,1.4632152588555858,726000000
2018-12-31,10193000000,551000000,2019-02-07,1.58,1.56,366000000,868000000,318000000,1.505464480874317,550000000
2019-03-31,10443000000,426000000,2019-05-06,1.2,1.14,366000000,71000000,338000000,1.1639344262295082,-267000000
2019-06-30,10885000000,676000000,2019-08-05,1.47,1.42,367000000,596000000,315000000,1.8419618528610355,281000000
2019-09-30,10884000000,369000000,2019-11-12,1.21,1.29,367000000,978000000,288000000,1.005449591280654,690000000
2019-12-31,10815000000,505000000,2020-02-06,1.66,1.66,367000000,894000000,312000000,1.3760217983651226,582000000
2020-03-31,10888000000,376000000,2020-05-04,0.77,1.04,365000000,366000000,312000000,1.0301369863013699,54000000
2020-06-30,10022000000,526000000,2020-08-03,1.4,0.94,364000000,1448000000,283000000,1.445054945054945,1165000000
2020-09-30,11460000000,692000000,2020-11-16,1.95,1.19,364000000,1166000000,292000000,1.901098901098901,874000000
2020-12-31,10460000000,467000000,2021-02-11,1.94,1.49,365000000,1385000000,289000000,1.2794520547945205,1096000000
2021-03-31,11300000000,476000000,2021-05-10,1.34,1.12,365000000,-36000000,268000000,1.3041095890410959,-304000000
2021-06-30,12478000000,749000000,2021-08-09,2.7,1.62,366000000,1307000000,302000000,2.046448087431694,1005000000
2021-09-30,12811000000,1355000000,2021-11-15,2.3,2.03,366000000,1184000000,350000000,3.702185792349727,834000000
2021-12-31,12933000000,1121000000,2022-02-07,2.87,1.9,365000000,1432000000,408000000,3.0712328767123287,1024000000
2022-03-31,13117000000,829000000,2022-05-09,2.29,1.91,364000000,-208000000,439000000,2.2774725274725274,-647000000
2022-06-30,13495000000,750000000,2022-08-08,1.94,1.98,362000000,666000000,476000000,2.0718232044198897,190000000
2022-09-30,13737000000,538000000,2022-11-14,1.63,1.73,361000000,797000000,564000000,1.4903047091412742,233000000
2022-12-31,13260000000,316000000,2023-02-06,0.85,1.34,358000000,762000000,589000000,0.88268156424581,173000000
2023-03-31,13133000000,-97000000,2023-05-08,-0.04,0.8,354000000,7000000,508000000,-0.2740112994350282,-501000000
2023-06-30,13140000000,-417000000,2023-08-07,0.15,0.26,354000000,660000000,467000000,-1.1779661016949152,193000000
2023-09-30,13348000000,-450000000,2023-11-13,0.37,0.29,348238928,323000000,375000000,-1.2922162452785864,-52000000
2023-12-31,13319000000,107000000,2024-02-05,0.69,0.41,355000000,1300000000,354000000,0.30140845070422534,946000000
2024-03-31,13072000000,145000000,2024-05-06,0.62,0.39,355000000,-123000000,267000000,0.4084507042253521,-390000000
2024-06-30,13353000000,191000000,2024-08-05,0.87,0.65,356000000,796000000,263000000,0.5365168539325843,533000000
2024-09-30,13565000000,357000000,2024-11-12,0.92,0.69,357000000,617000000,248000000,1.0,369000000
2024-12-31,13623000000,359000000,2025-02-03,1.14,0.88,357000000,1031000000,271000000,1.0056022408963585,760000000
2025-03-31,13074000000,7000000,2025-05-05,0.92,0.82,357000000,-185000000,193000000,0.0196078431372549,-378000000
2025-06-30,13884000000,61000000,2025-08-04,0.91,0.78,348000000,774000000,227000000,0.1752873563218391,547000000
2025-09-30,13860000000,47000000,2025-11-11,1.15,0.87,348000000,535000000,287000000,0.13505747126436782,248000000
