fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2009-03-31,48247,-180000,2009-03-31,-0.0677,,3117000,-200091,0,-0.05774783445620789,-200091
2009-06-30,7185,-1224000,2009-06-30,-0.4046,,3117000,-559876,0,-0.39268527430221367,-559876
2009-09-30,890,-920000,2009-09-30,-0.3031,,3117000,-934519,0,-0.2951555983317292,-934519
2009-12-31,2735000,-6421000,2010-02-25,-3.0331,,3350342,-14545721,0,-1.9165207611640842,-14545721
2010-03-31,5641000,5327000,2010-05-04,2.32,2.88,3350342,856865,0,1.5899869326773206,856865
2010-06-30,5195000,4088000,2010-08-04,2.08,2.32,3350342,-18299951,0,1.2201739404514524,-18299951
2010-09-30,11709000,9880000,2010-11-08,2.32,2.59,3266000,29379387,0,3.0251071647274954,29379387
2010-12-31,12560000,16460000,2011-02-08,2.88,2.83,5701547,21177699,0,2.88693577374702,21177699
2011-03-31,17371000,22377000,2011-05-04,2.56,3.09,5702000,13093000,0,3.9244124868467205,13093000
2011-06-30,40828000,-984000,2011-08-03,3.28,2.94,9638000,29832000,0,-0.10209587051255448,29832000
2011-09-30,60521000,54609000,2011-11-02,3.2,3.19,16326000,45579000,0,3.344909959573686,45579000
2011-12-31,64068000,51430000,2012-02-07,3.2,3.31,23356948,63139000,0,2.2019143939524977,63139000
2012-03-31,74034000,51800000,2012-05-02,2.72,2.98,23357000,36261000,0,2.2177505672817572,36261000
2012-06-30,105904000,24004000,2012-08-01,2.8,3.22,26851000,48901000,0,0.893970429406726,48901000
2012-09-30,105566000,26802000,2012-11-06,2.48,2.93,33867000,77832000,0,0.791389848525113,77832000
2012-12-31,26066000,189300000,2013-02-06,2.24,2.94,37029000,140000,0,5.112209349428826,140000
2013-03-31,160653000,143716000,2013-05-07,2.32,2.53,38370463,-20484000,0,3.7454851665459445,-20484000
2013-06-30,457007000,388637000,2013-08-06,1.68,2.45,45757150,-663788000,0,8.493470419377081,-663788000
2013-09-30,-157345000,-192728000,2013-11-05,1.52,1.91,45645874,180777000,0,-4.22224361395731,180777000
2013-12-31,271996000,239414000,2014-02-05,1.68,1.78,45587612,48824000,485634000,5.25173373854283,-436810000
2014-03-31,-36862000,-29145000,2014-05-07,1.92,1.98,45701486,456250000,0,-0.6377254341357741,456250000
2014-06-30,22535000,39657000,2014-08-06,1.92,2.02,45759765,-203056000,0,0.8666346953486321,-203056000
2014-09-30,218284000,193590000,2014-11-04,1.84,1.99,45764858,-609108000,8687000,4.230101620767621,-617795000
2014-12-31,-18795000,-36963000,2015-02-04,1.84,1.89,45778820,-408233000,8598000,-0.8074257921021119,-416831000
2015-03-31,117380000,94793000,2015-05-06,2.08,1.95,45813457,-513416000,10399000,2.0691082098432343,-523815000
2015-06-30,262150000,221501000,2015-08-04,1.76,2.04,45884266,-526502000,9123000,4.827384620253051,-535625000
2015-09-30,-13204000,-34790000,2015-11-04,1.76,1.9,45920746,-584287000,70566000,-0.7576096433625011,-654853000
2015-12-31,249086000,210706000,2016-02-03,1.6,1.86,45011000,-312543000,33578000,4.681211259469907,-346121000
2016-03-31,-55674000,-88930000,2016-05-04,1.68,1.68,43680000,-131682000,51453000,-2.0359432234432235,-183135000
2016-06-30,7728000,-16981000,2016-08-03,1.76,1.79,43449744,-112750000,56553000,-0.39081933371114913,-169303000
2016-09-30,124638000,117786000,2016-11-02,1.92,1.83,43453000,-431456000,100468000,2.7106528893287,-531924000
2016-12-31,408925000,341403000,2017-02-06,1.92,1.92,43455000,915567000,109235000,7.856472212633759,806332000
2017-03-31,66941000,71985000,2017-05-03,2.16,1.99,43570000,162264000,68551000,1.6521689235712647,93713000
2017-06-30,45765000,8618000,2017-08-07,2.24,2.13,43618000,114097000,197452000,0.1975789811545692,-83355000
2017-09-30,121120000,93176000,2017-11-07,2.04,2.17,47227000,142379000,61338000,1.9729392085036102,81041000
2017-12-31,193103000,165904000,2018-02-06,1.88,1.86,47235000,188041000,156920000,3.5123107864930665,31121000
2018-03-31,363735000,321062000,2018-05-08,1.84,1.89,48205000,203143000,142799000,6.660346437091588,60344000
2018-06-30,159677000,125743000,2018-08-07,1.76,1.88,48303000,156295000,139484000,2.6032130509492166,16811000
2018-09-30,179381000,35946000,2018-11-06,1.92,1.91,56100000,161928000,193168000,0.6407486631016043,-31240000
2018-12-31,-519759000,-554535000,2019-02-06,1.96,1.89,62020292,181504000,500942000,-8.941186539399073,-319438000
2019-03-31,-8336000,-25935000,2019-05-07,1.96,1.91,63089000,165814000,210193000,-0.4110859262311972,-44379000
2019-06-30,-60502000,-90557000,2019-08-06,1.56,1.69,68215788,361692000,38888000,-1.32750793701892,322804000
2019-09-30,332327000,286749000,2019-11-05,0.89,1.58,72763000,323578000,84955000,3.9408628011489357,238623000
2019-12-31,164070000,134754000,2020-02-05,0.93,1.45,72768000,205553000,279627000,1.8518304749340369,-74074000
2020-03-31,-1852447000,-1869656000,2020-05-06,1.0,1.09,68348000,100206000,182384000,-27.35494820623866,-82178000
2020-06-30,-21392000,-173564000,2020-08-05,-0.2,0.52,68401000,52167000,12823000,-2.5374482829198404,39344000
2020-09-30,85759000,182964000,2020-11-04,1.12,0.86,72969000,226037000,91071000,2.5074209595855774,134966000
2020-12-31,233150000,211171000,2021-02-09,1.2,0.92,72968000,253193000,336128000,2.8940220370573404,-82935000
2021-03-31,278509000,222684000,2021-05-05,0.68,0.96,77866000,-63357000,168170000,2.859836128733979,-231527000
2021-06-30,-120397000,-117960000,2021-08-04,0.76,0.77,68429640,213778000,196396000,-1.7238144172612921,17382000
2021-09-30,83253000,52376000,2021-11-08,0.96,0.79,86682518,229626000,268060000,0.6042279482467272,-38434000
2021-12-31,13854000,-1294000,2022-02-09,0.88,0.84,83775184,43463000,109527000,-0.015446101556756952,-66064000
2022-03-31,352886000,270230000,2022-05-04,0.72,0.8,96205551,-51345000,487761000,2.80888157898498,-539106000
2022-06-30,-26337000,-72420000,2022-08-03,0.88,0.77,86069000,69540000,50671000,-0.8414179321242259,18869000
2022-09-30,319423000,262482000,2022-11-08,0.64,0.79,96132000,369226000,60882000,2.7304331544126828,308344000
2022-12-31,-238792000,-270223000,2023-02-08,0.26,0.51,86391405,235981000,30496000,-3.1278921786258715,205485000
2023-03-31,-156149000,-176808000,2023-05-01,0.09,0.71,92576000,115000,117441000,-1.9098686484618044,-117326000
2023-06-30,237979000,197445000,2023-07-31,-0.04,0.58,106062000,111320000,179832000,1.8615998189738077,-68512000
2023-09-30,367158000,306192000,2023-10-30,-0.01,0.48,105628130,122335000,4321000,2.8987732718547607,118014000
2023-12-31,-417531000,-433200000,2024-01-29,-0.11,0.46,97489000,109739000,11043000,-4.44357824985383,98696000
2024-03-31,263140000,203588000,2024-04-29,0.05,0.44,112973000,-8670000,40072000,1.8020943057190657,-48742000
2024-06-30,109651000,56336000,2024-07-30,0.17,0.39,103911000,143652000,3353000,0.5421562683450261,140299000
2024-09-30,-210358000,-238485000,2024-10-28,0.13,0.36,103417000,87081000,43194000,-2.306052196447393,43887000
2024-12-31,348486000,276729000,2025-01-29,0.2,0.34,111791000,-21059000,27505000,2.475413942088361,-48564000
2025-03-31,-31530000,-79055000,2025-04-28,0.24,0.4,103976000,111913000,1514000,-0.7603196891590367,110399000
2025-06-30,-14669000,-259041000,2025-07-28,0.28,0.36,104084326,99112000,91405000,-2.4887608918176594,7707000
2025-09-30,247571000,-127921000,2025-10-27,0.36,0.36,104084000,-211025000,92919000,-1.2290169478498136,-303944000
