fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2020-06-30,184331000,-27351000,2020-09-18,-0.11,0.0,263366733,16582000,12134000,-0.10385138505704895,4448000
2020-09-30,200784000,-144719000,2020-11-12,-0.09,-0.15,267750367,20567000,9681000,-0.5404997260003755,10886000
2020-12-31,220336000,-83502000,2021-02-04,-0.1,-0.14,272134000,14765000,11200000,-0.3068414825049424,3565000
2021-03-31,234772000,-107460000,2021-05-11,-0.1,-0.12,276068000,-88882000,11744000,-0.38925192343915266,-100626000
2021-06-30,273562000,-148342000,2021-08-10,-0.02,-0.13,280374000,-26681000,6807000,-0.5290861492149771,-33488000
2021-09-30,286328000,-115152000,2021-11-09,-0.06,-0.07,283714000,43623000,9408000,-0.4058735205171405,34215000
2021-12-31,315864000,-161653000,2022-02-03,-0.05,-0.07,288469000,-39509000,13979000,-0.5603825714374855,-53488000
2022-03-31,320126000,-177555000,2022-05-10,-0.08,-0.08,294341000,101300000,14929000,-0.6032289079672897,86371000
2022-06-30,297043000,-204158000,2022-08-09,-0.18,-0.21,296849000,-42870000,15428000,-0.6877503377137871,-58298000
2022-09-30,322881000,-250021000,2022-11-09,-0.14,-0.15,299062000,-68800000,11987000,-0.836017280697648,-80787000
2022-12-31,450974000,-289328000,2023-02-22,-0.01,0.02,351264000,-49061000,14794000,-0.82367677871914,-63855000
2023-03-31,500361000,-253703000,2023-05-10,0.09,-0.03,375909000,-5099000,14350000,-0.674905362734066,-19449000
2023-06-30,533478000,-192160000,2023-08-02,0.25,0.08,380355000,47643000,14118000,-0.5052122359374794,33525000
2023-09-30,544210000,-124071000,2023-11-09,0.35,0.17,383674000,120053000,16092000,-0.323376095330932,103961000
2023-12-31,609268000,-252749000,2024-02-26,-0.66,-0.49,384871561,72103000,11361000,-0.6567099926616817,60742000
2024-03-31,460380000,-291074000,2024-05-09,-0.75,-0.63,387151000,-7373000,7190000,-0.7518358469951001,-14563000
2024-06-30,449259000,-125574000,2024-08-08,-0.32,-0.42,392537000,88376000,9126000,-0.3199036014439403,79250000
2024-09-30,446517000,-124739000,2024-11-07,-0.31,-0.36,398810000,122358000,19651000,-0.3127780145934154,102707000
2024-12-31,457099000,-122727000,2025-02-24,-0.3,-0.3684,405172000,112192000,6442000,-0.3029009901967559,105750000
2025-03-31,435000000,-77642000,2025-05-07,-0.19,0.1691,411852000,13026000,5718000,-0.18851917679166302,7308000
2025-06-30,440944000,-108798000,2025-08-06,-0.26,0.13,417566000,133096000,6446000,-0.2605528227872959,126650000
2025-09-30,470615000,-126362000,2025-11-05,0.2,-0.23,424296000,155398000,4107000,-0.29781567584893565,151291000
