fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2004-06-30,19283000000.0,1377500000.0,2004-07-28,0.4,0.39,2997297297.0,2773500000.0,488713000.0,0.45958070338192414,2284787000.0
2004-09-30,9782045520.0,1128264540.0,2004-10-27,0.46,0.39,2997297297.0,1393000000.0,0.0,0.37642730373436156,1393000000.0
2004-12-31,19283000000.0,1377500000.0,2005-02-10,0.39,0.31,3138508109.0,2773500000.0,488713000.0,0.43890280099958157,2284787000.0
2005-03-31,8783000000.0,934000000.0,2005-05-06,0.32,0.29,3026486486.0,471000000.0,182000000.0,0.3086086801710569,289000000.0
2005-06-30,19200500000.0,1883000000.0,2005-08-04,0.4,0.38,3026486486.0,2176500000.0,406500000.0,0.6221736025290152,1770000000.0
2005-09-30,19200500000.0,1883000000.0,2005-11-03,0.36,0.42,3036108109.0,2176500000.0,406500000.0,0.6202018941348574,1770000000.0
2005-12-31,19200500000.0,1883000000.0,2006-02-09,0.14,0.36,3036108109.0,2176500000.0,406500000.0,0.6202018941348574,1770000000.0
2006-03-31,19821000000.0,2372500000.0,2006-05-04,0.4471,,2906971514.0,1156221330.0,250247700.0,0.8161414683886716,905973630.0
2006-06-30,19821000000.0,2372500000.0,2006-08-03,0.41,0.42,2906971514.0,1156221330.0,250247700.0,0.8161414683886716,905973630.0
2006-09-30,19821000000.0,2372500000.0,2006-11-02,0.3,0.4,2984443000.0,1653000000.0,220000000.0,0.7949557086531724,1433000000.0
2006-12-31,19821000000.0,2372500000.0,2007-02-08,0.38,0.33,2984443000.0,2749778670.0,683752300.0,0.7949557086531724,2066026370.0
2007-03-31,9525426000.0,1012801680.0,2007-05-03,0.43,0.48,2984902000.0,202111200.0,193877040.0,0.3393081849923381,8234160.0
2007-06-30,19050852000.0,2025603360.0,2007-08-02,0.4983,,5969804000.0,1709000000.0,435000000.0,0.3393081849923381,1274000000.0
2007-09-30,10243000000.0,1010000000.0,2007-11-01,0.4483,,2979800000.0,1425000000.0,190000000.0,0.3389489227464931,1235000000.0
