fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,2543900000,52600000,2005-11-01,0.43,0.4,309411765,316900000,0,0.16999999983840305,316900000
2005-12-31,2664700000,137500000,2006-01-30,0.43,0.45,319130435,557100000,5300000,0.43085831033320277,551800000
2006-03-31,2600100000,73400000,2006-05-03,0.41,0.43,319130435,263700000,0,0.22999999984332425,263700000
2006-06-30,2621700000,125200000,2006-08-02,0.43,0.41,329473684,395700000,0,0.3800000002428115,395700000
2006-09-30,2617400000,-63700000,2006-11-01,0.46,0.41,335263158,191800000,0,-0.18999999994034536,191800000
2006-12-31,2558400000,276100000,2007-01-29,0.52,0.44,349607843,580700000,0,0.789742008161985,580700000
2007-03-31,2600600000,178300000,2007-05-02,0.5,0.45,349607843,280200000,0,0.5100000002002243,280200000
2007-06-30,2665600000,153500000,2007-08-01,0.51,0.47,354837400,336500000,0,0.4325925057505212,336500000
2007-09-30,2610200000,187000000,2007-10-31,0.6,0.51,359741200,638600000,0,0.519818135926605,638600000
2007-12-31,2643500000,160500000,2008-01-28,0.59,0.54,354565217,495000000,98800000,0.4526670759134278,396200000
2008-03-31,2540600000,163100000,2008-04-30,0.59,0.57,351465800,274400000,0,0.46405653124713697,274400000
2008-06-30,2675300000,240300000,2008-07-30,0.65,0.6,346035400,426900000,0,0.6944376211220008,426900000
2008-09-30,2442700000,108000000,2008-10-30,0.64,0.63,337912770,320300000,0,0.3196091109548775,320300000
2008-12-31,2323700000,41800000,2009-02-03,0.63,0.62,330964500,304500000,0,0.12629753342125818,304500000
2009-03-31,2448900000,164900000,2009-04-29,0.62,0.6,330964500,290900000,0,0.49824074787477207,290900000
2009-06-30,2628000000,267200000,2009-08-04,0.65,0.61,331955200,317200000,0,0.8049278938844759,317200000
2009-09-30,2517500000,221100000,2009-11-03,0.64,0.64,332622148,245500000,0,0.6647182135327921,245500000
2009-12-31,2496600000,199400000,2010-02-02,0.66,0.64,333524700,383400000,0,0.5978567704280973,383400000
2010-03-31,2561600000,229800000,2010-05-04,0.67,0.65,333524708,281600000,0,0.689004426022914,281600000
2010-06-30,2510600000,209700000,2010-08-03,0.69,0.68,332632157,386800000,0,0.6304261196249886,386800000
2010-09-30,2527900000,220800000,2010-11-02,0.68,0.68,324466980,245400000,0,0.6805006783741138,245400000
2010-12-31,2593100000,225800000,2011-02-02,0.66,0.69,318365100,283000000,0,0.7092485954019457,283000000
2011-03-31,2563100000,223600000,2011-05-03,0.69,0.7,314332317,301000000,0,0.7113490656450702,301000000
2011-06-30,2564500000,227600000,2011-08-02,0.75,0.72,307410964,314700000,0,0.7403769762746654,314700000
2011-09-30,2545600000,202000000,2011-11-01,0.74,0.75,299172900,173000000,0,0.6751948455224387,173000000
2011-12-31,2604800000,-425400000,2012-02-06,0.78,0.75,314332300,405000000,0,-1.3533448519289937,405000000
2012-03-31,2611300000,213900000,2012-05-01,0.73,0.76,291284036,329300000,0,0.7343347851716804,329300000
2012-06-30,2617900000,216400000,2012-08-01,0.79,0.76,283740632,349800000,0,0.7626683512849862,349800000
2012-09-30,2628000000,230200000,2012-10-31,0.8,0.76,278511039,274700000,0,0.8265381538431588,274700000
2012-12-31,2658200000,233900000,2013-02-05,0.82,0.77,273613206,425800000,105400000,0.854856398999981,320400000
2013-03-31,2624800000,212600000,2013-05-01,0.8,0.78,270354395,265100000,0,0.7863752316658289,265100000
2013-06-30,2601900000,218600000,2013-08-05,0.82,0.8,266736302,183200000,0,0.8195359925174339,183200000
2013-09-30,2540900000,205700000,2013-11-04,0.85,0.82,264260045,261200000,0,0.7783999279951686,261200000
2013-12-31,2586200000,221200000,2014-02-04,0.85,0.84,262600000,322000000,105500000,0.8423457730388424,216500000
2014-03-31,2614400000,225800000,2014-05-07,0.87,0.85,260700000,346700000,28100000,0.8661296509397776,318600000
2014-06-30,2656800000,239400000,2014-07-30,0.91,0.87,257900000,379100000,30300000,0.9282667700659171,348800000
2014-09-30,2614300000,219100000,2014-10-29,0.87,0.9,254800000,218200000,28400000,0.8598901098901099,189800000
2014-12-31,2635700000,-279100000,2015-02-03,0.9,0.88,251964286,279600000,114500000,-1.1076966677729876,165100000
2015-03-31,2647400000,212900000,2015-04-29,0.89,0.89,252200000,400100000,31400000,0.8441712926249009,368700000
2015-06-30,2703700000,224300000,2015-07-29,0.89,0.9,249200000,326300000,21700000,0.9000802568218299,304600000
2015-09-30,2657800000,203800000,2015-10-28,0.91,0.91,246300000,273000000,20200000,0.8274462038164839,252800000
2015-12-31,2722400000,226100000,2016-02-02,0.95,0.92,243800000,292700000,26900000,0.9273995077932732,265800000
2016-03-31,2725400000,210600000,2016-04-27,0.95,0.91,239900000,293300000,17200000,0.877865777407253,276100000
2016-06-30,2761300000,236800000,2016-07-27,0.99,0.94,237300000,268100000,24400000,0.9978929624947324,243700000
2016-09-30,2763300000,236000000,2016-10-26,0.99,0.95,234213500,193500000,18500000,1.0076276559634691,175000000
2016-12-31,2796500000,248000000,2017-02-01,1.0,0.98,232400000,361200000,24900000,1.0671256454388984,336300000
2017-03-31,2806500000,229900000,2017-04-26,1.02,0.99,230400000,308000000,27300000,0.9978298611111112,280700000
2017-06-30,2822000000,245100000,2017-07-27,1.05,1.01,228200000,334000000,20500000,1.0740578439964943,313500000
2017-09-30,2819100000,252300000,2017-10-25,1.09,1.04,226000000,224000000,16900000,1.1163716814159292,207100000
2017-12-31,2839200000,266900000,2018-01-31,1.13,1.08,224800000,283400000,40600000,1.1872775800711743,242800000
2018-03-31,2899600000,273500000,2018-05-01,1.24,1.25,222600000,299900000,29100000,1.228661275831087,270800000
2018-06-30,2890300000,285500000,2018-07-30,1.3,1.26,221100000,396300000,30500000,1.2912709181365898,365800000
2018-09-30,2917300000,-284700000,2018-10-24,1.37,1.29,218900000,387300000,36000000,-1.3005938784833257,351300000
2018-12-31,2880800000,249100000,2019-02-05,1.3,1.31,217400000,453000000,48500000,1.1458141674333027,404500000
2019-03-31,2987600000,280900000,2019-04-30,1.31,1.31,214400000,516800000,28100000,1.3101679104477613,488700000
2019-06-30,3004100000,281200000,2019-07-30,1.36,1.35,211100000,425900000,36800000,1.3320701089531028,389100000
2019-09-30,2980800000,242000000,2019-10-29,1.36,1.38,208116000,314100000,42600000,1.162813046570182,271500000
2019-12-31,3033300000,296200000,2020-02-04,1.41,1.39,205700000,484800000,43400000,1.4399611084103063,441400000
2020-03-31,2917200000,161000000,2020-05-04,1.35,1.38,203400000,219900000,39100000,0.7915437561455261,180800000
2020-06-30,3059900000,265500000,2020-07-28,1.23,1.21,203700000,632500000,38400000,1.3033873343151694,594100000
2020-09-30,2986600000,231100000,2020-10-27,1.21,1.3,203900000,426400000,22000000,1.13339872486513,404400000
2020-12-31,4208000000,135400000,2021-02-04,1.15,1.19,204100000,-681300000,19600000,0.6634002939735424,-700900000
2021-03-31,3042700000,153000000,2021-05-05,1.04,0.98,204737300,-162000000,30900000,0.7472990998709077,-192900000
2021-06-30,2993000000,182900000,2021-08-03,1.39,1.12,205273800,706200000,26700000,0.8910050868644708,679500000
2021-09-30,2931400000,328600000,2021-11-02,1.03,1.15,205142300,455100000,24800000,1.6018149352912587,430300000
2021-12-31,2936700000,159700000,2022-02-01,0.89,0.85,204243200,388200000,27900000,0.781910976717952,360300000
2022-03-31,2951800000,240400000,2022-05-05,1.36,0.78,203504300,325800000,21800000,1.1813018201580998,304000000
2022-06-30,2986400000,367300000,2022-08-02,1.91,1.22,202431700,458800000,22600000,1.8144391416956929,436200000
2022-09-30,2946900000,510300000,2022-11-01,1.51,1.41,201700000,277200000,26400000,2.529995042141795,250800000
2022-12-31,2990300000,279600000,2023-01-31,1.43,1.47,200904100,356900000,31400000,1.3917087804579398,325500000
